Little Star	The Elegants
Nel Blu Dipinto Di Blu (Volaré)	Domenico Modugno
Bird Dog	The Everly Brothers
Just A Dream	Jimmy Clanton And His Rockets
My True Love	Jack Scott
Poor Little Fool	Ricky Nelson
Patricia	Perez Prado And His Orchestra
Born Too Late	Poni-Tails
Fever	Peggy Lee
When	Kalin Twins
Rebel-'rouser	Duane Eddy His Twangy Guitar And The Rebels
Willie And The Hand Jive	The Johnny Otis Show
Western Movies	The Olympics
Everybody Loves A Lover	Doris Day
Devoted To You	The Everly Brothers
Splish Splash	Bobby Darin
Ginger Bread	Frankie Avalon
If Dreams Came True	Pat Boone
Volare (Nel Blu Dipinto Di Blu)	Dean Martin
Are You Really Mine	Jimmie Rodgers
Hard Headed Woman	Elvis Presley With The Jordanaires
Stupid Cupid	Connie Francis
Susie Darlin'	Robin Luke
Summertime Blues	Eddie Cochran
Rock-in Robin	Bobby Day
Tears On My Pillow	Little Anthony And The Imperials
One Summer Night	The Danleers
Somebody Touched Me	Buddy Knox with the Rhythm Orchids
Early In The Morning	The Rinky-Dinks
Chantilly Lace	Big Bopper
Think It Over	The Crickets
Early In The Morning	Buddy Holly
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)	Patti Page
A Certain Smile	Johnny Mathis
Yakety Yak	The Coasters
Moon Talk	Perry Como
Betty Lou Got A New Pair Of Shoes	Bobby Freeman
She Was Only Seventeen (He Was One Year More)	Marty Robbins
La Paloma	Billy Vaughn And His Orchestra
It's All In The Game	Tommy Edwards
Over And Over	Bobby Day
Itchy Twitchy Feeling	Bobby Hendricks
Blue Blue Day	Don Gibson
Lazy Summer Night	The Four Preps
Win Your Love For Me	Sam Cooke
For Your Precious Love	Jerry Butler and The Impressions
Do You Want To Dance	Bobby Freeman
Enchanted Island	The Four Lads
How The Time Flies	Jerry Wallace
What Am I Living For	Chuck Willis
The Wizard	Jimmie Rodgers
By The Light Of The Silvery Moon	Jimmy Bowen with the Rhythm Orchids
Kathy-O	The Diamonds
Don't Ask Me Why	Elvis Presley With The Jordanaires
Guess Things Happen That Way	Johnny Cash And The Tennessee Two
Come Closer To Me (Acercate Mas)	Nat King Cole
Carol	Chuck Berry
The Freeze	Tony And Joe
Put A Ring On My Finger	Les Paul And Mary Ford
Angel Baby	Dean Martin
Summertime, Summertime	The Jamies
The Ways Of A Woman In Love	Johnny Cash And The Tennessee Two
Padre	Toni Arden
That's How Much I Love You	Pat Boone
When Will I Know	George Hamilton IV
Gotta Have Rain	Eydie Gorme
Cerveza	Boots Brown And His Blockbusters
Dance Everyone Dance	Betty Madigan
Chariot Rock	The Champs
Alone With You	Faron Young
Endless Sleep	Jody Reynolds
City Lights	Ray Price
Straighten Up & Fly Right	DeJohn Sisters
Count Every Star	The Rivieras
Blue Boy	Jim Reeves
Hey Girl - Hey Boy	Oscar McLollie and Jeanette Baker
Happy Years	The Diamonds
The Green Mosquito	The Tune Rockers
Midnight	Paul Anka
Strange Are The Ways Of Love	Gogi Grant
Prisoner's Song	Warren Storm
Topsy II	Cozy Cole
Leroy	Jack Scott
Borrowed Dreams	Bobby Helms
Drip Drop	The Drifters
Devotion	Janice Harper
Down The Aisle Of Love	The Quin-Tones
Near You	Roger Williams
My Life	Chuck Willis
Fire Of Love	Jody Reynolds
Ramrod	Duane Eddy His Twangy Guitar And The Rebels
Just Like In The Movies	The Upbeats
The Purple People Eater	Sheb Wooley
You Cheated	The Shields
No One Knows	Dion & The Belmonts
Return To Me	Dean Martin
Little Brass Band	David Seville
You're A Sweetheart	Little Willie John
You Cheated	The Slades
Treasure Of Your Love	Eileen Rodgers
