Stagger Lee	Lloyd Price
16 Candles	The Crests
Donna	Ritchie Valens
Smoke Gets In Your Eyes	The Platters
The All American Boy	Bill Parsons
My Happiness	Connie Francis
Lonely Teardrops	Jackie Wilson
Gotta Travel On	Billy Grammer
Goodbye Baby	Jack Scott
Manhattan Spiritual	Reg Owen & His Orchestra
A Lover's Question	Clyde McPhatter
I Cried A Tear	LaVern Baker
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
(All of a Sudden) My Heart Sings	Paul Anka
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
Peter Gunn	Ray Anthony and His Orchestra
Tall Paul	Annette With The Afterbeats
The Diary	Neil Sedaka
The Little Space Girl	Jesse Lee Turner
With The Wind And The Rain In Your Hair	Pat Boone
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
May You Always	The McGuire Sisters
Lucky Ladybug	Billy & Lillie
Whole Lotta Loving	Fats Domino
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
Nobody But You	Dee Clark
The Chipmunk Song	The Chipmunks With David Seville
Charlie Brown	The Coasters
La Bamba	Ritchie Valens
I'm A Man	Fabian
To Know Him, Is To Love Him	The Teddy Bears
Don't Take Your Guns To Town	Johnny Cash
I Got A Wife	The Mark IV
One Night	Elvis Presley
I've Had It	The Bell Notes
Lonesome Town	Ricky Nelson
It's Just A Matter Of Time	Brook Benton
Red River Rose	The Ames Brothers
She Say (Oom Dooby Doom)	The Diamonds
Love You Most Of All	Sam Cooke
Teasin'	Quaker City Boys
Bimbombey	Jimmie Rodgers
Pretty Girls Everywhere	Eugene Church and The Fellows
It's Only The Beginning	The Kalin Twins
Don't Pity Me	Dion & The Belmonts
Tragedy	Thomas Wayne With the Delons
Trust In Me	Patti Page
Good Rockin' Tonight	Pat Boone
Try Me	James Brown And The Famous Flames
Let's Love	Johnny Mathis
There Must Be A Way	Joni James
Tom Dooley	The Kingston Trio
Lovers Never Say Goodbye	The Flamingos
Blue Hawaii	Billy Vaughn And His Orchestra
Plain Jane	Bobby Darin
Gazachstahagen	The Wild-Cats
Problems	The Everly Brothers
(I'll Be With You In) Apple Blossom Time	Tab Hunter
The Story Of My Love	Conway Twitty
Nola	Billy Williams
Rocka-Conga	The Applejacks
Who Cares	Don Gibson
First Anniversary	Cathy Carr
The Little Drummer Boy	The Harry Simeone Chorale
I Got Stung	Elvis Presley
The Wedding	June Valli
The Girl On Page 44	The Four Lads
Alright, Okay, You Win	Peggy Lee
Matilda	Cookie And His Cupcakes
Peek-A-Boo	The Cadillacs
Raw-Hide	Link Wray And The Wraymen
Raspberries, Strawberries	The Kingston Trio
Evening Rain	Earl Grant
Ambrose (Part Five)	Linda Laurie
Love Is All We Need	Tommy Edwards
Wicked Ruby	Danny Zella and his Zell Rocks
Beep Beep	The Playmates
C'mon Everybody	Eddie Cochran
The Shag (Is Totally Cool)	Billy Graves
My Man	Peggy Lee
Give Me Your Love	Nat King Cole
Poor Boy	The Royaltones
Here I Stand	Wade Flemons and the Newcomers
Madrid	Nat King Cole
Teardrops Will Fall	Dicky Doo And The Don'ts
The Worryin' Kind	Tommy Sands And The Raiders
Nola	The Morgan Brothers
Sea Cruise	Frankie Ford
The Hanging Tree	Marty Robbins
I'll Wait For You	Frankie Avalon
You Are Beautiful	Johnny Mathis
Queen Of The Hop	Bobby Darin
Jupiter-C	Pat and the Satellites
(Night Time Is) The Right Time	Ray Charles with the Raylettes
Blah, Blah, Blah	Nicola Paone
Midnight Oil	Charlie Blackwell
Are You Lonesome Tonight	Jaye P. Morgan
Venus	Frankie Avalon
Moonlight Serenade	The Rivieras
