Venus	Frankie Avalon
Come Softly To Me	The Fleetwoods
Charlie Brown	The Coasters
It's Just A Matter Of Time	Brook Benton
Tragedy	Thomas Wayne With the Delons
Alvin's Harmonica	David Seville And The Chipmunks
Never Be Anyone Else But You	Ricky Nelson
Pink Shoe Laces	Dodie Stevens
I've Had It	The Bell Notes
It's Late	Ricky Nelson
Please Mr. Sun	Tommy Edwards
Donna	Ritchie Valens
It Doesn't Matter Anymore	Buddy Holly
Guitar Boogie Shuffle	The Virtues
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
Stagger Lee	Lloyd Price
Since I Don't Have You	The Skyliners
Sea Cruise	Frankie Ford
Peter Gunn	Ray Anthony and His Orchestra
I Cried A Tear	LaVern Baker
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
She Say (Oom Dooby Doom)	The Diamonds
Where Were You (On Our Wedding Day)?	Lloyd Price
Tall Paul	Annette With The Afterbeats
If I Didn't Care	Connie Francis
(Now and Then There's) A Fool Such As I	Elvis Presley With The Jordanaires
No Other Arms, No Other Lips	The Chordettes
This Should Go On Forever	Rod Bernard
Tomboy	Perry Como
The Morning Side Of The Mountain	Tommy Edwards
May You Always	The McGuire Sisters
The Tijuana Jail	The Kingston Trio
I Need Your Love Tonight	Elvis Presley With The Jordanaires
Everybody Likes To Cha Cha Cha	Sam Cooke
The Happy Organ	Dave "Baby" Cortez
I'm Never Gonna Tell	Jimmie Rodgers
Raw-Hide	Link Wray And The Wraymen
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
The Story Of My Love	Conway Twitty
The Hanging Tree	Marty Robbins
I Got A Wife	The Mark IV
I Go Ape	Neil Sedaka
Nola	Billy Williams
16 Candles	The Crests
First Anniversary	Cathy Carr
(I'll Be With You In) Apple Blossom Time	Tab Hunter
Tell Him No	Travis & Bob
Moonlight Serenade	The Rivieras
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
Telling Lies	Fats Domino
Come Softly To Me	Ronnie Height
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
For A Penny	Pat Boone
Sorry (I Ran All The Way Home)	The Impalas
When The Saints Go Marching In	Fats Domino
The All American Boy	Bill Parsons
Yea - Yea (Class Cutter)	Dale Hawkins
Heavenly Lover	Teresa Brewer
La Bamba	Ritchie Valens
(All of a Sudden) My Heart Sings	Paul Anka
Take A Message To Mary	The Everly Brothers
Because You're Young	Jimmie Rodgers
Lonely Teardrops	Jackie Wilson
With The Wind And The Rain In Your Hair	Pat Boone
As Time Goes By	Johnny Nash
Pretty Girls Everywhere	Eugene Church and The Fellows
Matilda	Cookie And His Cupcakes
The Beat	The Rockin R's
Poor Jenny	The Everly Brothers
Guess Who	Jesse Belvin
The Answer To A Maiden's Prayer	June Valli
Goodbye Baby	Jack Scott
Don't Take Your Guns To Town	Johnny Cash
Come To Me	Marv Johnson
Fried Eggs	The Intruders
Six Nights A Week	The Crests
Gotta Travel On	Billy Grammer
There Must Be A Way	Joni James
Turn Me Loose	Fabian
That's Why (I Love You So)	Jackie Wilson
No Other Arms, No Other Lips	The Four Aces
Three Stars	Tommy Dee with Carol Kay and the Teen-Aires
Someone	Johnny Mathis
Enchanted	The Platters
My Happiness	Connie Francis
Midnight Oil	Charlie Blackwell
Rockin' Crickets	Hot-Toddys featuring Bill Pennell
Who's That Knocking	The Genies
Hawaiian War Chant	Billy Vaughn And His Orchestra
French Foreign Legion	Frank Sinatra
Nola	The Morgan Brothers
A House Of Love	Scott Garrett
Star Love	The Playmates
Wishful Thinking	Little Anthony And The Imperials
Raining In My Heart	Buddy Holly
Almost Grown	Chuck Berry
I Miss You So	Paul Anka
Boom-A-Dip-Dip	Stan Robinson
"Yep!"	Duane Eddy His Twangy Guitar And The Rebels
The Chick	Lee and Paul
