Come Softly To Me	The Fleetwoods
The Happy Organ	Dave "Baby" Cortez
Sorry (I Ran All The Way Home)	The Impalas
Pink Shoe Laces	Dodie Stevens
Guitar Boogie Shuffle	The Virtues
(Now and Then There's) A Fool Such As I	Elvis Presley With The Jordanaires
I Need Your Love Tonight	Elvis Presley With The Jordanaires
Tell Him No	Travis & Bob
Venus	Frankie Avalon
Turn Me Loose	Fabian
Three Stars	Tommy Dee with Carol Kay and the Teen-Aires
Enchanted	The Platters
That's Why (I Love You So)	Jackie Wilson
Since I Don't Have You	The Skyliners
The Tijuana Jail	The Kingston Trio
Kansas City	Wilbert Harrison
Take A Message To Mary	The Everly Brothers
Never Be Anyone Else But You	Ricky Nelson
Kookie, Kookie (Lend Me Your Comb)	Edward Byrnes & Connie Stevens
A Teenager In Love	Dion & The Belmonts
Tragedy	Thomas Wayne With the Delons
Poor Jenny	The Everly Brothers
Sea Cruise	Frankie Ford
Only You	Franck Pourcel's French Fiddles
This Should Go On Forever	Rod Bernard
For A Penny	Pat Boone
Quiet Village	The Exotic Sounds of Martin Denny
Six Nights A Week	The Crests
Dream Lover	Bobby Darin
It's Just A Matter Of Time	Brook Benton
Come To Me	Marv Johnson
Almost Grown	Chuck Berry
So Fine	The Fiestas
Goodbye Jimmy, Goodbye	Kathy Linden
It's Late	Ricky Nelson
The Battle Of New Orleans	Johnny Horton
Guess Who	Jesse Belvin
Endlessly	Brook Benton
It Doesn't Matter Anymore	Buddy Holly
Someone	Johnny Mathis
I Miss You So	Paul Anka
Everybody Likes To Cha Cha Cha	Sam Cooke
Charlie Brown	The Coasters
Please Mr. Sun	Tommy Edwards
Tell Him No	Dean & Marc
"Yep!"	Duane Eddy His Twangy Guitar And The Rebels
The Morning Side Of The Mountain	Tommy Edwards
Personality	Lloyd Price and His Orchestra
Lovey Dovey	Clyde McPhatter
I've Had It	The Bell Notes
I Still Get A Thrill (Thinking Of You)	Joni James
As Time Goes By	Johnny Nash
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
No Other Arms, No Other Lips	The Chordettes
I Think I'm Gonna Kill Myself	Buddy Knox
I've Come Of Age	Billy Storm
If I Didn't Care	Connie Francis
Where Were You (On Our Wedding Day)?	Lloyd Price
You're So Fine	The Falcons
Bonaparte's Retreat	Billy Grammer
Lonely For You	Gary Stites
I Need Your Lovin'	Roy Hamilton
Castin' My Spell	The Johnny Otis Show
That's My Little Suzie	Ritchie Valens
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha)	Pat Boone
Crossfire	Johnny And The Hurricanes
I'm Never Gonna Tell	Jimmie Rodgers
There's No Fool Like A Young Fool	Tab Hunter
I Waited Too Long	LaVern Baker
Gidget	Jimmy Darren
Frankie's Man, Johnny	Johnny Cash
The Beat	The Rockin R's
Kansas City	Hank Ballard And The Midnighters
Heavenly Lover	Teresa Brewer
Jo-Jo The Dog-Faced Boy	Annette
I Told Myself A Lie	Clyde McPhatter
Lonesome Old House	Don Gibson
The Kissing Tree	Billy Grammer
Who's That Knocking	The Genies
A String Of Trumpets	The Trumpeteers
Just Keep It Up	Dee Clark
Your Cheatin' Heart	Billy Vaughn And His Orchestra
Robbin' The Cradle	Tony Bellus
The Walls Have Ears	Patti Page
Peace	The McGuire Sisters
77 Sunset Strip	The Big Sound Of Don Ralke
You Made Me Love You	Nat King Cole
Summer Dreams	The McGuire Sisters
Young Ideas	Chico Holiday
White Lightning	George Jones
My Heart Is An Open Book	Carl Dobkins, Jr.
The Fountain Of Youth	The Four Lads
Little Queenie	Chuck Berry
Alvin's Harmonica	David Seville And The Chipmunks
Old Spanish Town	The Bell Notes
Separate Ways	Sarah Vaughan
French Foreign Legion	Frank Sinatra
Kansas City	Rocky Olson
Three Stars	Ruby Wright
Talk Of The School	Sonny James
