Sleep Walk	Santo & Johnny
Mack The Knife	Bobby Darin
The Three Bells	The Browns
('til) I Kissed You	The Everly Brothers
I'm Gonna Get Married	Lloyd Price
Sea Of Love	Phil Phillips With The Twilights
Put Your Head On My Shoulder	Paul Anka
Red River Rock	Johnny And The Hurricanes
Teen Beat	Sandy Nelson
Broken-Hearted Melody	Sarah Vaughan
Poison Ivy	The Coasters
Mr. Blue	The Fleetwoods
Just Ask Your Heart	Frankie Avalon
I Want To Walk You Home	Fats Domino
Primrose Lane	Jerry Wallace With The Jewels
Morgen	Ivo Robic and The Song-Masters
The Battle Of Kookamonga	Homer And Jethro
Baby Talk	Jan & Dean
Lonely Street	Andy Williams
Makin' Love	Floyd Robinson
I Loves You, Porgy	Nina Simone
Kissin' Time	Bobby Rydell
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
Hey Little Girl	Dee Clark
Lavender-Blue	Sammy Turner
Mary Lou	Ronnie Hawkins and The Hawks
Caribbean	Mitchell Torok
The Three Bells (The Jimmy Brown Story)	Dick Flood
I Ain't Never	Webb Pierce
Fools Hall Of Fame	Pat Boone
A Worried Man	The Kingston Trio
I'm Gonna Be A Wheel Some Day	Fats Domino
You Were Mine	Fireflies
You're Gonna Miss Me	Connie Francis
The Angels Listened In	The Crests
Thank You Pretty Baby	Brook Benton
Come On And Get Me	Fabian
There Goes My Baby	The Drifters
What'd I Say (Part I & II)	Ray Charles and his Orchestra
Deck Of Cards	Wink Martindale
My Own True Love	Jimmy Clanton
Say Man	Bo Diddley
Okefenokee	Freddie Cannon
It Was I	Skip And Flip
I'm A Hog For You	The Coasters
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
What A Diff'rence A Day Makes	Dinah Washington
You Better Know It	Jackie Wilson
I Got Stripes	Johnny Cash
Don't You Know	Della Reese
Mona Lisa	Conway Twitty
Like I Love You	Edd Byrnes and Friend
The Mummy	Bob McFadden And Dor
Got The Feeling	Fabian
Robbin' The Cradle	Tony Bellus
High Hopes	Frank Sinatra "and a bunch of kids"
Ski King	E.C. Beatty
Just As Much As Ever	Bob Beckham
Where	The Platters
Every Little Thing I Do	Dion & The Belmonts
I've Been There	Tommy Edwards
What Is Love?	The Playmates
A Big Hunk O' Love	Elvis Presley With The Jordanaires
Two Fools	Frankie Avalon
So High So Low	LaVern Baker
Love Potion No. 9	The Clovers
Tucumcari	Jimmie Rodgers
My Heart Is An Open Book	Carl Dobkins, Jr.
With Open Arms	Jane Morgan
Darling, I Love You	Al Martino
On An Evening In Roma	Dean Martin
Shout - Part 1	The Isley Brothers
Somethin Else	Eddie Cochran
True True Happiness	Johnny Tillotson
Danny Boy	Conway Twitty
Midnight Flyer	Nat King Cole
I'll Never Fall In Love Again	Johnnie Ray
I'll Be Seeing You	Tommy Sands
I Ain't Never	The Four Preps
Living Doll	Cliff Richard and The Drifters
Johnny Reb	Johnny Horton
Boogie Bear	Boyd Bennett
It Happened Today	The Skyliners
See You In September	The Tempos
Six Boys And Seven Girls	Anita Bryant
Boo Boo Stick Beat	Chet Atkins
Torquay	Fireballs
Linda Lu	Ray Sharpe
The Caterpillar Crawl	The Strangers
Plenty Good Lovin'	Connie Francis
The Way I Walk	Jack Scott
Wish It Were Me	The Platters
Leave My Kitten Alone	Little Willie John
Sal's Got A Sugar Lip	Johnny Horton
In The Mood	Ernie Fields & Orch.
First Love, First Tears	Duane Eddy His Twangy Guitar And The Rebels
The Enchanted Sea	The Islanders
Poco-Loco	Gene & Eunice
Chapel Of Dreams	The Dubs
I Cried	Joe Damiano
