Mack The Knife	Bobby Darin
Mr. Blue	The Fleetwoods
Put Your Head On My Shoulder	Paul Anka
Don't You Know	Della Reese
Lonely Street	Andy Williams
Teen Beat	Sandy Nelson
Deck Of Cards	Wink Martindale
Primrose Lane	Jerry Wallace With The Jewels
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
Heartaches By The Number	Guy Mitchell
Danny Boy	Conway Twitty
So Many Ways	Brook Benton
In The Mood	Ernie Fields & Orch.
Poison Ivy	The Coasters
Just Ask Your Heart	Frankie Avalon
Oh! Carol	Neil Sedaka
Unforgettable	Dinah Washington
The Enchanted Sea	The Islanders
('til) I Kissed You	The Everly Brothers
Misty	Johnny Mathis
We Got Love	Bobby Rydell
Be My Guest	Fats Domino
Dance With Me	The Drifters
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
Woo-Hoo	Rock-A-Teens
You Were Mine	Fireflies
Hey Little Girl	Dee Clark
Red River Rock	Johnny And The Hurricanes
Sleep Walk	Santo & Johnny
A Worried Man	The Kingston Trio
Living Doll	Cliff Richard and The Drifters
Say Man	Bo Diddley
Love Potion No. 9	The Clovers
Morgen	Ivo Robic and The Song-Masters
The Angels Listened In	The Crests
I've Been Around	Fats Domino
Just As Much As Ever	Bob Beckham
High School U.S.A.	Tommy Facenda
If I Give My Heart To You	Kitty Kallen
Some Kind-A Earthquake	Duane Eddy His Twangy Guitar And The Rebels
The Enchanted Sea	The Exotic Sounds of Martin Denny
Torquay	Fireballs
Believe Me	Royal Teens
Come Into My Heart	Lloyd Price and His Orchestra
Reveille Rock	Johnny And The Hurricanes
Joey's Song	Bill Haley And His Comets
Tucumcari	Jimmie Rodgers
Talk To Me	Frank Sinatra
The Clouds	The Spacemen
Makin' Love	Floyd Robinson
Poco-Loco	Gene & Eunice
The Three Bells	The Browns
Mary Lou	Ronnie Hawkins and The Hawks
You Better Know It	Jackie Wilson
Shout - Part 1	The Isley Brothers
Always	Sammy Turner
(If You Cry) True Love, True Love	The Drifters
First Name Initial	Annette With The Afterbeats
I'm Gonna Get Married	Lloyd Price
Fools Hall Of Fame	Pat Boone
Broken-Hearted Melody	Sarah Vaughan
Boo Boo Stick Beat	Chet Atkins
I Loves You, Porgy	Nina Simone
I Don't Know	Ruth Brown
First Love, First Tears	Duane Eddy His Twangy Guitar And The Rebels
Pretend	Carl Mann
It Happened Today	The Skyliners
Midnight Stroll	The Revels
The Battle Of Kookamonga	Homer And Jethro
I Ain't Never	Webb Pierce
Running Bear	Johnny Preston
You Got What It Takes	Marv Johnson
You Went Back On Your Word	Clyde McPhatter
My Heart Became Of Age	Annette With The Afterbeats
Scarlet Ribbons (For Her Hair)	The Browns
Tennessee Waltz	Bobby Comstock
Starry Eyed	Gary Stites
The Hunch	Bobby Peterson Quintet
There Comes A Time	Jack Scott
Marina	Rocco Granata and the International Quintet
Tennessee Waltz	Jerry Fuller
Tiny Tim	LaVern Baker
The Hunch	Paul Gayten
Just To Be With You	The Passions
Fancy Nancy	Skip And Flip
Uh! Oh! Part 2	The Nutty Squirrels
Happy Anniversary	Jane Morgan
El Paso	Marty Robbins
Smooth Operator	Sarah Vaughan
Happy Anniversary	The Four Lads
Wheel Of Fortune	The Knightsbridge Strings
I'll Be Seeing You	Poni-Tails
One More Chance	Rod Bernard
Don't Destroy Me	Crash Craddock
Honestly And Truly	Tommy Edwards
I'm Movin' On	Ray Charles and his Orchestra
There's A Girl	Jan & Dean
Old Shep	Ralph DeMarco
There, I've Said It Again	Sam Cooke
Wont'cha Come Home	Lloyd Price and His Orchestra
