Mr. Blue	The Fleetwoods
Mack The Knife	Bobby Darin
Don't You Know	Della Reese
Put Your Head On My Shoulder	Paul Anka
Heartaches By The Number	Guy Mitchell
Lonely Street	Andy Williams
Teen Beat	Sandy Nelson
Deck Of Cards	Wink Martindale
So Many Ways	Brook Benton
Primrose Lane	Jerry Wallace With The Jewels
In The Mood	Ernie Fields & Orch.
We Got Love	Bobby Rydell
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
Danny Boy	Conway Twitty
The Enchanted Sea	The Islanders
Dance With Me	The Drifters
Be My Guest	Fats Domino
Unforgettable	Dinah Washington
Oh! Carol	Neil Sedaka
Misty	Johnny Mathis
Woo-Hoo	Rock-A-Teens
You Were Mine	Fireflies
Love Potion No. 9	The Clovers
Just Ask Your Heart	Frankie Avalon
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
Poison Ivy	The Coasters
('til) I Kissed You	The Everly Brothers
High School U.S.A.	Tommy Facenda
Reveille Rock	Johnny And The Hurricanes
Say Man	Bo Diddley
The Enchanted Sea	The Exotic Sounds of Martin Denny
Living Doll	Cliff Richard and The Drifters
I've Been Around	Fats Domino
If I Give My Heart To You	Kitty Kallen
Always	Sammy Turner
Just As Much As Ever	Bob Beckham
Believe Me	Royal Teens
You Got What It Takes	Marv Johnson
Torquay	Fireballs
Talk To Me	Frank Sinatra
The Clouds	The Spacemen
(If You Cry) True Love, True Love	The Drifters
Wont'cha Come Home	Lloyd Price and His Orchestra
The Angels Listened In	The Crests
Midnight Stroll	The Revels
I Dig Girls	Bobby Rydell
Come Into My Heart	Lloyd Price and His Orchestra
Poco-Loco	Gene & Eunice
Joey's Song	Bill Haley And His Comets
Scarlet Ribbons (For Her Hair)	The Browns
Marina	Rocco Granata and the International Quintet
Tennessee Waltz	Bobby Comstock
Hey Little Girl	Dee Clark
A Worried Man	The Kingston Trio
The Big Hurt	Miss Toni Fisher
Red River Rock	Johnny And The Hurricanes
Sleep Walk	Santo & Johnny
Some Kind-A Earthquake	Duane Eddy His Twangy Guitar And The Rebels
Morgen	Ivo Robic and The Song-Masters
First Love, First Tears	Duane Eddy His Twangy Guitar And The Rebels
Shout - Part 1	The Isley Brothers
Makin' Love	Floyd Robinson
Tennessee Waltz	Jerry Fuller
Pretend	Carl Mann
Tiny Tim	LaVern Baker
Smooth Operator	Sarah Vaughan
The Best Of Everything	Johnny Mathis
I'm Movin' On	Ray Charles and his Orchestra
First Name Initial	Annette With The Afterbeats
Uh! Oh! Part 2	The Nutty Squirrels
Fancy Nancy	Skip And Flip
You Went Back On Your Word	Clyde McPhatter
El Paso	Marty Robbins
One More Chance	Rod Bernard
Mary Lou	Ronnie Hawkins and The Hawks
Broken-Hearted Melody	Sarah Vaughan
Happy Anniversary	The Four Lads
Boo Boo Stick Beat	Chet Atkins
Starry Eyed	Gary Stites
The Three Bells	The Browns
Hound Dog Man	Fabian
The Hunch	Bobby Peterson Quintet
Happy Anniversary	Jane Morgan
Tucumcari	Jimmie Rodgers
The Hunch	Paul Gayten
It Happened Today	The Skyliners
I'll Be Seeing You	Poni-Tails
Wheel Of Fortune	The Knightsbridge Strings
Just To Be With You	The Passions
There, I've Said It Again	Sam Cooke
Old Shep	Ralph DeMarco
Goodnight My Love (Pleasant Dreams)	Ray Peterson
Gilee	Sonny Spencer
Honestly And Truly	Tommy Edwards
Marina	Jacky Noguez And His Orchestra
God Bless America	Connie Francis
(New In) The Ways Of Love	Tommy Edwards
I'll Walk The Line	Don Costa And His Orchestra And Chorus
I Don't Know	Ruth Brown
So Young	Clyde Stacy
