El Paso	Marty Robbins
Why	Frankie Avalon
Way Down Yonder In New Orleans	Freddie Cannon
Running Bear	Johnny Preston
The Big Hurt	Miss Toni Fisher
It's Time To Cry	Paul Anka
Go, Jimmy, Go	Jimmy Clanton
Among My Souvenirs	Connie Francis
Pretty Blue Eyes	Steve Lawrence
Heartaches By The Number	Guy Mitchell
Hound Dog Man	Fabian
The Village Of St. Bernadette	Andy Williams
Mack The Knife	Bobby Darin
Teen Angel	Mark Dinning
You Got What It Takes	Marv Johnson
Not One Minute More	Della Reese
Smokie - Part 2	Bill Black's Combo
We Got Love	Bobby Rydell
Sandy	Larry Hall
First Name Initial	Annette With The Afterbeats
This Friendly World	Fabian
The Little Drummer Boy	The Harry Simeone Chorale
Scarlet Ribbons (For Her Hair)	The Browns
Uh! Oh! Part 2	The Nutty Squirrels
In The Mood	Ernie Fields & Orch.
I Wanna Be Loved	Ricky Nelson
Oh! Carol	Neil Sedaka
Where Or When	Dion & The Belmonts
He'll Have To Go	Jim Reeves
Tear Drop	Santo & Johnny
Come Into My Heart	Lloyd Price and His Orchestra
So Many Ways	Brook Benton
Down By The Station	The Four Preps
Talk That Talk	Jackie Wilson
Just Come Home	Hugo & Luigi
If I Had A Girl	Rod Lauren
How About That	Dee Clark
Be My Guest	Fats Domino
Don't You Know	Della Reese
Bonnie Came Back	Duane Eddy His Twangy Guitar And The Rebels
Mary Don't You Weep	Stonewall Jackson
Handy Man	Jimmy Jones
Lucky Devil	Carl Dobkins, Jr.
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
A Year Ago Tonight	The Crests
Run Red Run	The Coasters
What About Us	The Coasters
Let's Try Again	Clyde McPhatter
Mighty Good	Ricky Nelson
The Clouds	The Spacemen
(New In) The Ways Of Love	Tommy Edwards
Danny Boy	Conway Twitty
Dance With Me	The Drifters
Marina	Rocco Granata and the International Quintet
Baciare Baciare (Kissing Kissing)	Dorothy Collins
No Love Have I	Webb Pierce
Believe Me	Royal Teens
Misty	Johnny Mathis
Little Things Mean A Lot	Joni James
Tracy's Theme	Spencer Ross
Lonely Blue Boy	Conway Twitty
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
Honey Hush	Joe Turner
Crazy Arms	Bob Beckham
Marina	Willy Alberti
Sweet Nothin's	Brenda Lee
Always	Sammy Turner
(If You Cry) True Love, True Love	The Drifters
Swingin' On A Rainbow	Frankie Avalon
This Time Of The Year	Brook Benton
Skokiaan (South African Song)	Bill Haley And His Comets
Wont'cha Come Home	Lloyd Price and His Orchestra
Mr. Blue	The Fleetwoods
Climb Ev'ry Mountain	Tony Bennett
What In The World's Come Over You	Jack Scott
Let It Be Me	The Everly Brothers
Harlem Nocturne	The Viscounts
Promise Me A Rose (A Slight Detail)	Anita Bryant
Reveille Rock	Johnny And The Hurricanes
Rockin' Little Angel	Ray Smith
I Don't Know What It Is	The Bluenotes
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
T.L.C. Tender Love And Care	Jimmie Rodgers
Uh! Oh! Part 1	The Nutty Squirrels
Riverboat	Faron Young
Darling Lorraine	The Knockouts
I'm Movin' On	Ray Charles and his Orchestra
God Bless America	Connie Francis
Little Coco Palm	Jerry Wallace
The Sound Of Music	Patti Page
High School U.S.A.	Tommy Facenda
In The Still Of The Nite	The Five Satins
The Happy Reindeer	Dancer, Prancer And Nervous
One Mint Julep	Chet Atkins
Smokie-Part 2	Bill Doggett
The Theme From "A Summer Place"	Percy Faith And His Orchestra
Let The Good Times Roll	Ray Charles
Tell Her For Me	Adam Wade
Bulldog	The Fireballs
Teenage Hayride	Tender Slim
