Blue Moon	The Marcels
Runaway	Del Shannon
Mother-In-Law	Ernie K-Doe
On The Rebound	Floyd Cramer
But I Do	Clarence Henry
Apache	Jorgen Ingmann & His Guitar
Dedicated To The One I Love	The Shirelles
Asia Minor	Kokomo
A Hundred Pounds Of Clay	Gene McDaniels
Surrender	Elvis Presley With The Jordanaires
Take Good Care Of Her	Adam Wade
Don't Worry	Marty Robbins
Please Love Me Forever	Cathy Jean and The Roommates
One Mint Julep	Ray Charles
Pony Time	Chubby Checker
You Can Depend On Me	Brenda Lee
Baby Blue	The Echoes
I've Told Every Little Star	Linda Scott
Tonight My Love, Tonight	Paul Anka
Please Tell Me Why	Jackie Wilson
Walk Right Back	The Everly Brothers
Think Twice	Brook Benton
Portrait Of My Love	Steve Lawrence
Gee Whiz (Look At His Eyes)	Carla Thomas
Just For Old Time's Sake	The McGuire Sisters
Wheels	The String-A-Longs
Daddy's Home	Shep And The Limelites
Once Upon A Time	Rochell And The Candles With Johnny Wyatt
Where The Boys Are	Connie Francis
Trust In Me	Etta James
Find Another Girl	Jerry Butler
Tenderly	Bert Kaempfert And His Orchestra
Hide Away	Freddy King
Shu Rah	Fats Domino
Brass Buttons	The String-A-Longs
Some Kind Of Wonderful	The Drifters
(Love Theme From) One Eyed Jacks	Ferrante & Teicher
Like, Long Hair	Paul Revere & The Raiders
Theme From Dixie	Duane Eddy
Model Girl	Johnny Maestro
Ebony Eyes	The Everly Brothers
Bumble Boogie	B. Bumble & The Stingers
Fell In Love On Monday	Fats Domino
Tonight I Fell In Love	The Tokens
I'm In The Mood For Love	The Chimes
Funny	Maxine Brown
Frogg	The Brothers Four
To Be Loved (Forever)	The Pentagons
That's It - I Quit - I'm Movin' On	Sam Cooke
Ginnie Bell	Paul Dino
The Continental Walk	Hank Ballard And The Midnighters
Ain't It, Baby	The Miracles
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Running Scared	Roy Orbison
(Theme from) My Three Sons	Lawrence Welk And His Orchestra
Breakin' In A Brand New Broken Heart	Connie Francis
Happy Birthday Blues	Kathy Young With The Innocents
Sleepy-Eyed John	Johnny Horton
Bye Bye Baby	Mary Wells
Foolin' Around	Kay Starr
Spanish Harlem	Ben E. King
Trees	The Platters
Bonanza	Al Caiola And His Orchestra
African Waltz	Cannonball Adderley Orchestra
Bewildered	James Brown And The Famous Flames
Merry-Go-Round	Marv Johnson
(It Never Happens) In Real Life	Chuck Jackson
Exodus	Eddie Harris
Good, Good Lovin'	Chubby Checker
The Second Time Around	Frank Sinatra
The Charanga	Merv Griffin
The Next Kiss (Is The Last Goodbye)	Conway Twitty
Triangle	Janie Grant
Underwater	The Frogmen
Lullaby Of Love	Frank Gari
Glory Of Love	The Roommates
Hello Walls	Faron Young
Mama Said	The Shirelles
Saved	LaVern Baker
The Continental Walk	The Rollers
Seventeen	Frankie Ford
Girl Of My Best Friend	Ral Donner
Come Along	Maurice Williams & The Zodiacs
I'll Just Have A Cup Of Coffee (Then I'll Go)	Claude Gray
Flaming Star	Elvis Presley With The Jordanaires
The Very Thought Of You	Little Willie John
La Pachanga	Audrey Arno And The Hazy Osterwald Sextet
A Scottish Soldier (Green Hills of Tyrol)	Andy Stewart
California Sun	Joe Jones
Ling-Ting-Tong	Buddy Knox
Come On Over	The Strollers
Welcome Home	Sammy Kaye And His Orchestra
Three Hearts In A Tangle	Roy Drusky
Your One And Only Love	Jackie Wilson
The Mess Around	Bobby Freeman
Hop Scotch	Santo & Johnny
Ground Hog	The Browns Featuring Jim Edward Brown
Where I Fell In Love	The Capris
Tragedy	The Fleetwoods
Little Pedro	The Olympics
