Mother-In-Law	Ernie K-Doe
Runaway	Del Shannon
Daddy's Home	Shep And The Limelites
A Hundred Pounds Of Clay	Gene McDaniels
Travelin' Man	Ricky Nelson
Mama Said	The Shirelles
Running Scared	Roy Orbison
Breakin' In A Brand New Broken Heart	Connie Francis
Hello Mary Lou	Ricky Nelson
I've Told Every Little Star	Linda Scott
You Can Depend On Me	Brenda Lee
Blue Moon	The Marcels
Portrait Of My Love	Steve Lawrence
Take Good Care Of Her	Adam Wade
Little Devil	Neil Sedaka
Tragedy	The Fleetwoods
I Feel So Bad	Elvis Presley
Hello Walls	Faron Young
Tonight I Fell In Love	The Tokens
Bonanza	Al Caiola And His Orchestra
Just For Old Time's Sake	The McGuire Sisters
Girl Of My Best Friend	Ral Donner
On The Rebound	Floyd Cramer
But I Do	Clarence Henry
That Old Black Magic	Bobby Rydell
One Mint Julep	Ray Charles
Flaming Star	Elvis Presley With The Jordanaires
Stand By Me	Ben E. King
Funny	Maxine Brown
Bumble Boogie	B. Bumble & The Stingers
Moody River	Pat Boone
(Dance The) Mess Around	Chubby Checker
Lullaby Of Love	Frank Gari
Triangle	Janie Grant
Barbara-Ann	The Regents
Peanut Butter	The Marathons
Some Kind Of Wonderful	The Drifters
Raindrops	Dee Clark
What A Surprise	Johnny Maestro The Voice Of The Crests
Baby Blue	The Echoes
Exodus	Eddie Harris
The Touchables In Brooklyn	Dickie Goodman
Rama Lama Ding Dong	The Edsels
Tossin' And Turnin'	Bobby Lewis
I'm A Fool To Care	Joe Barry
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
(It Never Happens) In Real Life	Chuck Jackson
You Always Hurt The One You Love	Clarence Henry
The Continental Walk	Hank Ballard And The Midnighters
Tonight My Love, Tonight	Paul Anka
Asia Minor	Kokomo
Never On Sunday	Don Costa And His Orchestra And Chorus
Glory Of Love	The Roommates
Buzz Buzz A-Diddle-It	Freddy Cannon
You'd Better Come Home	Russell Byrd
The Writing On The Wall	Adam Wade
Little Egypt (Ying-Yang)	The Coasters
Count Every Star	Donnie and The Dreamers
The Bilbao Song	Andy Williams
In My Heart	The Timetones
That's The Way With Love	Piero Soffici
The Wayward Wind	Gogi Grant
Every Beat Of My Heart	Pips
Better Tell Him No	The Starlets
Halfway To Paradise	Tony Orlando
Big Big World	Johnny Burnette
Every Beat Of My Heart	Gladys Knight And The Pips
A Love Of My Own	Carla Thomas
Be My Boy	Paris Sisters
Three Hearts In A Tangle	Roy Drusky
The Boll Weevil Song	Brook Benton
Good, Good Lovin'	Chubby Checker
It Keeps Rainin'	Fats Domino
(I've Got) Spring Fever	Little Willie John
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Miss Fine	The New Yorkers
I Don't Mind	James Brown And The Famous Flames
Underwater	The Frogmen
Lullaby Of The Leaves	The Ventures
Son-In-Law	Louise Brown
Tell Me Why	The Belmonts
Anna	Jorgen Ingmann & His Guitar
Milord	Teresa Brewer
Son-In-Law	The Blossoms
Saved	LaVern Baker
Brother-In-Law (He's A Moocher)	Paul Peek
I Can't Do It By Myself	Anita Bryant
I'm In The Mood For Love	The Chimes
Our Love Is Here To Stay	Dinah Washington
A Cross Stands Alone	Jimmy Witter
Pick Me Up On Your Way Down	Pat Zill
Ronnie	Marcy Joe
For Your Love	The Wanderers
Lonesome Whistle Blues	Freddy King
The Girl's A Devil	The Dukays
I Fall To Pieces	Patsy Cline
Nobody Cares (about me)	Jeanette (Baby) Washington
Heart And Soul	The Cleftones
Quarter To Three	U.S. Bonds
Driving Wheel	Junior Parker
