Quarter To Three	U.S. Bonds
Raindrops	Dee Clark
Moody River	Pat Boone
Tossin' And Turnin'	Bobby Lewis
Travelin' Man	Ricky Nelson
The Writing On The Wall	Adam Wade
The Boll Weevil Song	Brook Benton
Every Beat Of My Heart	Pips
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Stand By Me	Ben E. King
Yellow Bird	Arthur Lyman Group
You Always Hurt The One You Love	Clarence Henry
Dance On Little Girl	Paul Anka
Running Scared	Roy Orbison
I Feel So Bad	Elvis Presley
Hello Mary Lou	Ricky Nelson
Barbara-Ann	The Regents
Hats Off To Larry	Del Shannon
San Antonio Rose	Floyd Cramer
Tell Me Why	The Belmonts
Hello Walls	Faron Young
Heart And Soul	The Cleftones
Peanut Butter	The Marathons
I'm A Fool To Care	Joe Barry
Rama Lama Ding Dong	The Edsels
Wild In The Country	Elvis Presley With The Jordanaires
Temptation	The Everly Brothers
It Keeps Rainin'	Fats Domino
Little Egypt (Ying-Yang)	The Coasters
Tonight (Could Be The Night)	The Velvets featuring Virgil Johnson
Dum Dum	Brenda Lee
I'm Comin' On On Back To You	Jackie Wilson
My Kind Of Girl	Matt Monro
Ole Buttermilk Sky	Bill Black's Combo
Three Hearts In A Tangle	Roy Drusky
Cupid	Sam Cooke
Tragedy	The Fleetwoods
Please Stay	The Drifters
You Can't Sit Down Part 2	Philip Upchurch Combo
Count Every Star	Donnie and The Dreamers
I Like It Like That, Part 1	Chris Kenner
Daddy's Home	Shep And The Limelites
Jura (I Swear I Love You)	Les Paul And Mary Ford
Better Tell Him No	The Starlets
A Hundred Pounds Of Clay	Gene McDaniels
Mother-In-Law	Ernie K-Doe
I Don't Mind	James Brown And The Famous Flames
Together	Connie Francis
Little Devil	Neil Sedaka
Sacred	The Castells
Nature Boy	Bobby Darin
Should I	The String-A-Longs
Mama Said	The Shirelles
I Fall To Pieces	Patsy Cline
Runaway	Del Shannon
Stick With Me Baby	The Everly Brothers
Girl Of My Best Friend	Ral Donner
Lullaby Of Love	Frank Gari
Never On Sunday	Don Costa And His Orchestra And Chorus
Every Beat Of My Heart	Gladys Knight And The Pips
Fool That I Am	Etta James
Let's Twist Again	Chubby Checker
The Graduation Song... Pomp And Circumstance	Adrian Kimberly
The Bilbao Song	Andy Williams
Watch Your Step	Bobby Parker
I've Got News For You	Ray Charles
You'll Answer To Me	Patti Page
Never On Sunday	The Chordettes
A Scottish Soldier (Green Hills of Tyrol)	Andy Stewart
Daydreams	Johnny Crawford
The Girl's A Devil	The Dukays
Dream	Etta James
Sea Of Heartbreak	Don Gibson
Bobby	Neil Scott
Mom And Dad's Waltz	Patti Page
The Lonely Crowd	Teddy Vann
The Switch-A-Roo	Hank Ballard And The Midnighters
No, No, No	The Chanters
I'm Gonna Knock On Your Door	Eddie Hodges
The Charleston	Ernie Fields
Hold Back The Tears	The Delacardos
That's What Girls Are Made For	The Spinners
Quite A Party	The Fireballs
I'm Gonna Move To The Outskirts Of Town	Ray Charles
(Theme From) "Goodbye Again"	Ferrante & Teicher
Joanie	Frankie Calen
Heart And Soul	Jan & Dean
Sad Eyes (Don't You Cry)	The Echoes
Blue Tomorrow	Billy Vaughn And His Orchestra
Te-Ta-Te-Ta-Ta	Ernie K-Doe
Point Of No Return	Adam Wade
Jimmy Martinez	Marty Robbins
Nobody Cares (about me)	Jeanette (Baby) Washington
Yellow Bird	Lawrence Welk And His Orchestra
Anna	Jorgen Ingmann & His Guitar
I'll Never Be Free	Kay Starr
Right Or Wrong	Wanda Jackson
Wooden Heart	Joe Dowell
Rainin' In My Heart	Slim Harpo
Take A Fool's Advice	Nat King Cole
