Tossin' And Turnin'	Bobby Lewis
The Boll Weevil Song	Brook Benton
Quarter To Three	U.S. Bonds
Raindrops	Dee Clark
The Writing On The Wall	Adam Wade
Every Beat Of My Heart	Pips
Moody River	Pat Boone
Yellow Bird	Arthur Lyman Group
Hats Off To Larry	Del Shannon
Dance On Little Girl	Paul Anka
San Antonio Rose	Floyd Cramer
Travelin' Man	Ricky Nelson
Dum Dum	Brenda Lee
I Like It Like That, Part 1	Chris Kenner
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Stand By Me	Ben E. King
Please Stay	The Drifters
Tell Me Why	The Belmonts
I'm Comin' On On Back To You	Jackie Wilson
Together	Connie Francis
Hello Mary Lou	Ricky Nelson
Running Scared	Roy Orbison
It Keeps Rainin'	Fats Domino
Never On Sunday	The Chordettes
Ole Buttermilk Sky	Bill Black's Combo
Tonight (Could Be The Night)	The Velvets featuring Virgil Johnson
Let's Twist Again	Chubby Checker
Cupid	Sam Cooke
You Can't Sit Down Part 2	Philip Upchurch Combo
Heart And Soul	The Cleftones
Sacred	The Castells
My Kind Of Girl	Matt Monro
Heart And Soul	Jan & Dean
The Graduation Song... Pomp And Circumstance	Adrian Kimberly
You Always Hurt The One You Love	Clarence Henry
Rainin' In My Heart	Slim Harpo
The Fish	Bobby Rydell
Sea Of Heartbreak	Don Gibson
Hello Walls	Faron Young
Nature Boy	Bobby Darin
The Switch-A-Roo	Hank Ballard And The Midnighters
Barbara-Ann	The Regents
Last Night	Mar-Keys
I Fall To Pieces	Patsy Cline
That's What Girls Are Made For	The Spinners
Pretty Little Angel Eyes	Curtis Lee
You'll Answer To Me	Patti Page
Peanut Butter	The Marathons
Should I	The String-A-Longs
Better Tell Him No	The Starlets
Watch Your Step	Bobby Parker
Jura (I Swear I Love You)	Les Paul And Mary Ford
Three Hearts In A Tangle	Roy Drusky
Fool That I Am	Etta James
Wooden Heart	Joe Dowell
Eventually	Brenda Lee
I'll Be There	Damita Jo
Mom And Dad's Waltz	Patti Page
Never On Sunday	Don Costa And His Orchestra And Chorus
Te-Ta-Te-Ta-Ta	Ernie K-Doe
No, No, No	The Chanters
Quite A Party	The Fireballs
I'm Gonna Knock On Your Door	Eddie Hodges
The Girl's A Devil	The Dukays
Bobby	Neil Scott
Don't Bet Money Honey	Linda Scott
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
A Tear	Gene McDaniels
Time Was	The Flamingos
Rama Lama Ding Dong	The Edsels
Yellow Bird	Lawrence Welk And His Orchestra
I've Got News For You	Ray Charles
Peanuts	Rick And The Keens
Granada	Frank Sinatra
The Charleston	Ernie Fields
Dream	Etta James
My True Story	The Jive Five With Joe Rene And Orchestra
Princess	Frank Gari
Ready For Your Love	Shep And The Limelites
Joanie	Frankie Calen
Tender Years	George Jones
Little Egypt (Ying-Yang)	The Coasters
You Don't Know What You've Got (Until You Lose It)	Ral Donner
Blue Tomorrow	Billy Vaughn And His Orchestra
Point Of No Return	Adam Wade
I Feel So Bad	Elvis Presley
Take A Fool's Advice	Nat King Cole
Runaround	The Regents
Boogie Woogie	B. Bumble & The Stingers
La Dolce Vita (The Sweet Life)	Ray Ellis And His Orchestra
Mighty Good Lovin'	The Miracles
A Thing Of The Past	The Shirelles
The Astronaut (Parts 1 & 2)	Jose Jimenez
One Summer Night	The Diamonds
Wishin' On A Rainbow	Phill Wilson
The Guns Of Navarone	Joe Reisman Orch. & Chorus
Black Land Farmer	Frankie Miller
I'm A Fool To Care	Joe Barry
What Would You Do?	Jim Reeves
Michael	The Highwaymen
