Wooden Heart	Joe Dowell
Tossin' And Turnin'	Bobby Lewis
Michael	The Highwaymen
Last Night	Mar-Keys
You Don't Know What You've Got (Until You Lose It)	Ral Donner
I Like It Like That, Part 1	Chris Kenner
School Is Out	Gary U.S. Bonds
Pretty Little Angel Eyes	Curtis Lee
Don't Bet Money Honey	Linda Scott
Hurt	Timi Yuro
As If I Didn't Know	Adam Wade
I'm Gonna Knock On Your Door	Eddie Hodges
My True Story	The Jive Five With Joe Rene And Orchestra
I Fall To Pieces	Patsy Cline
Let The Four Winds Blow	Fats Domino
Let's Twist Again	Chubby Checker
Dum Dum	Brenda Lee
Together	Connie Francis
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)	Lonnie Donegan And His Skiffle Group
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
Sea Of Heartbreak	Don Gibson
Amor	Ben E. King
Take Good Care Of My Baby	Bobby Vee
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
I'm A Telling You	Jerry Butler
Little Sister	Elvis Presley
I Just Don't Understand	Ann-Margret
Without You	Johnny Tillotson
Crying	Roy Orbison
Princess	Frank Gari
I'll Never Smile Again	The Platters
The Mountain's High	Dick and DeeDee
I Don't Want To Take A Chance	Mary Wells
When We Get Married	The Dreamlovers
A Little Bit Of Soap	The Jarmels
Nag	The Halos
One Summer Night	The Diamonds
Right Or Wrong	Wanda Jackson
I'll Be There	Damita Jo
Hats Off To Larry	Del Shannon
Never On Sunday	The Chordettes
It's Gonna Work Out Fine	Ike & Tina Turner
Don't Cry, Baby	Etta James
Starlight, Starbright	Linda Scott
Frankie And Johnny	Brook Benton
Transistor Sister	Freddy Cannon
San-Ho-Zay	Freddy King
Let Me Belong To You	Brian Hyland
Nothing But Good	Hank Ballard And The Midnighters
Lover's Island	The Blue Jays
Water Boy	Don Shirley Trio
More Money For You And Me	The Four Preps
Big Cold Wind	Pat Boone
Hully Gully Again	Little Caesar and The Romans
A Thing Of The Past	The Shirelles
Missing You	Ray Peterson
Bless You	Tony Orlando
Now And Forever	Bert Kaempfert And His Orchestra
Kissin' On The Phone	Paul Anka
Magic Moon (Clair De Lune)	The Rays
Candy Man	Roy Orbison
Teardrops In My Heart	Joe Barry
Lonely Street	Clarence Henry
Baby, You're Right	James Brown And The Famous Flames
(Marie's The Name) His Latest Flame	Elvis Presley
Every Breath I Take	Gene Pitney
Roll Over Beethoven	The Velaires
Mexico	Bob Moore and His Orch.
One Track Mind	Bobby Lewis
Back Beat No. 1	The Rondels
Don't Cry No More	Bobby Bland
Summer Souvenirs	Karl Hammel, Jr.
Baby You're So Fine	Mickey & Sylvia
Music, Music, Music	The Sensations Featuring Yvonne
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T	Ray Stevens
Wizard Of Love	The Ly - Dells
Sweet Little You	Neil Sedaka
I Wake Up Crying	Chuck Jackson
Pitter-Patter	The Four Sportsmen
Look In My Eyes	The Chantels
Well-A, Well-A	Shirley & Lee
My Kind Of Girl	Matt Monro
Quarter To Three	U.S. Bonds
Years From Now	Jackie Wilson
Black Land Farmer	Wink Martindale
Starlight	The Preludes Five
Keep On Dancing	Hank Ballard And The Midnighters
My Blue Heaven	Duane Eddy And The Rebels
Big River, Big Man	Claude King
My Heart's On Fire	Billy Bland
Romeo	Janie Grant
The Boll Weevil Song	Brook Benton
My Dream Come True	Jack Scott
You're The Reason	Joe South
Donald Where's Your Troosers?	Andy Stewart
Don't Forget I Love You	The Butanes
You're The Reason	Bobby Edwards
(Theme From) Silver City	The Ventures
I Can't Take It	Mary Ann Fisher
Quite A Party	The Fireballs
