Runaround Sue	Dion
Bristol Stomp	The Dovells
Big Bad John	Jimmy Dean
Hit The Road Jack	Ray Charles and his Orchestra
I Love How You Love Me	The Paris Sisters
Sad Movies (Make Me Cry)	Sue Thompson
Ya Ya	Lee Dorsey
Let's Get Together	Hayley Mills and Hayley Mills
The Fly	Chubby Checker
This Time	Troy Shondell
Tower Of Strength	Gene McDaniels
Mexico	Bob Moore and His Orch.
You Must Have Been A Beautiful Baby	Bobby Darin
(He's My) Dreamboat	Connie Francis
Crying	Roy Orbison
Sweets For My Sweet	The Drifters
Fool #1	Brenda Lee
You're The Reason	Bobby Edwards
The Way You Look Tonight	The Lettermen
Look In My Eyes	The Chantels
A Wonder Like You	Rick Nelson
Don't Blame Me	The Everly Brothers
I Understand (Just How You Feel)	The G-Clefs
Big John	The Shirelles
Foot Stomping - Part 1	The Flares
Everlovin'	Rick Nelson
Stick Shift	Duals
Take Good Care Of My Baby	Bobby Vee
Heartaches	The Marcels
Candy Man	Roy Orbison
Anybody But Me	Brenda Lee
My True Story	The Jive Five With Joe Rene And Orchestra
Please Mr. Postman	The Marvelettes
Little Sister	Elvis Presley
So Long Baby	Del Shannon
I Really Love You	The Stereos
What A Party	Fats Domino
Take Five	The Dave Brubeck Quartet
Moon River	Jerry Butler
The Mountain's High	Dick and DeeDee
September In The Rain	Dinah Washington
School Is In	Gary U.S. Bonds
Please Don't Go	Ral Donner
Hollywood	Connie Francis
Crazy	Patsy Cline
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
Movin'	Bill Black's Combo
Goodbye Cruel World	James Darren
Tonight	Ferrante & Teicher
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
It's Just A House Without You	Brook Benton
I Wanna Thank You	Bobby Rydell
God, Country And My Baby	Johnny Burnette
Moon River	Henry Mancini And His Orchestra
(Marie's The Name) His Latest Flame	Elvis Presley
It's Gonna Work Out Fine	Ike & Tina Turner
(He's) The Great Impostor	The Fleetwoods
One Track Mind	Bobby Lewis
Missing You	Ray Peterson
The Bridge Of Love	Joe Dowell
Bless You	Tony Orlando
Michael	The Highwaymen
Feel It	Sam Cooke
Without You	Johnny Tillotson
I'll Be Seeing You	Frank Sinatra
Young Boy Blues	Ben E. King
Your Last Goodbye	Floyd Cramer
Morning After	Mar-Keys
The Astronaut (Parts 1 & 2)	Jose Jimenez
My Heart Belongs To Only You	Jackie Wilson
Gypsy Woman	The Impressions
Berlin Melody	Billy Vaughn And His Orchestra
Under The Moon Of Love	Curtis Lee
The Way I Am	Jackie Wilson
Bright Lights Big City	Jimmy Reed
Come September	Billy Vaughn And His Orchestra
Blue Moon	The Ventures
Don't Get Around Much Anymore	The Belmonts
Somewhere Along The Way	Steve Lawrence
It's Your World	Marty Robbins
Everybody's Gotta Pay Some Dues	The Miracles
In The Middle Of A Heartache	Wanda Jackson
Don't Cry No More	Bobby Bland
Human	Tommy Hunt
Tonight I Won't Be There	Adam Wade
Danny Boy	Andy Williams
Sad Movies (Make Me Cry)	The Lennon Sisters
Three Steps From The Altar	Shep And The Limelites
Backtrack	Faron Young
Sometime	Gene Thomas
For Me And My Gal	Freddy Cannon
Why Not Now	Matt Monro
I Don't Know Why	Linda Scott
Let There Be Drums	Sandy Nelson
'Til	The Angels
Town Without Pity	Gene Pitney
Turn Around, Look At Me	Glen Campbell
Walk On By	Leroy Van Dyke
On Bended Knees	Clarence Henry
I Wonder (If Your Love Will Ever Belong To Me)	The Pentagons
