Big Bad John	Jimmy Dean
Runaround Sue	Dion
Please Mr. Postman	The Marvelettes
Goodbye Cruel World	James Darren
Fool #1	Brenda Lee
Bristol Stomp	The Dovells
Heartaches	The Marcels
Tower Of Strength	Gene McDaniels
Crazy	Patsy Cline
This Time	Troy Shondell
The Fly	Chubby Checker
Walk On By	Leroy Van Dyke
Tonight	Ferrante & Teicher
I Understand (Just How You Feel)	The G-Clefs
You're The Reason	Bobby Edwards
The Twist	Chubby Checker
Run To Him	Bobby Vee
A Wonder Like You	Rick Nelson
I Love How You Love Me	The Paris Sisters
Moon River	Jerry Butler
I Wanna Thank You	Bobby Rydell
Hit The Road Jack	Ray Charles and his Orchestra
September In The Rain	Dinah Washington
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
God, Country And My Baby	Johnny Burnette
Moon River	Henry Mancini And His Orchestra
Let There Be Drums	Sandy Nelson
Happy Birthday, Sweet Sixteen	Neil Sedaka
In The Middle Of A Heartache	Wanda Jackson
Everlovin'	Rick Nelson
Sad Movies (Make Me Cry)	Sue Thompson
Gypsy Woman	The Impressions
Let's Get Together	Hayley Mills and Hayley Mills
Ya Ya	Lee Dorsey
Foot Stomping - Part 1	The Flares
The Lion Sleeps Tonight	The Tokens
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
I Don't Know Why	Linda Scott
Crying	Roy Orbison
Let's Twist Again	Chubby Checker
Language Of Love	John D. Loudermilk
Smile	Timi Yuro
Peppermint Twist - Part I	Joey Dee & the Starliters
Town Without Pity	Gene Pitney
Up A Lazy River	Si Zentner And His Orchestra
Under The Moon Of Love	Curtis Lee
'Til	The Angels
Anybody But Me	Brenda Lee
Candy Man	Roy Orbison
Your Ma Said You Cried In Your Sleep Last Night	Kenny Dino
Big John	The Shirelles
Everybody's Gotta Pay Some Dues	The Miracles
Sometime	Gene Thomas
When The Boy In Your Arms (Is The Boy In Your Heart)	Connie Francis
When I Fall In Love	The Lettermen
It's Too Soon To Know	Etta James
Tonight	Eddie Fisher
The Way I Am	Jackie Wilson
Three Steps From The Altar	Shep And The Limelites
Well, I Told You	The Chantels
Take Five	The Dave Brubeck Quartet
Unchain My Heart	Ray Charles and his Orchestra
The Gypsy Rover	The Highwaymen
On Bended Knees	Clarence Henry
My Heart Belongs To Only You	Jackie Wilson
Johnny Will	Pat Boone
Danny Boy	Andy Williams
There's No Other (Like My Baby)	The Crystals
The Bridge Of Love	Joe Dowell
The Way You Look Tonight	The Lettermen
Revenge	Brook Benton
I Cried My Last Tear	Ernie K-Doe
Blue Moon	The Ventures
It's All Because	Linda Scott
A Certain Girl	Ernie K-Doe
Funny How Time Slips Away	Jimmy Elledge
Never, Never	The Jive Five With Joe Rene And Orchestra
Hey! Little Girl	Del Shannon
I'll Be Seeing You	Frank Sinatra
I Know (You Don't Love Me No More)	Barbara George
What A Walk	Bobby Lewis
It Will Stand	The Showmen
I'll Never Stop Wanting You	Brian Hyland
I Wonder (If Your Love Will Ever Belong To Me)	The Pentagons
The Comancheros	Claude King
Steps 1 And 2	Jack Scott
If You Gotta Make A Fool Of Somebody	James Ray
Soothe Me	Sims Twins
Greetings (This is Uncle Sam)	Valadiers
Tennessee Flat-Top Box	Johnny Cash
Searching	Jack Eubanks
You're Following Me	Perry Como
Happy Times (Are Here To Stay)	Tony Orlando
Let's Go Trippin'	Dick Dale and The Del-Tones
Poor Fool	Ike & Tina Turner
Walkin' With My Angel	Bobby Vee
Young Boy Blues	Ben E. King
It Do Me So Good	Ann-Margret
Little Altar Boy	Vic Dana
Cotton Fields	The Highwaymen
