Duke Of Earl	Gene Chandler
Hey! Baby	Bruce Channel
The Wanderer	Dion
Break It To Me Gently	Brenda Lee
The Twist	Chubby Checker
Crying In The Rain	The Everly Brothers
Norman	Sue Thompson
Midnight In Moscow	Kenny Ball and his Jazzmen
Peppermint Twist - Part I	Joey Dee & the Starliters
Chip Chip	Gene McDaniels
Dear Lady Twist	Gary U.S. Bonds
Let Me In	The Sensations
Don't Break The Heart That Loves You	Connie Francis
A Little Bitty Tear	Burl Ives
Baby It's You	The Shirelles
Her Royal Majesty	James Darren
Percolator (Twist)	Billy Joe & The Checkmates
Tuff	Ace Cannon
I'm Blue (The Gong-Gong Song)	The Ikettes
What's Your Name	Don & Juan
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
My Boomerang Won't Come Back	Charlie Drake
I Know (You Don't Love Me No More)	Barbara George
The Cajun Queen	Jimmy Dean
Cotton Fields	The Highwaymen
To A Sleeping Beauty	Jimmy Dean
Twistin' The Night Away	Sam Cooke
She's Got You	Patsy Cline
Can't Help Falling In Love	Elvis Presley With The Jordanaires
Dream Baby (How Long Must I Dream)	Roy Orbison
Hey, Let's Twist	Joey Dee & the Starliters
I'll See You In My Dreams	Pat Boone
Surfer's Stomp	The Marketts
Twistin' Postman	The Marvelettes
Drums Are My Beat	Sandy Nelson
Chattanooga Choo Choo	Floyd Cramer
Irresistible You	Bobby Darin
Where Have All The Flowers Gone	The Kingston Trio
He Knows I Love Him Too Much	The Paris Sisters
(Do The New) Continental	The Dovells
Come Back Silly Girl	The Lettermen
Jamie	Eddie Holland
What's So Good About Good-by	The Miracles
Lizzie Borden	The Chad Mitchell Trio
(I've Got) Bonnie	Bobby Rydell
Shadrack	Brook Benton
Afrikaan Beat	Bert Kaempfert And His Orchestra
Town Without Pity	Gene Pitney
She's Everything (I Wanted You To Be)	Ral Donner
The Greatest Hurt	Jackie Wilson
That's My Pa	Sheb Wooley
Cry To Me	Solomon Burke
Dreamy Eyes	Johnny Tillotson
You Win Again	Fats Domino
B'wa Nina (Pretty Girl)	The Tokens
Ecstasy	Ben E. King
Please Don't Ask About Barbara	Bobby Vee
My Melancholy Baby	The Marcels
Our Anniversary	Shep And The Limelites
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
Walk On The Wild Side	Brook Benton
Letter Full Of Tears	Gladys Knight And The Pips
Pop-Eye	Huey Smith
Love Me Warm And Tender	Paul Anka
Bandit Of My Dreams	Eddie Hodges
Let Me Call You Sweetheart	Timi Yuro
Love Letters	Ketty Lester
Blue Water Line	The Brothers Four
Lose Her	Bobby Rydell
Bermuda	Linda Scott
Tears And Laughter	Dinah Washington
Yessiree	Linda Scott
Something's Got A Hold On Me	Etta James
Cry Baby Cry	The Angels
You Better Move On	Arthur Alexander
Nut Rocker	B. Bumble & The Stingers
Mashed Potato Time	Dee Dee Sharp
Yes Indeed	Pete Fountain
The Alvin Twist	The Chipmunks With David Seville
Pictures In The Fire	Pat Boone
Johnny Angel	Shelley Fabares
Oliver Twist	Rod McKuen
Surfin	The Beach Boys
Young World	Rick Nelson
When My Little Girl Is Smiling	The Drifters
Love Is The Sweetest Thing	Saverio Saridis
I Surrender, Dear	Aretha Franklin
Do You Know How To Twist	Hank Ballard
Lover Please	Clyde McPhatter
She Can't Find Her Keys	Paul Petersen
Joey Baby	Anita & Th' So-And-So's
Dear One	Larry Finnegan
Ida Jane	Fats Domino
Baby It's Cold Outside	Ray Charles & Betty Carter
Patti Ann	Johnny Crawford
Aw Shucks, Hush Your Mouth	Jimmy Reed
The Ballad Of Thunder Road	Robert Mitchum
Midnight Special, Part 1	Jimmy Smith
Lollipops And Roses	Jack Jones
(Quarter To Four) Stomp	The Stompers
