Hey! Baby	Bruce Channel
Don't Break The Heart That Loves You	Connie Francis
Midnight In Moscow	Kenny Ball and his Jazzmen
Let Me In	The Sensations
Duke Of Earl	Gene Chandler
Dream Baby (How Long Must I Dream)	Roy Orbison
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
What's Your Name	Don & Juan
Twistin' The Night Away	Sam Cooke
Her Royal Majesty	James Darren
Johnny Angel	Shelley Fabares
Love Letters	Ketty Lester
Crying In The Rain	The Everly Brothers
Good Luck Charm	Elvis Presley With The Jordanaires
She's Got You	Patsy Cline
Young World	Rick Nelson
Percolator (Twist)	Billy Joe & The Checkmates
Break It To Me Gently	Brenda Lee
The Wanderer	Dion
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
Tuff	Ace Cannon
Please Don't Ask About Barbara	Bobby Vee
Love Me Warm And Tender	Paul Anka
Come Back Silly Girl	The Lettermen
Where Have All The Flowers Gone	The Kingston Trio
Mashed Potato Time	Dee Dee Sharp
Dear Lady Twist	Gary U.S. Bonds
(I've Got) Bonnie	Bobby Rydell
Chip Chip	Gene McDaniels
Jamie	Eddie Holland
My Boomerang Won't Come Back	Charlie Drake
The Twist	Chubby Checker
You Win Again	Fats Domino
Drums Are My Beat	Sandy Nelson
Lover Please	Clyde McPhatter
Cotton Fields	The Highwaymen
I'm Blue (The Gong-Gong Song)	The Ikettes
Norman	Sue Thompson
When My Little Girl Is Smiling	The Drifters
Hey, Let's Twist	Joey Dee & the Starliters
He Knows I Love Him Too Much	The Paris Sisters
You Better Move On	Arthur Alexander
Walk On The Wild Side	Brook Benton
Something's Got A Hold On Me	Etta James
If A Woman Answers (Hang Up The Phone)	Leroy Van Dyke
Baby It's You	The Shirelles
Cry To Me	Solomon Burke
Nut Rocker	B. Bumble & The Stingers
She Can't Find Her Keys	Paul Petersen
Dear One	Larry Finnegan
The Alvin Twist	The Chipmunks With David Seville
Cry Baby Cry	The Angels
Pop-Eye	Huey Smith
A Little Bitty Tear	Burl Ives
Peppermint Twist - Part I	Joey Dee & the Starliters
(Do The New) Continental	The Dovells
Twistin' Postman	The Marvelettes
Anything That's Part Of You	Elvis Presley With The Jordanaires
Soul Twist	King Curtis And The Noble Knights
Ginny Come Lately	Brian Hyland
Patti Ann	Johnny Crawford
Cinderella	Jack Ross
Soldier Boy	The Shirelles
She Cried	Jay & The Americans
I Know (You Don't Love Me No More)	Barbara George
Tell Me	Dick and DeeDee
Afrikaan Beat	Bert Kaempfert And His Orchestra
Shout - Part I	Joey Dee & the Starliters
Stranger On The Shore	Mr. Acker Bilk
Lollipops And Roses	Jack Jones
Our Anniversary	Shep And The Limelites
La Paloma Twist	Chubby Checker
The Jam - Part 1	Bobby Gregg and His Friends
Annie Get Your Yo-Yo	Little Junior Parker
Surfin	The Beach Boys
Yes Indeed	Pete Fountain
Yessiree	Linda Scott
Roly Poly	Joey Dee & the Starliters
I'll See You In My Dreams	Pat Boone
Midnight Special, Part 1	Jimmy Smith
Johnny Jingo	Hayley Mills
Two Of A Kind	Sue Thompson
The Ballad Of Thunder Road	Robert Mitchum
A Girl Has To Know	The G-Clefs
Moments	Jennell Hawkins
The White Rose Of Athens	David Carroll And His Orchestra
Memories Of Maria	Jerry Byrd
Amor	Roger Williams
Chapel By The Sea	Billy Vaughn And His Orchestra
Tra La La La La	Ike & Tina Turner
What Am I Supposed To Do	Ann-Margret
The Rains Came	Big Sambo and The House Wreckers
The One Who Really Loves You	Mary Wells
Shout - Part 1	The Isley Brothers
Smile	Ferrante & Teicher
Guitar Boogie Shuffle Twist	The Virtues
(What A Sad Way) To Love Someone	Ral Donner
Stardust	Frank Sinatra
The Wonderful World Of The Young	Andy Williams
You Are Mine	Frankie Avalon
