Stranger On The Shore	Mr. Acker Bilk
Soldier Boy	The Shirelles
Mashed Potato Time	Dee Dee Sharp
I Can't Stop Loving You	Ray Charles
Old Rivers	Walter Brennan
Everybody Loves Me But You	Brenda Lee
She Cried	Jay & The Americans
P.T. 109	Jimmy Dean
Johnny Angel	Shelley Fabares
Lovers Who Wander	Dion
Shout! Shout! (Knock Yourself Out)	Ernie Maresca
The One Who Really Loves You	Mary Wells
Uptown	The Crystals
Funny Way Of Laughin'	Burl Ives
Conscience	James Darren
I Wish That We Were Married	Ronnie and The Hi-Lites
Good Luck Charm	Elvis Presley With The Jordanaires
It Keeps Right On A-Hurtin'	Johnny Tillotson
Shout - Part I	Joey Dee & the Starliters
I Sold My Heart To The Junkman	The Blue-Belles
(The Man Who Shot) Liberty Valance	Gene Pitney
Twistin' Matilda (and the channel)	Jimmy Soul
Twist, Twist Senora	Gary U.S. Bonds
Second Hand Love	Connie Francis
Don't Play That Song (You Lied)	Ben E. King
Tell Me	Dick and DeeDee
Caterina	Perry Como
Palisades Park	Freddy Cannon
Most People Get Married	Patti Page
Follow That Dream	Elvis Presley
You Are Mine	Frankie Avalon
Moon River	Henry Mancini And His Orchestra
Playboy	The Marvelettes
Lover Please	Clyde McPhatter
Night Train	James Brown And The Famous Flames
Village Of Love	Nathaniel Mayer And The Fabulous Twilights
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
Teach Me Tonight	George Maharis
Soul Twist	King Curtis And The Noble Knights
So This Is Love	The Castells
That's Old Fashioned (That's The Way Love Should Be)	The Everly Brothers
(I was) Born To Cry	Dion
Young World	Rick Nelson
Walk On The Wild Side (Part 1)	Jimmy Smith And The Big Band
Count Every Star	Linda Scott
Any Day Now (My Wild Beautiful Bird)	Chuck Jackson
Blues (Stay Away From Me)	Ace Cannon
Hit Record	Brook Benton
I Love You	The Volume's
Itty Bitty Pieces	James Ray
Cindy's Birthday	Johnny Crawford
Dear One	Larry Finnegan
King Of Clowns	Neil Sedaka
Snap Your Fingers	Joe Henderson
Number One Man	Bruce Channel
Love Letters	Ketty Lester
Sharing You	Bobby Vee
If I Cried Every Time You Hurt Me	Wanda Jackson
Lemon Tree	Peter, Paul & Mary
Balboa Blue	The Marketts
Born To Lose	Ray Charles
The Stripper	David Rose and His Orchestra
Meet Me At The Twistin' Place	Johnnie Morisette
I Will	Vic Dana
Hearts	Jackie Wilson
Where Are You	Dinah Washington
Johnny Jingo	Hayley Mills
My Real Name	Fats Domino
Love Can't Wait	Marty Robbins
How Is Julie?	The Lettermen
That's My Desire	Yvonne Baker and the Sensations
I'll Take You Home	The Corsairs Featuring Jay "Bird" Uzzell
When I Get Thru With You (You'll Love Me Too)	Patsy Cline
Fortuneteller	Bobby Curtola
I Found A Love	The Falcons & Band (Ohio Untouchables)
Theme From Ben Casey	Valjean on Piano
Doctor Feel-Good	Dr. Feelgood And The Interns
Oh My Angel	Bertha Tillman
Why'd You Wanna Make Me Cry	Connie Stevens
Wolverton Mountain	Claude King
Al Di La'	Emilio Pericoli
I'll Try Something New	The Miracles
Drummin' Up A Storm	Sandy Nelson
Woman Is A Man's Best Friend	Teddy & The Twilights
Bristol Twistin' Annie	The Dovells
Drum Stomp	Sandy Nelson
Let Me Be The One	The Paris Sisters
A Steel Guitar And A Glass Of Wine	Paul Anka
Swingin' Gently	Earl Grant
Adios Amigo	Jim Reeves
Having A Party	Sam Cooke
Down In The Valley	Solomon Burke
Where Have You Been (All My Life)	Arthur Alexander
Lipstick Traces (On A Cigarette)	Benny Spellman
Johnny Get Angry	Joanie Sommers
How Can I Meet Her?	The Everly Brothers
Tennessee	Jan & Dean
Limbo Rock	The Champs
West Of The Wall	Toni Fisher
Boom Boom	John Lee Hooker
