Sherry	The 4 Seasons
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Ramblin' Rose	Nat King Cole
Let's Dance	Chris Montez
Green Onions	Booker T. & The MG's
Patches	Dickey Lee
Venus In Blue Jeans	Jimmy Clanton
I Remember You	Frank Ifield
Alley Cat	Bent Fabric and His Piano
You Beat Me To The Punch	Mary Wells
Sheila	Tommy Roe
Rain Rain Go Away	Bobby Vinton
Lie To Me	Brook Benton
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
Do You Love Me	The Contours
Teen Age Idol	Rick Nelson
You Belong To Me	The Duprees
Beechwood 4-5789	The Marvelettes
Surfin' Safari	The Beach Boys
What Kind Of Love Is This	Joey Dee & the Starliters
Punish Her	Bobby Vee
It Might As Well Rain Until September	Carole King
He's A Rebel	The Crystals
Only Love Can Break A Heart	Gene Pitney
Popeye (The Hitchhiker)	Chubby Checker
Hully Gully Baby	The Dovells
The Loco-Motion	Little Eva
I Left My Heart In San Francisco	Tony Bennett
A Wonderful Dream	The Majors
Don't Go Near The Indians	Rex Allen
Silver Threads And Golden Needles	The Springfields
She's Not You	Elvis Presley With The Jordanaires
Rinky Dink	Baby Cortez
Come On Little Angel	The Belmonts
All Alone Am I	Brenda Lee
Little Black Book	Jimmy Dean
King Of The Whole Wide World	Elvis Presley With The Jordanaires
Torture	Kris Jensen
Stop The Music	The Shirelles
What Kind Of Fool Am I	Sammy Davis Jr.
Devil Woman	Marty Robbins
You Don't Know Me	Ray Charles
Shame On Me	Bobby Bare
Hide & Go Seek, Part I	Bunker Hill
Point Of No Return	Gene McDaniels
Gina	Johnny Mathis
Limbo Rock	Chubby Checker
A Swingin' Safari	Billy Vaughn And His Orchestra
Warmed Over Kisses (Left Over Love)	Brian Hyland
The Things We Did Last Summer	Shelley Fabares
Send Me The Pillow You Dream On	Johnny Tillotson
Your Nose Is Gonna Grow	Johnny Crawford
Save All Your Lovin' For Me	Brenda Lee
A Taste Of Honey	Martin Denny and His Orchestra
You Can't Judge A Book By The Cover	Bo Diddley
Close To Cathy	Mike Clifford
Party Lights	Claudine Clark
I Keep Forgettin'	Chuck Jackson
Lollipops And Roses	Paul Petersen
Stormy Monday Blues	Bobby Bland
Sweet Sixteen Bars	Earl Grant
If I Didn't Have A Dime (To Play The Jukebox)	Gene Pitney
Workin' For The Man	Roy Orbison
No One Will Ever Know	Jimmie Rodgers
...And Then There Were Drums	Sandy Nelson
Don't You Worry	Don Gardner And Dee Dee Ford
Nothing Can Change This Love	Sam Cooke
Ten Lonely Guys	Pat Boone
Baby Face	Bobby Darin
The Swiss Maid	Del Shannon
James (Hold The Ladder Steady)	Sue Thompson
Twistin' With Linda	The Isley Brothers
If A Man Answers	Bobby Darin
Long As The Rose Is Red	Florraine Darlin
What Time Is It?	The Jive Five With Eugene Pitts
I Love You The Way You Are	Bobby Vinton
Next Door To An Angel	Neil Sedaka
Don't You Believe It	Andy Williams
Lookin' For A Love	The Valentinos
Papa-Oom-Mow-Mow	The Rivingtons
Susie Darlin'	Tommy Roe
Mashed Potatoes U.S.A.	James Brown And The Famous Flames
Second Fiddle Girl	Barbara Lynn
The Burning Of Atlanta	Claude King
What Kind Of Fool Am I	Anthony Newley
Desafinado	Stan Getz/Charlie Byrd
I'm Going Back To School	Dee Clark
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
What Kind Of Fool Am I?	Robert Goulet
Pop Pop Pop - Pie	The Sherrys
Forever And A Day	Jackie Wilson
Love Me Tender	Richard Chamberlain
Mr. Lonely	Buddy Greco
I Was Such A Fool (To Fall In Love With You)	Connie Francis
Léah	Roy Orbison
I Left My Heart In The Balcony	Linda Scott
Did You Ever See A Dream Walking	Fats Domino
Wiggle Wobble	Les Cooper and the Soul Rockers
He Thinks I Still Care	Connie Francis
When The Boys Get Together	Joanie Sommers
