He's A Rebel	The Crystals
Big Girls Don't Cry	The 4 Seasons
All Alone Am I	Brenda Lee
Return To Sender	Elvis Presley With The Jordanaires
Only Love Can Break A Heart	Gene Pitney
Next Door To An Angel	Neil Sedaka
Gina	Johnny Mathis
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Do You Love Me	The Contours
Popeye (The Hitchhiker)	Chubby Checker
Limbo Rock	Chubby Checker
Close To Cathy	Mike Clifford
Nothing Can Change This Love	Sam Cooke
The Cha-Cha-Cha	Bobby Rydell
Sherry	The 4 Seasons
Don't Hang Up	The Orlons
James (Hold The Ladder Steady)	Sue Thompson
What Kind Of Fool Am I	Sammy Davis Jr.
Bobby's Girl	Marcie Blane
Desafinado	Stan Getz/Charlie Byrd
Patches	Dickey Lee
I Left My Heart In San Francisco	Tony Bennett
I've Got A Woman (Part I)	Jimmy McGriff
Love Me Tender	Richard Chamberlain
Surfin' Safari	The Beach Boys
Green Onions	Booker T. & The MG's
Ride!	Dee Dee Sharp
I Was Such A Fool (To Fall In Love With You)	Connie Francis
Ramblin' Rose	Nat King Cole
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Léah	Roy Orbison
If A Man Answers	Bobby Darin
Workin' For The Man	Roy Orbison
I Remember You	Frank Ifield
Susie Darlin'	Tommy Roe
Alley Cat	Bent Fabric and His Piano
My Own True Love	The Duprees
Torture	Kris Jensen
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Pop Pop Pop - Pie	The Sherrys
Let's Dance	Chris Montez
Mama Sang A Song	Stan Kenton
That Stranger Used To Be My Girl	Trade Martin
I Can't Help It (If I'm Still In Love With You)	Johnny Tillotson
Warmed Over Kisses (Left Over Love)	Brian Hyland
Little Black Book	Jimmy Dean
I'll Bring It Home To You	Carla Thomas
Wiggle Wobble	Les Cooper and the Soul Rockers
Don't You Believe It	Andy Williams
Release Me	Esther Phillips "Little Esther"
Mama Sang A Song	Walter Brennan
I'm Going Back To School	Dee Clark
Venus In Blue Jeans	Jimmy Clanton
Hide & Go Seek, Part I	Bunker Hill
Lovers By Night, Strangers By Day	The Fleetwoods
Baby Face	Bobby Darin
Stormy Monday Blues	Bobby Bland
Don't Ask Me To Be Friends	The Everly Brothers
No One Will Ever Know	Jimmie Rodgers
Eso Beso (That Kiss!)	Paul Anka
Twistin' With Linda	The Isley Brothers
Keep Your Hands Off My Baby	Little Eva
The Burning Of Atlanta	Claude King
Mr. Lonely	Buddy Greco
Untie Me	The Tams
Rumors	Johnny Crawford
You Can Run (But You Can't Hide)	Jerry Butler
He Thinks I Still Care	Connie Francis
I've Been Everywhere	Hank Snow
Anna (Go To Him)	Arthur Alexander
Telstar	The Tornadoes
Second Fiddle Girl	Barbara Lynn
Let's Go (pony)	The Routers
Love Came To Me	Dion
Stubborn Kind Of Fellow	Marvin Gaye
I'm Here To Get My Baby Out Of Jail	The Everly Brothers
Mary Ann Regrets	Burl Ives
Somebody Have Mercy	Sam Cooke
Happy Weekend	Dave "Baby" Cortez
I'll Remember Carol	Tommy Boyce
The Alley Cat Song	David Thorne
Heartaches	Patsy Cline
Spanish Lace	Gene McDaniels
If You Were A Rock And Roll Record	Freddy Cannon
Don't Ever Leave Me	Bob And Earl
Comin' Home Baby	Mel Torme
Chains	The Cookies
The Push And Kick	Mark Valentino
Dear Lonely Hearts	Nat King Cole
I Lost My Baby	Joey Dee
Up On The Roof	The Drifters
Magic Wand	Don & Juan
What Kind Of Fool Am I?	Robert Goulet
Heart Breaker	Dean Christie
I Left My Heart In The Balcony	Linda Scott
Mama Sang A Song	Bill Anderson
That's Life (That's Tough)	Gabriel And The Angels
Dear Hearts And Gentle People	The Springfields
Four Walls	Kay Starr
Go Away Little Girl	Steve Lawrence
