Hey Paula	Paul and Paula
Ruby Baby	Dion
Walk Like A Man	The 4 Seasons
Walk Right In	The Rooftop Singers
Rhythm Of The Rain	The Cascades
From A Jack To A King	Ned Miller
You're The Reason I'm Living	Bobby Darin
Blame It On The Bossa Nova	Eydie Gorme
You've Really Got A Hold On Me	The Miracles
Wild Weekend	The Rebels
He's Sure The Boy I Love	The Crystals
Little Town Flirt	Del Shannon
Send Me Some Lovin'	Sam Cooke
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
The Night Has A Thousand Eyes	Bobby Vee
Mama Didn't Lie	Jan Bradley
What Will My Mary Say	Johnny Mathis
Up On The Roof	The Drifters
Loop De Loop	Johnny Thunder
Go Away Little Girl	Steve Lawrence
The End Of The World	Skeeter Davis
Cast Your Fate To The Wind	Vince Guaraldi Trio
In Dreams	Roy Orbison
Alice In Wonderland	Neil Sedaka
One Broken Heart For Sale	Elvis Presley With The Mello Men
Love (Makes the World Go 'round)	Paul Anka
Our Day Will Come	Ruby And The Romantics
The Gypsy Cried	Lou Christie
Call On Me	Bobby Bland
Our Winter Love	Bill Pursell
Greenback Dollar	The Kingston Trio
Your Used To Be	Brenda Lee
I Wanna Be Around	Tony Bennett
Let's Turkey Trot	Little Eva
It's Up To You	Rick Nelson
Boss Guitar	Duane Eddy and the Rebelettes
Butterfly Baby	Bobby Rydell
Half Heaven - Half Heartache	Gene Pitney
That's The Way Love Is	Bobby Bland
Let's Limbo Some More	Chubby Checker
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
My Dad	Paul Petersen
Hitch Hike	Marvin Gaye
My Coloring Book	Sandy Stewart
I Saw Linda Yesterday	Dickey Lee
Days Of Wine And Roses	Henry Mancini And His Orchestra
She'll Never Know	Brenda Lee
Puddin N' Tain (Ask Me Again, I'll Tell You The Same)	The Alley Cats
Every Day I Have To Cry	Steve Alaimo
South Street	The Orlons
Tell Him	The Exciters
Tell Him I'm Not Home	Chuck Jackson
My Coloring Book	Kitty Kallen
All About My Girl	Jimmy McGriff
Who Stole The Keeshka?	The Matys Bros.
Settle Down (Goin' Down That Highway)	Peter, Paul & Mary
Java	Floyd Cramer
I'm Gonna' Be Warm This Winter	Connie Francis
All I Have To Do Is Dream	Richard Chamberlain
Proud	Johnny Crawford
Big Wide World	Teddy Randazzo
As Long As She Needs Me	Sammy Davis Jr.
I Really Don't Want To Know	Little Esther Phillips
I'm A Woman	Peggy Lee
Love For Sale	Arthur Lyman Group
Baby, Baby, Baby	Sam Cooke
Don't Make Me Over	Dionne Warwick
Strange I Know	The Marvelettes
Pin A Medal On Joey	James Darren
Two Lovers	Mary Wells
Would It Make Any Difference To You	Etta James
Chicken Feed	Bent Fabric and His Piano
Why Do Lovers Break Each Other's Heart?	Bob B. Soxx And The Blue Jeans
They Remind Me Too Much Of You	Elvis Presley With The Mello Men
Ridin' The Wind	The Tornadoes
I'm The One Who Loves You	The Impressions
Twenty Miles	Chubby Checker
Laughing Boy	Mary Wells
Let's Stomp	Bobby Comstock
Hi-Lili, Hi-Lo	Richard Chamberlain
Ain't Gonna Kiss Ya	The Ribbons
Mr. Bass Man	Johnny Cymbal
Leavin' On Your Mind	Patsy Cline
I'm In Love Again	Rick Nelson
Rainbow	Gene Chandler
Don't Set Me Free	Ray Charles and his Orchestra
He's So Fine	The Chiffons
Theme From Lawrence Of Arabia	Ferrante & Teicher
Bossa Nova U.S.A.	The Dave Brubeck Quartet
Linda	Jan & Dean
The 2,000 Pound Bee (Part 2)	The Ventures
From The Bottom Of My Heart (Dammi, Dammi, Dammi)	Dean Martin
Don't Fence Me In	George Maharis
Yakety Sax	Boots Randolph and his Combo
What Does A Girl Do?	Marcie Blane
Don't Be Cruel	Barbara Lynn
The Jive Samba	Cannonball Adderley
Faded Love	Jackie DeShannon
Meditation (Meditacao)	Charlie Byrd
Only You (And You Alone)	Mr. Acker Bilk
