He's So Fine	The Chiffons
Can't Get Used To Losing You	Andy Williams
South Street	The Orlons
The End Of The World	Skeeter Davis
Baby Workout	Jackie Wilson
Our Day Will Come	Ruby And The Romantics
I Will Follow Him	Little Peggy March
Puff (The Magic Dragon)	Peter, Paul & Mary
Young Lovers	Paul and Paula
Do The Bird	Dee Dee Sharp
In Dreams	Roy Orbison
Pipeline	Chantay's
Don't Say Nothin' Bad (About My Baby)	The Cookies
Rhythm Of The Rain	The Cascades
Our Winter Love	Bill Pursell
Mr. Bass Man	Johnny Cymbal
Twenty Miles	Chubby Checker
Follow The Boys	Connie Francis
You're The Reason I'm Living	Bobby Darin
All I Have To Do Is Dream	Richard Chamberlain
Blame It On The Bossa Nova	Eydie Gorme
On Broadway	The Drifters
I Wanna Be Around	Tony Bennett
Out Of My Mind	Johnny Tillotson
Over The Mountain (Across The Sea)	Bobby Vinton
Don't Be Afraid, Little Darlin'	Steve Lawrence
Sandy	Dion
Young And In Love	Dick and DeeDee
I Got What I Wanted	Brook Benton
Mecca	Gene Pitney
Watermelon Man	Mongo Santamaria Band
Laughing Boy	Mary Wells
Surfin' U.S.A.	The Beach Boys
Charms	Bobby Vee
Yakety Sax	Boots Randolph and his Combo
Let's Limbo Some More	Chubby Checker
Wild Weekend	The Rebels
What Will My Mary Say	Johnny Mathis
Days Of Wine And Roses	Andy Williams
Walk Like A Man	The 4 Seasons
Linda	Jan & Dean
All Over The World	Nat King Cole
Foolish Little Girl	The Shirelles
Tom Cat	The Rooftop Singers
Days Of Wine And Roses	Henry Mancini And His Orchestra
Why Do Lovers Break Each Other's Heart?	Bob B. Soxx And The Blue Jeans
You Don't Love Me Anymore (And I Can Tell)	Rick Nelson
One Broken Heart For Sale	Elvis Presley With The Mello Men
Ruby Baby	Dion
If You Wanna Be Happy	Jimmy Soul
Love For Sale	Arthur Lyman Group
Don't Set Me Free	Ray Charles and his Orchestra
I Got A Woman	Rick Nelson
Locking Up My Heart	The Marvelettes
I'm Just A Country Boy	George McCurn
Losing You	Brenda Lee
Rainbow	Gene Chandler
He's Got The Power	The Exciters
A Love She Can Count On	The Miracles
What Are Boys Made Of	The Percells
Sun Arise	Rolf Harris
Reverend Mr. Black	The Kingston Trio
Back At The Chicken Shack, Part 1	Jimmy Smith
Dearer Than Life	Brook Benton
Amy	Paul Petersen
Little Band Of Gold	James Gilreath
Here I Stand	The Rip Chords
I Love You Because	Al Martino
Sax Fifth Avenue	Johnny Beecher and his Buckingham Road Quintet
Take These Chains From My Heart	Ray Charles
Two Faces Have I	Lou Christie
Killer Joe	The Rocky Fellers
Don't Wanna Think About Paula	Dickey Lee
How Can I Forget	Jimmy Holiday
Bill Bailey, Won't You Please Come Home	Ella Fitzgerald
Whatever You Want	Jerry Butler
That's How Heartaches Are Made	Baby Washington
Two Kind Of Teardrops	Del Shannon
Meditation (Meditacao)	Charlie Byrd
Hot Pastrami	The Dartells
Funny Man	Ray Stevens
Ask Me	Maxine Brown
(Today I Met) The Boy I'm Gonna Marry	Darlene Love
This Empty Place	Dionne Warwick
Bony Moronie	The Appalachians
Don't Let Her Be Your Baby	The Contours
Call Me Irresponsible	Frank Sinatra
Heart	Kenny Chandler
Remember Diana	Paul Anka
Memory Lane	The Hippies (Formerly The Tams)
Hot Cakes! 1st Serving	Dave "Baby" Cortez
Preacherman	Charlie Russo
Theme From Lawrence Of Arabia	Ferrante & Teicher
Don't Mention My Name	The Shepherd Sisters
Shame, Shame, Shame	Jimmy Reed
The Dog	Rufus Thomas
Come And Get These Memories	Martha & The Vandellas
He's So Heavenly	Brenda Lee
Still	Bill Anderson
Not For All The Money In The World	The Shirelles
