I Will Follow Him	Little Peggy March
Puff (The Magic Dragon)	Peter, Paul & Mary
If You Wanna Be Happy	Jimmy Soul
Pipeline	Chantay's
Can't Get Used To Losing You	Andy Williams
Foolish Little Girl	The Shirelles
Surfin' U.S.A.	The Beach Boys
He's So Fine	The Chiffons
Reverend Mr. Black	The Kingston Trio
Losing You	Brenda Lee
On Broadway	The Drifters
Mecca	Gene Pitney
Charms	Bobby Vee
Baby Workout	Jackie Wilson
Don't Say Nothin' Bad (About My Baby)	The Cookies
Take These Chains From My Heart	Ray Charles
Two Faces Have I	Lou Christie
Watermelon Man	Mongo Santamaria Band
Killer Joe	The Rocky Fellers
Hot Pastrami	The Dartells
Little Band Of Gold	James Gilreath
Tom Cat	The Rooftop Singers
I Love You Because	Al Martino
Another Saturday Night	Sam Cooke
Young Lovers	Paul and Paula
This Little Girl	Dion
Ain't That A Shame!	The 4 Seasons
Young And In Love	Dick and DeeDee
Still	Bill Anderson
Days Of Wine And Roses	Andy Williams
A Love She Can Count On	The Miracles
The End Of The World	Skeeter Davis
Linda	Jan & Dean
The Love Of My Man	Theola Kilgore
Days Of Wine And Roses	Henry Mancini And His Orchestra
You Can't Sit Down	The Dovells
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
Pushover	Etta James
(Today I Met) The Boy I'm Gonna Marry	Darlene Love
El Watusi	Ray Barretto
South Street	The Orlons
Come And Get These Memories	Martha & The Vandellas
Sandy	Dion
Remember Diana	Paul Anka
Over The Mountain (Across The Sea)	Bobby Vinton
Do The Bird	Dee Dee Sharp
That's How Heartaches Are Made	Baby Washington
Locking Up My Heart	The Marvelettes
Shut Down	The Beach Boys
Let's Go Steady Again	Neil Sedaka
Here I Stand	The Rip Chords
The Bird's The Word	The Rivingtons
Prisoner Of Love	James Brown And The Famous Flames
Two Kind Of Teardrops	Del Shannon
Twenty Miles	Chubby Checker
Rainbow	Gene Chandler
Hot Pastrami With Mashed Potatoes - Part I	Joey Dee & the Starliters
If You Need Me	Solomon Burke
Mr. Bass Man	Johnny Cymbal
It's My Party	Lesley Gore
What A Guy	The Raindrops
Sting Ray	The Routers
Memory Lane	The Hippies (Formerly The Tams)
How Can I Forget	Jimmy Holiday
Hello Stranger	Barbara Lewis
Heart	Kenny Chandler
Do It - Rat Now	Bill Black's Combo
Don't Let Her Be Your Baby	The Contours
The Bounce	The Olympics
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
Shame, Shame, Shame	Jimmy Reed
Ronnie, Call Me When You Get A Chance	Shelley Fabares
Bony Moronie	The Appalachians
Wildwood Days	Bobby Rydell
The Good Life	Tony Bennett
Sweet Dreams (Of You)	Patsy Cline
Patty Baby	Freddy Cannon
I'm Saving My Love	Skeeter Davis
Sukiyaki	Kyu Sakamoto
If You Need Me	Wilson Pickett
Call Me Irresponsible	Frank Sinatra
Heart! (I Hear You Beating)	Wayne Newton And The Newton Brothers
Don't Make My Baby Blue	Frankie Laine
The Folk Singer	Tommy Roe
I'm Movin' On	Matt Lucas
Call Me Irresponsible	Jack Jones
Teenage Heaven	Johnny Cymbal
Mother, Please!	Jo Ann Campbell
Gravy Waltz	Steve Allen
Little Latin Lupe Lu	The Righteous Brothers
Shy Girl	The Cascades
Soon (I'll Be Home Again)	The 4 Seasons Featuring Frankie Valli
18 Yellow Roses	Bobby Darin
Old Enough To Love	Ricky Nelson
Rockin' Crickets	Rockin' Rebels
One Boy Too Late	Mike Clifford
Forever	The Marvelettes
The Last Leaf	The Cascades
A Stranger In Your Town	The Shacklefords
Hobo Flats - Part I	Jimmy Smith
