It's My Party	Lesley Gore
Sukiyaki	Kyu Sakamoto
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
I Love You Because	Al Martino
You Can't Sit Down	The Dovells
Two Faces Have I	Lou Christie
If You Wanna Be Happy	Jimmy Soul
Still	Bill Anderson
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
Surfin' U.S.A.	The Beach Boys
18 Yellow Roses	Bobby Darin
Losing You	Brenda Lee
Hello Stranger	Barbara Lewis
Blue On Blue	Bobby Vinton
Another Saturday Night	Sam Cooke
Hot Pastrami	The Dartells
I Will Follow Him	Little Peggy March
Foolish Little Girl	The Shirelles
Take These Chains From My Heart	Ray Charles
El Watusi	Ray Barretto
Prisoner Of Love	James Brown And The Famous Flames
Birdland	Chubby Checker
The Love Of My Man	Theola Kilgore
The Good Life	Tony Bennett
Pushover	Etta James
Reverend Mr. Black	The Kingston Trio
Pipeline	Chantay's
Puff (The Magic Dragon)	Peter, Paul & Mary
Come And Get These Memories	Martha & The Vandellas
Wildwood Days	Bobby Rydell
Let's Go Steady Again	Neil Sedaka
Shut Down	The Beach Boys
Ain't That A Shame!	The 4 Seasons
Killer Joe	The Rocky Fellers
If My Pillow Could Talk	Connie Francis
One Fine Day	The Chiffons
Every Step Of The Way	Johnny Mathis
Can't Get Used To Losing You	Andy Williams
This Little Girl	Dion
The Bounce	The Olympics
What A Guy	The Raindrops
String Along	Rick Nelson
If You Need Me	Solomon Burke
I'm Saving My Love	Skeeter Davis
My Summer Love	Ruby And The Romantics
Hot Pastrami With Mashed Potatoes - Part I	Joey Dee & the Starliters
Poor Little Rich Girl	Steve Lawrence
Sweet Dreams (Of You)	Patsy Cline
Little Latin Lupe Lu	The Righteous Brothers
Shake A Hand	Jackie Wilson & Linda Hopkins
Don't Make My Baby Blue	Frankie Laine
Pride And Joy	Marvin Gaye
Sting Ray	The Routers
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
First Quarrel	Paul and Paula
Your Old Stand By	Mary Wells
Old Smokey Locomotion	Little Eva
Do It - Rat Now	Bill Black's Combo
Ring Of Fire	Johnny Cash
Teenage Heaven	Johnny Cymbal
Shame, Shame, Shame	Jimmy Reed
I'm Movin' On	Matt Lucas
Two Kind Of Teardrops	Del Shannon
Swinging On A Star	Big Dee Irwin (with Little Eva)
Patty Baby	Freddy Cannon
I Wish I Were A Princess	Little Peggy March
There Goes (My Heart Again)	Fats Domino
Little Band Of Gold	James Gilreath
Hobo Flats - Part I	Jimmy Smith
A Stranger In Your Town	The Shacklefords
So Much In Love	The Tymes
That's How Heartaches Are Made	Baby Washington
If You Need Me	Wilson Pickett
Don't Try To Fight It, Baby	Eydie Gorme
Goodnight My Love	The Fleetwoods
Falling	Roy Orbison
Shake A Tail Feather	The Five Du-Tones
Gravy Waltz	Steve Allen
Gypsy Woman	Rick Nelson
Give Us Your Blessing	Ray Peterson
Easier Said Than Done	The Essex
Lonely Boy, Lonely Guitar	Duane Eddy
Soon (I'll Be Home Again)	The 4 Seasons Featuring Frankie Valli
Needles And Pins	Jackie DeShannon
Six Days On The Road	Dave Dudley
The Last Leaf	The Cascades
Sad, Sad Girl And Boy	The Impressions
Tie Me Kangaroo Down, Sport	Rolf Harris
You Know It Ain't Right	Joe Hinton
Memphis	Lonnie Mack
(I Love You) Don't You Forget It	Perry Como
Soulville	Dinah Washington
Spring In Manhattan	Tony Bennett
Forever	The Marvelettes
Say Wonderful Things	Patti Page
Not Too Young To Get Married	Bob B. Soxx And The Blue Jeans
I Can't Stop Loving You	Count Basie
These Arms Of Mine	Otis Redding
Say Wonderful Things	Ronnie Carroll
Just One Look	Doris Troy
