Sukiyaki	Kyu Sakamoto
It's My Party	Lesley Gore
You Can't Sit Down	The Dovells
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
I Love You Because	Al Martino
Blue On Blue	Bobby Vinton
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
Still	Bill Anderson
Hello Stranger	Barbara Lewis
18 Yellow Roses	Bobby Darin
Two Faces Have I	Lou Christie
If You Wanna Be Happy	Jimmy Soul
Surfin' U.S.A.	The Beach Boys
Birdland	Chubby Checker
Losing You	Brenda Lee
Another Saturday Night	Sam Cooke
One Fine Day	The Chiffons
Prisoner Of Love	James Brown And The Famous Flames
Hot Pastrami	The Dartells
The Good Life	Tony Bennett
Foolish Little Girl	The Shirelles
El Watusi	Ray Barretto
Take These Chains From My Heart	Ray Charles
The Love Of My Man	Theola Kilgore
Wildwood Days	Bobby Rydell
If My Pillow Could Talk	Connie Francis
I Will Follow Him	Little Peggy March
String Along	Rick Nelson
Pushover	Etta James
Shut Down	The Beach Boys
Every Step Of The Way	Johnny Mathis
Come And Get These Memories	Martha & The Vandellas
My Summer Love	Ruby And The Romantics
Pipeline	Chantay's
Let's Go Steady Again	Neil Sedaka
Poor Little Rich Girl	Steve Lawrence
Pride And Joy	Marvin Gaye
Killer Joe	The Rocky Fellers
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
The Bounce	The Olympics
I'm Saving My Love	Skeeter Davis
First Quarrel	Paul and Paula
What A Guy	The Raindrops
Sweet Dreams (Of You)	Patsy Cline
Reverend Mr. Black	The Kingston Trio
Shake A Hand	Jackie Wilson & Linda Hopkins
Puff (The Magic Dragon)	Peter, Paul & Mary
Ring Of Fire	Johnny Cash
Little Latin Lupe Lu	The Righteous Brothers
Easier Said Than Done	The Essex
Your Old Stand By	Mary Wells
Old Smokey Locomotion	Little Eva
I Wish I Were A Princess	Little Peggy March
Swinging On A Star	Big Dee Irwin (with Little Eva)
So Much In Love	The Tymes
Sting Ray	The Routers
Memphis	Lonnie Mack
Tie Me Kangaroo Down, Sport	Rolf Harris
Falling	Roy Orbison
I'm Movin' On	Matt Lucas
Shame, Shame, Shame	Jimmy Reed
Teenage Heaven	Johnny Cymbal
If You Need Me	Solomon Burke
There Goes (My Heart Again)	Fats Domino
Ain't That A Shame!	The 4 Seasons
Goodnight My Love	The Fleetwoods
Don't Try To Fight It, Baby	Eydie Gorme
Surf City	Jan & Dean
Don't Make My Baby Blue	Frankie Laine
Harry The Hairy Ape	Ray Stevens
Shake A Tail Feather	The Five Du-Tones
Just One Look	Doris Troy
Gypsy Woman	Rick Nelson
Patty Baby	Freddy Cannon
Six Days On The Road	Dave Dudley
(I Love You) Don't You Forget It	Perry Como
Give Us Your Blessing	Ray Peterson
Not Too Young To Get Married	Bob B. Soxx And The Blue Jeans
Soon (I'll Be Home Again)	The 4 Seasons Featuring Frankie Valli
Do It - Rat Now	Bill Black's Combo
Hobo Flats - Part I	Jimmy Smith
Lonely Boy, Lonely Guitar	Duane Eddy
A Stranger In Your Town	The Shacklefords
Sad, Sad Girl And Boy	The Impressions
Come Go With Me	Dion
Not Me	The Orlons
Detroit City	Bobby Bare
You Know It Ain't Right	Joe Hinton
Denise	Randy & The Rainbows
Jack The Ripper	Link Wray And The Wraymen
Say Wonderful Things	Ronnie Carroll
Spring In Manhattan	Tony Bennett
Summer's Comin'	Kirby St. Romain
Say Wonderful Things	Patti Page
Rat Race	The Drifters
Don't Say Goodnight And Mean Goodbye	The Shirelles
I Can't Stop Loving You	Count Basie
Black Cloud	Chubby Checker
My True Confession	Brook Benton
Hootenanny	The Glencoves
