Easier Said Than Done	The Essex
Surf City	Jan & Dean
Tie Me Kangaroo Down, Sport	Rolf Harris
So Much In Love	The Tymes
One Fine Day	The Chiffons
Sukiyaki	Kyu Sakamoto
Memphis	Lonnie Mack
Blue On Blue	Bobby Vinton
Hello Stranger	Barbara Lewis
Wipe Out	The Surfaris
Fingertips - Pt 2	Little Stevie Wonder
It's My Party	Lesley Gore
Pride And Joy	Marvin Gaye
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
Not Me	The Orlons
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Harry The Hairy Ape	Ray Stevens
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
You Can't Sit Down	The Dovells
Just One Look	Doris Troy
My Summer Love	Ruby And The Romantics
Falling	Roy Orbison
Ring Of Fire	Johnny Cash
No One	Ray Charles
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
String Along	Rick Nelson
Detroit City	Bobby Bare
Hopeless	Andy Williams
Still	Bill Anderson
First Quarrel	Paul and Paula
My True Confession	Brook Benton
I Wish I Were A Princess	Little Peggy March
Shut Down	The Beach Boys
Blowin' In The Wind	Peter, Paul & Mary
Without Love (There Is Nothing)	Ray Charles
Don't Say Goodnight And Mean Goodbye	The Shirelles
I Love You Because	Al Martino
Swinging On A Star	Big Dee Irwin (with Little Eva)
Birdland	Chubby Checker
Goodnight My Love	The Fleetwoods
(I Love You) Don't You Forget It	Perry Como
Come And Get These Memories	Martha & The Vandellas
Be True To Yourself	Bobby Vee
Six Days On The Road	Dave Dudley
Surfin' U.S.A.	The Beach Boys
Denise	Randy & The Rainbows
Hootenanny	The Glencoves
Come Go With Me	Dion
Till Then	The Classics
Summer's Comin'	Kirby St. Romain
Abilene	George Hamilton IV
Judy's Turn To Cry	Lesley Gore
The Good Life	Tony Bennett
Candy Girl	The 4 Seasons
Like The Big Guys Do	The Rocky Fellers
Your Old Stand By	Mary Wells
Shake A Tail Feather	The Five Du-Tones
Be Careful Of Stones That You Throw	Dion
Rock Me In The Cradle Of Love	Dee Dee Sharp
Green, Green	The New Christy Minstrels
18 Yellow Roses	Bobby Darin
Poor Little Rich Girl	Steve Lawrence
Not Too Young To Get Married	Bob B. Soxx And The Blue Jeans
Tips Of My Fingers	Roy Clark
Don't Try To Fight It, Baby	Eydie Gorme
I (Who Have Nothing)	Ben E. King
My Block	The Four Pennies
Gypsy Woman	Rick Nelson
If My Pillow Could Talk	Connie Francis
I Wonder	Brenda Lee
Jack The Ripper	Link Wray And The Wraymen
Mockingbird	Inez Foxx with Charlie Foxx
More	Kai Winding & Orchestra
My Whole World Is Falling Down	Brenda Lee
Danke Schoen	Wayne Newton And The Newton Brothers
Brenda	The Cupids
Marlena	The 4 Seasons
Cottonfields	Ace Cannon
When A Boy Falls In Love	Mel Carter
Will Power	The Cookies
Surf Party	Chubby Checker
From Me To You	Del Shannon
Shake! Shake! Shake!	Jackie Wilson
Rat Race	The Drifters
Tears Of Joy	Chuck Jackson
Daughter	The Blenders
I'm Afraid To Go Home	Brian Hyland
Land Of 1000 Dances	Chris Kenner
Antony And Cleopatra Theme	Ferrante & Teicher
The Monkey Time	Major Lance
Dancin' Holiday	The Olympics
True Love Never Runs Smooth	Gene Pitney
I Will Love You	Richard Chamberlain
Spring	Birdlegs & Pauline And Their Versatility Birds
Say Wonderful Things	Patti Page
Love Me All The Way	Kim Weston
Surfin' Hootenanny	Al Casey
I Can't Stop Loving You	Count Basie
Guilty	Jim Reeves
The Ten Commandments Of Love	James MacArthur
