So Much In Love	The Tymes
Fingertips - Pt 2	Little Stevie Wonder
Surf City	Jan & Dean
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Wipe Out	The Surfaris
Blowin' In The Wind	Peter, Paul & Mary
Easier Said Than Done	The Essex
Judy's Turn To Cry	Lesley Gore
Tie Me Kangaroo Down, Sport	Rolf Harris
Just One Look	Doris Troy
Candy Girl	The 4 Seasons
Memphis	Lonnie Mack
Hopeless	Andy Williams
Pride And Joy	Marvin Gaye
Not Me	The Orlons
Detroit City	Bobby Bare
Ring Of Fire	Johnny Cash
Sukiyaki	Kyu Sakamoto
More	Kai Winding & Orchestra
Till Then	The Classics
Green, Green	The New Christy Minstrels
Blue On Blue	Bobby Vinton
Denise	Randy & The Rainbows
Abilene	George Hamilton IV
My Whole World Is Falling Down	Brenda Lee
My True Confession	Brook Benton
Mockingbird	Inez Foxx with Charlie Foxx
No One	Ray Charles
Don't Say Goodnight And Mean Goodbye	The Shirelles
True Love Never Runs Smooth	Gene Pitney
Be Careful Of Stones That You Throw	Dion
Six Days On The Road	Dave Dudley
I Wonder	Brenda Lee
Harry The Hairy Ape	Ray Stevens
Danke Schoen	Wayne Newton And The Newton Brothers
One Fine Day	The Chiffons
Twist It Up	Chubby Checker
Hootenanny	The Glencoves
Goodnight My Love	The Fleetwoods
I (Who Have Nothing)	Ben E. King
Marlena	The 4 Seasons
Shake! Shake! Shake!	Jackie Wilson
Rock Me In The Cradle Of Love	Dee Dee Sharp
Without Love (There Is Nothing)	Ray Charles
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Tips Of My Fingers	Roy Clark
Hello Stranger	Barbara Lewis
The Monkey Time	Major Lance
Be True To Yourself	Bobby Vee
It's My Party	Lesley Gore
How Many Teardrops	Lou Christie
Make The World Go Away	Timi Yuro
When A Boy Falls In Love	Mel Carter
Hey, Girl	Freddie Scott
Surf Party	Chubby Checker
Painted, Tainted Rose	Al Martino
Brenda	The Cupids
If I Had A Hammer	Trini Lopez
Surfin' Hootenanny	Al Casey
Frankie And Johnny	Sam Cooke
Sometimes You Gotta Cry A Little	Bobby Bland
Wait Til' My Bobby Gets Home	Darlene Love
Mama Don't Allow	The Rooftop Singers
Shake A Tail Feather	The Five Du-Tones
I Will Love You	Richard Chamberlain
I Want To Stay Here	Steve & Eydie
Cottonfields	Ace Cannon
I'm Afraid To Go Home	Brian Hyland
The Dreamer	Neil Sedaka
Desert Pete	The Kingston Trio
Leave Me Alone	Baby Washington
Will Power	The Cookies
Daughter	The Blenders
It Hurts To Be Sixteen	Andrea Carroll
My Boyfriend's Back	The Angels
Groovy Baby	Billy Abbott And The Jewels
Everybody Monkey	Freddy Cannon
Can't Nobody Love You	Solomon Burke
This Is All I Ask	Tony Bennett
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
Jack The Ripper	Link Wray And The Wraymen
Heat Wave	Martha & The Vandellas
These Foolish Things	James Brown And The Famous Flames
It's Too Late	Wilson Pickett
Surfer Girl	The Beach Boys
Land Of 1000 Dances	Chris Kenner
My Daddy Knows Best	The Marvelettes
Dancin' Holiday	The Olympics
Dance, Dance, Dance	Joey Dee
Dum Dum Dee Dum	Johnny Cymbal
This Is All I Ask	Burl Ives
Chinese Checkers	Booker T. & The MG's
Martian Hop	The Ran-Dells
A Breath Taking Guy	The Supremes
Lucky Lips	Cliff Richard
Saturday Sunshine	Burt Bacharach
At The Shore	Johnny Caswell
Please Don't Talk To The Lifeguard	Diane Ray
True Blue Lou	Tony Bennett
Make The Music Play	Dionne Warwick
