Fingertips - Pt 2	Little Stevie Wonder
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Candy Girl	The 4 Seasons
My Boyfriend's Back	The Angels
Judy's Turn To Cry	Lesley Gore
Blowin' In The Wind	Peter, Paul & Mary
Wipe Out	The Surfaris
More	Kai Winding & Orchestra
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Denise	Randy & The Rainbows
If I Had A Hammer	Trini Lopez
Mockingbird	Inez Foxx with Charlie Foxx
Danke Schoen	Wayne Newton And The Newton Brothers
So Much In Love	The Tymes
Surf City	Jan & Dean
Hey, Girl	Freddie Scott
Green, Green	The New Christy Minstrels
Surfer Girl	The Beach Boys
Heat Wave	Martha & The Vandellas
The Monkey Time	Major Lance
True Love Never Runs Smooth	Gene Pitney
Frankie And Johnny	Sam Cooke
Painted, Tainted Rose	Al Martino
Memphis	Lonnie Mack
Twist It Up	Chubby Checker
Make The World Go Away	Timi Yuro
Easier Said Than Done	The Essex
My Whole World Is Falling Down	Brenda Lee
I (Who Have Nothing)	Ben E. King
Blue Velvet	Bobby Vinton
I Want To Stay Here	Steve & Eydie
Abilene	George Hamilton IV
Wait Til' My Bobby Gets Home	Darlene Love
Hopeless	Andy Williams
Detroit City	Bobby Bare
Just One Look	Doris Troy
I Wonder	Brenda Lee
Marlena	The 4 Seasons
Ring Of Fire	Johnny Cash
You Can Never Stop Me Loving You	Johnny Tillotson
Then He Kissed Me	The Crystals
Shake! Shake! Shake!	Jackie Wilson
Martian Hop	The Ran-Dells
The Kind Of Boy You Can't Forget	The Raindrops
When A Boy Falls In Love	Mel Carter
Desert Pete	The Kingston Trio
The Dreamer	Neil Sedaka
It Hurts To Be Sixteen	Andrea Carroll
Drownin' My Sorrows	Connie Francis
Hey There Lonely Boy	Ruby And The Romantics
Wonderful! Wonderful!	The Tymes
Surfin' Hootenanny	Al Casey
Please Don't Talk To The Lifeguard	Diane Ray
Everybody Monkey	Freddy Cannon
These Foolish Things	James Brown And The Famous Flames
Groovy Baby	Billy Abbott And The Jewels
It's Too Late	Wilson Pickett
Mama Don't Allow	The Rooftop Singers
Mickey's Monkey	The Miracles
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
Daughter	The Blenders
Leave Me Alone	Baby Washington
Little Deuce Coupe	The Beach Boys
The Lonely Surfer	Jack Nitzsche
Sometimes You Gotta Cry A Little	Bobby Bland
Can't Nobody Love You	Solomon Burke
My Daddy Knows Best	The Marvelettes
Straighten Up Your Heart	Barbara Lewis
Lucky Lips	Cliff Richard
Why Don't You Believe Me	The Duprees featuring Joey Vann
Only In America	Jay & The Americans
This Is All I Ask	Burl Ives
This Is All I Ask	Tony Bennett
More	Vic Dana
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Part Time Love	Little Johnny Taylor
Dum Dum Dee Dum	Johnny Cymbal
Pay Back	Etta James
Cry Baby	Garnet Mimms & The Enchanters
Birthday Party	The Pixies Three
A Breath Taking Guy	The Supremes
Make The Music Play	Dionne Warwick
8 X 10	Bill Anderson
Man's Temptation	Gene Chandler
Organ Shout	Dave "Baby" Cortez
China Nights (Shina No Yoru)	Kyu Sakamoto
(I Cried at) Laura's Wedding	Barbara Lynn
This Is My Prayer	Theola Kilgore
It Won't Be This Way (Always)	The King Pins
A Walkin' Miracle	The Essex Featuring Anita Humes
Gone	The Rip Chords
I'm Not A Fool Anymore	T.K. Hulin
Something Old, Something New	Paul and Paula
Treat My Baby Good	Bobby Darin
Wham!	Lonnie Mack
Your Baby's Gone Surfin'	Duane Eddy
Hear The Bells	The Tokens
Tell Me The Truth	Nancy Wilson
Dance, Everybody, Dance	The Dartells
Do The Monkey	King Curtis
