Do Wah Diddy Diddy	Manfred Mann
Dancing In The Street	Martha & The Vandellas
Last Kiss	J. Frank Wilson and The Cavaliers
We'll Sing In The Sunshine	Gale Garnett
Oh, Pretty Woman	Roy Orbison And The Candy Men
Baby Love	The Supremes
A Summer Song	Chad & Jeremy
Let It Be Me	Betty Everett & Jerry Butler
When I Grow Up (To Be A Man)	The Beach Boys
Have I The Right?	The Honeycombs
Little Honda	The Hondells
Chug-A-Lug	Roger Miller
It Hurts To Be In Love	Gene Pitney
The Door Is Still Open To My Heart	Dean Martin
Tobacco Road	The Nashville Teens
Come A Little Bit Closer	Jay & The Americans
Ride The Wild Surf	Jan & Dean
Remember (Walkin' in the Sand)	The Shangri-Las
You Must Believe Me	The Impressions
Leader Of The Pack	The Shangri-Las
Baby I Need Your Loving	Four Tops
Funny (How Time Slips Away)	Joe Hinton
Bread And Butter	The Newbeats
I'm Crying	The Animals
Everybody Knows (I Still Love You)	The Dave Clark Five
I Like It	Gerry And The Pacemakers
I Don't Want To See You Again	Peter And Gordon
On The Street Where You Live	Andy Williams
Softly, As I Leave You	Frank Sinatra
Baby Don't You Do It	Marvin Gaye
20-75	Willie Mitchell
Ain't That Loving You Baby	Elvis Presley
I've Got Sand In My Shoes	The Drifters
Girl (Why You Wanna Make Me Blue)	The Temptations
Mercy, Mercy	Don Covay & The Goodtimers
I'm On The Outside (Looking In)	Little Anthony And The Imperials
Cousin Of Mine	Sam Cooke
G.T.O.	Ronny And The Daytonas
I Don't Want To See Tomorrow	Nat King Cole
You Really Got Me	The Kinks
Who Can I Turn To (When Nobody Needs Me)	Tony Bennett
All Cried Out	Dusty Springfield
That's What Love Is Made Of	The Miracles
Funny Girl	Barbra Streisand
Is It True	Brenda Lee
Teen Beat '65	Sandy Nelson
Death Of An Angel	The Kingsmen
Rhythm	Major Lance
Do You Want To Dance	Del Shannon
From A Window	Billy J. Kramer With The Dakotas
Baby Be Mine	The Jelly Beans
Matchbox	The Beatles
Ask Me	Elvis Presley With The Jordanaires
Smack Dab In The Middle	Ray Charles and his Orchestra
Good Night Baby	The Butterflys
Bless Our Love	Gene Chandler
Lumberjack	Brook Benton
When You're Young And In Love	Ruby And The Romantics
So Long Dearie	Louis Armstrong
I Had A Talk With My Man	Mitty Collier
She's Not There	The Zombies
Wendy	The Beach Boys
Jump Back	Rufus Thomas
I'm Into Something Good	Herman's Hermits
Time Is On My Side	The Rolling Stones
The James Bond Theme	Billy Strange
I Wanna Be With You	Nancy Wilson
Runnin' Out Of Fools	Aretha Franklin
La La La La La	The Blendells
Needle In A Haystack	The Velvelettes
When You Walk In The Room	The Searchers
Beach Girl	Pat Boone
Little Queenie	Bill Black's Combo
I'm Gonna Be Strong	Gene Pitney
Something You Got	Ramsey Lewis Trio
Look Away	Garnet Mimms
Reach Out For Me	Dionne Warwick
Little Honda	The Beach Boys
Ain't Doing Too Bad (Part 1)	Bobby Bland
Slaughter On Tenth Avenue	The Ventures
Right Or Wrong	Ronnie Dove
Don't Ever Leave Me	Connie Francis
Opportunity	The Jewels
What Good Am I Without You	Marvin Gaye & Kim Weston
Gone, Gone, Gone	The Everly Brothers
Baby Baby All The Time	The Superbs
Up Above My Head (I Hear Music In The Air)	Al (He's the King) Hirt
Shaggy Dog	Mickey Lee Lane
You Should Have Seen The Way He Looked At Me	The Dixie Cups
Everything's Alright	The Newbeats
If You Want This Love	Sonny Knight
Yes I Do	Solomon Burke
Little Marie	Chuck Berry
Hey Now	Lesley Gore
Walking In The Rain	The Ronettes
Oh No Not My Baby	Maxine Brown
Chained And Bound	Otis Redding
Garden In The Rain	Vic Dana
Listen Lonely Girl	Johnny Mathis
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
