Help Me, Rhonda	The Beach Boys
Ticket To Ride	The Beatles
Back In My Arms Again	The Supremes
Mrs. Brown You've Got A Lovely Daughter	Herman's Hermits
Wooly Bully	Sam The Sham and the Pharaohs
Crying In The Chapel	Elvis Presley With The Jordanaires
Count Me In	Gary Lewis And The Playboys
I'll Never Find Another You	The Seekers
Just A Little	The Beau Brummels
It's Not Unusual	Tom Jones
Just Once In My Life	The Righteous Brothers
Baby The Rain Must Fall	Glenn Yarbrough
She's About A Mover	Sir Douglas Quintet
Silhouettes	Herman's Hermits
Cast Your Fate To The Wind	Sounds Orchestral
True Love Ways	Peter And Gordon
I Can't Help Myself (Sugar Pie Honey Bunch)	Four Tops
Queen Of The House	Jody Miller
Engine Engine #9	Roger Miller
Iko Iko	The Dixie Cups
Do The Freddie	Freddie And The Dreamers
You Were Made For Me	Freddie And The Dreamers
Reelin' And Rockin'	The Dave Clark Five
Ooo Baby Baby	The Miracles
Dream On Little Dreamer	Perry Como
We're Gonna Make It	Little Milton
I'll Be Doggone	Marvin Gaye
L-O-N-E-L-Y	Bobby Vinton
Last Chance To Turn Around	Gene Pitney
Nothing Can Stop Me	Gene Chandler
You Were Only Fooling (While I Was Falling In Love)	Vic Damone
I Know A Place	Petula Clark
Game Of Love	Wayne Fontana & The Mindbenders
Hush, Hush, Sweet Charlotte	Patti Page
Three O'Clock In The Morning	Bert Kaempfert And His Orchestra
The Last Time	The Rolling Stones
It's Growing	The Temptations
Concrete And Clay	Unit Four plus Two
Before And After	Chad & Jeremy
Bring It On Home To Me	The Animals
Land Of 1000 Dances	Cannibal And The Headhunters
I Do Love You	Billy Stewart
It's Gonna Be Alright	Gerry And The Pacemakers
A Walk In The Black Forest	Horst Jankowski
Concrete And Clay	Eddie Rambeau
Voodoo Woman	Bobby Goldsboro
Shakin' All Over	The Guess Who
For Your Love	The Yardbirds
Let's Do The Freddie	Chubby Checker
Wonderful World	Herman's Hermits
I've Been Loving You Too Long (To Stop Now)	Otis Redding
Lipstick Traces (On A Cigarette)	The O'Jays
Boo-Ga-Loo	Tom and Jerrio
(Remember Me) I'm The One Who Loves You	Dean Martin
Mr. Tambourine Man	The Byrds
Now That You've Gone	Connie Stevens
Wishing It Was You	Connie Francis
Catch The Wind	Donovan
Something You Got	Chuck Jackson & Maxine Brown
Laurie (Strange Things Happen)	Dickey Lee
Al's Place	Al (He's the King) Hirt
What Do You Want With Me	Chad & Jeremy
And I Love Him	Esther Phillips
Peanuts (La Cacahuata)	The Sunglows
The Climb	The Kingsmen
I Do	The Marvelows
You Can Have Her	The Righteous Brothers
Georgie Porgie	Jewel Akens
Yes, I'm Ready	Barbara Mason
What The World Needs Now Is Love	Jackie DeShannon
Tell Her (You Love Her Every Day)	Frank Sinatra
It's Wonderful To Be In Love	The Ovations (Featuring Louis Williams)
Give Us Your Blessings	The Shangri-Las
Here Comes The Night	Them
I'll Be With You In Apple Blossom Time	Wayne Newton
You Really Know How To Hurt A Guy	Jan & Dean
Gotta Have Your Love	The Sapphires
What's He Doing In My World	Eddy Arnold
Love Is A 5-Letter Word	James Phelps
Tonight's The Night	Solomon Burke
Good Lovin'	The Olympics
You Turn Me On (Turn On Song)	Ian Whitcomb And Bluesville
Bring A Little Sunshine (To My Heart)	Vic Dana
The Mouse	Soupy Sales
I'll Keep Holding On	The Marvelettes
Keep On Trying	Bobby Vee
A World Of Our Own	The Seekers
Is This What I Get For Loving You?	The Ronettes Featuring Veronica
Little Lonely One	Tom Jones
Lip Sync (To The Tongue Twisters)	Len Barry
When The Ship Comes In	Peter, Paul & Mary
Oo Wee Baby, I Love You	Fred Hughes
You'll Miss Me (When I'm Gone)	Fontella Bass & Bobby McClure
It's Almost Tomorrow	Jimmy Velvet
Break Up	Del Shannon
Too Many Rivers	Brenda Lee
I Love You So	Bobbi Martin
No One	Brenda Lee
It Ain't No Big Thing	Radiants
The Puzzle Song (A Puzzle In Song)	Shirley Ellis
