The Sound Of Silence	Simon & Garfunkel
We Can Work It Out	The Beatles
She's Just My Style	Gary Lewis And The Playboys
Five O'Clock World	The Vogues
Day Tripper	The Beatles
No Matter What Shape (Your Stomach's In)	The T-Bones
The Men In My Little Girl's Life	Mike Douglas
A Must To Avoid	Herman's Hermits
As Tears Go By	The Rolling Stones
You Didn't Have To Be So Nice	The Lovin' Spoonful
Just Like Me	Paul Revere & The Raiders Featuring Mark Lindsay
Flowers On The Wall	The Statler Brothers
Ebb Tide	The Righteous Brothers
The Duck	Jackie Lee
Barbara Ann	The Beach Boys
Jenny Take A Ride!	Mitch Ryder And The Detroit Wheels
My Love	Petula Clark
Spanish Eyes	Al Martino
Attack	The Toys
Lies	The Knickerbockers
Crying Time	Ray Charles
Over And Over	The Dave Clark Five
Satin Pillows	Bobby Vinton
A Well Respected Man	The Kinks
Thunderball	Tom Jones
Uptight (Everything's Alright)	Stevie Wonder
Sandy	Ronny And The Daytonas
I Got You (I Feel Good)	James Brown And The Famous Flames
Going To A Go-Go	The Miracles
Lightnin' Strikes	Lou Christie
It Was A Very Good Year	Frank Sinatra
Look Through Any Window	The Hollies
Zorba The Greek	Herb Alpert & The Tijuana Brass
It's My Life	The Animals
Under Your Spell Again	Johnny Rivers
Like A Baby	Len Barry
Tell Me Why	Elvis Presley With The Jordanaires
Second Hand Rose	Barbra Streisand
Are You There (With Another Girl)	Dionne Warwick
A Sweet Woman Like You	Joe Tex
Fever	The McCoys
Don't Mess With Bill	The Marvelettes
Turn! Turn! Turn! (To Everything There Is A Season)	The Byrds
Michael	The C.O.D.'s
Let's Hang On!	The 4 Seasons Featuring the "Sound of Frankie Valli"
My World Is Empty Without You	The Supremes
Michelle	David & Jonathan
Harlem Nocturne	The Viscounts
Recovery	Fontella Bass
I've Got To Be Somebody	Billy Joe Royal
Tijuana Taxi	Herb Alpert & The Tijuana Brass
It's Good News Week	Hedgehoppers Anonymous
Hurt	Little Anthony And The Imperials
California Dreamin'	The Mamas & The Papas
A Young Girl	Noel Harrison
Broomstick Cowboy	Bobby Goldsboro
Spread It On Thick	The Gentrys
A Hard Day's Night	Ramsey Lewis Trio
I Ain't Gonna Eat Out My Heart Anymore	The Young Rascals
I See The Light	The Five Americans
Call Me	Chris Montez
Cleo's Mood	Jr. Walker & The All Stars
If You Gotta Make A Fool Of Somebody	Maxine Brown
Can You Please Crawl Out Your Window?	Bob Dylan
Little Boy (In Grown Up Clothes)	The 4 Seasons
Night Time	The Strangeloves
(You're Gonna) Hurt Yourself	Frankie Valli
Get Out Of My Life, Woman	Lee Dorsey
Rainbow '65 (Part I)	Gene Chandler
Love (Makes Me Do Foolish Things)	Martha & The Vandellas
When Liking Turns To Loving	Ronnie Dove
Please Don't Fight It	Dino, Desi & Billy
Hole In The Wall	The Packers
These Boots Are Made For Walkin'	Nancy Sinatra
My Baby Loves Me	Martha & The Vandellas
I'm Too Far Gone (To Turn Around)	Bobby Bland
My Generation	The Who
Michelle	Billy Vaughn And His Orchestra
Snow Flake	Jim Reeves
I Can't Believe You Love Me	Tammi Terrell
Breakin' Up Is Breakin' My Heart	Roy Orbison
Andrea	The Sunrays
Elusive Butterfly	Bob Lind
Love Is All We Need	Mel Carter
Giddyup Go	Red Sovine
Bye Bye Blues	Bert Kaempfert And His Orchestra
Tired Of Being Lonely	Sharpees
Get Back	Roy Head
This Can't Be True	Eddie Holman
You Don't Know Like I Know	Sam & Dave
Goodnight My Love	Ben E. King
Michelle	Bud Shank
The Loop	Johnny Lytle
The Pain Gets A Little Deeper	Darrow Fletcher
Something I Want To Tell You	Johnny and The Expressions
Spanish Harlem	King Curtis
Where The Sun Has Never Shone	Jonathan King
Can't You See (You're Losing Me)	Mary Wells
Love Makes The World Go Round	Deon Jackson
Because I Love You	Billy Stewart
