Good Lovin'	The Young Rascals
(You're My) Soul And Inspiration	The Righteous Brothers
Monday, Monday	The Mamas & The Papas
Sloop John B	The Beach Boys
Secret Agent Man	Johnny Rivers
Kicks	Paul Revere & The Raiders Featuring Mark Lindsay
Time Won't Let Me	The Outsiders
Bang Bang (My Baby Shot Me Down)	Cher
Daydream	The Lovin' Spoonful
Leaning On The Lamp Post	Herman's Hermits
Gloria	Shadows Of Knight
I'm So Lonesome I Could Cry	B.J. Thomas And The Triumphs
A Sign Of The Times	Petula Clark
Rainy Day Women #12 & 35	Bob Dylan
Shapes Of Things	The Yardbirds
Rhapsody In The Rain	Lou Christie
Try Too Hard	The Dave Clark Five
Message To Michael	Dionne Warwick
Together Again	Ray Charles
The Ballad Of The Green Berets	SSgt Barry Sadler
How Does That Grab You, Darlin'?	Nancy Sinatra
Eight Miles High	The Byrds
A Groovy Kind Of Love	The Mindbenders
Woman	Peter And Gordon
Frankie And Johnny	Elvis Presley
California Dreamin'	The Mamas & The Papas
19th Nervous Breakdown	The Rolling Stones
Nowhere Man	The Beatles
When A Man Loves A Woman	Percy Sledge
This Old Heart Of Mine (Is Weak For You)	The Isley Brothers
Little Latin Lupe Lu	Mitch Ryder And The Detroit Wheels
Caroline, No	Brian Wilson
The Phoenix Love Theme (Senza Fine)	The Brass Ring featuring Phil Bodner
I Hear Trumpets Blow	The Tokens
What Now My Love	Herb Alpert & The Tijuana Brass
Sure Gonna Miss Her	Gary Lewis And The Playboys
Homeward Bound	Simon & Garfunkel
Somewhere	Len Barry
The Sun Ain't Gonna Shine (Anymore)	The Walker Bros.
Spanish Flea	Herb Alpert & The Tijuana Brass
Let's Start All Over Again	Ronnie Dove
Nothing's Too Good For My Baby	Stevie Wonder
Think I'll Go Somewhere And Cry Myself To Sleep	Al Martino
Tippy Toeing	The Harden Trio
Please Don't Stop Loving Me	Elvis Presley
I'll Take Good Care Of You	Garnet Mimms
I Can't Grow Peaches On A Cherry Tree	Just Us
History Repeats Itself	Buddy Starcher
One Track Mind	The Knickerbockers
I'm Comin' Home, Cindy	Trini Lopez
The "A" Team	SSgt Barry Sadler
I Can't Let Go	The Hollies
Love Me With All Of Your Heart	The Bachelors
Love's Made A Fool Of You	Bobby Fuller Four
She Blew A Good Thing	The Poets
Got My Mojo Working (Part I)	Jimmy Smith
Till The End Of The Day	The Kinks
The Ballad Of Irving	Frank Gallop
Young Love	Lesley Gore
Memories Are Made Of This	The Drifters
Band Of Gold	Mel Carter
Love Is Like An Itching In My Heart	The Supremes
A Lover's Concerto	Sarah Vaughan
Come On Let's Go	The McCoys
You're The One	The Marvelettes
Distant Drums	Jim Reeves
He Cried	The Shangri-Las
Remember The Rain	Bob Lind
The Cruel War	Peter, Paul & Mary
It's A Man's Man's Man's World	James Brown And The Famous Flames
Backstage	Gene Pitney
(I'm A) Road Runner	Jr. Walker & The All Stars
Dum-De-Da	Bobby Vinton
Twinkle Toes	Roy Orbison
You've Got My Mind Messed Up	James Carr
The More I See You	Chris Montez
Evol-Not Love	The Five Americans
I Surrender	Fontella Bass
Mame	Bobby Darin
Real Humdinger	J.J. Barnes
Elvira	Dallas Frazier
The Teaser	Bob Kuban And The In-Men
I Love You 1000 Times	The Platters
Darling Baby	The Elgins
Barefootin'	Robert Parker
Cool Jerk	The Capitols
Hold On! I'm A Comin'	Sam & Dave
Gloria	Them
History Repeats Itself	Cab Calloway
Love Takes A Long Time Growing	Deon Jackson
Please Don't Sell My Daddy No More Wine	The Greenwoods
Double Shot (Of My Baby's Love)	Swingin' Medallions
Wang Dang Doodle	Ko Ko Taylor
Pin The Tail On The Donkey	Paul Peek
Dirty Water	The Standells
Let Me Be Good To You	Carla Thomas
Let's Go Steady Again	Sam Cooke
Downtown	Mrs. Miller
My Little Red Book	Love
Mine Exclusively	The Olympics
