Paint It, Black	The Rolling Stones
Did You Ever Have To Make Up Your Mind?	The Lovin' Spoonful
I Am A Rock	Simon & Garfunkel
When A Man Loves A Woman	Percy Sledge
Strangers In The Night	Frank Sinatra
A Groovy Kind Of Love	The Mindbenders
Barefootin'	Robert Parker
Green Grass	Gary Lewis And The Playboys
Cool Jerk	The Capitols
Red Rubber Ball	The Cyrkle
Sweet Talkin' Guy	The Chiffons
You Don't Have To Say You Love Me	Dusty Springfield
Oh How Happy	Shades Of Blue
Opus 17 (Don't You Worry 'Bout Me)	The 4 Seasons Featuring the "Sound of Frankie Valli"
Paperback Writer	The Beatles
The More I See You	Chris Montez
Don't Bring Me Down	The Animals
It's A Man's Man's Man's World	James Brown And The Famous Flames
Double Shot (Of My Baby's Love)	Swingin' Medallions
(I'm A) Road Runner	Jr. Walker & The All Stars
Hold On! I'm A Comin'	Sam & Dave
Mama	B.J. Thomas
Girl In Love	The Outsiders
Monday, Monday	The Mamas & The Papas
Hanky Panky	Tommy James And The Shondells
Dirty Water	The Standells
Ain't Too Proud To Beg	The Temptations
Crying	Jay & The Americans
Rainy Day Women #12 & 35	Bob Dylan
I Love You Drops	Vic Dana
Love Is Like An Itching In My Heart	The Supremes
I Love You 1000 Times	The Platters
Popsicle	Jan & Dean
He	The Righteous Brothers
Hey Joe	The Leaves
Dedicated Follower Of Fashion	The Kinks
It's Over	Jimmie Rodgers
Come On Let's Go	The McCoys
S.Y.S.L.J.F.M. (The Letter Song)	Joe Tex
The Last Word In Lonesome Is Me	Eddy Arnold
Little Girl	Syndicate Of Sound
Rain	The Beatles
The Land Of Milk And Honey	The Vogues
Along Comes Mary	The Association
Take This Heart Of Mine	Marvin Gaye
Oh Yeah	The Shadows Of Knight
Let's Go Get Stoned	Ray Charles
Kicks	Paul Revere & The Raiders Featuring Mark Lindsay
Peter Rabbit	Dee Jay And The Runaways
Message To Michael	Dionne Warwick
Day For Decision	Johnny Sea
Have I Stayed Too Long	Sonny & Cher
My Little Red Book	Love
Better Use Your Head	Little Anthony And The Imperials
Come Running Back	Dean Martin
Younger Girl	The Critters
(I Washed My Hands In) Muddy Water	Johnny Rivers
Ninety-Nine And A Half (Won't Do)	Wilson Pickett
Younger Girl	The Hondells
Loving You Is Sweeter Than Ever	Four Tops
Please Tell Me Why	The Dave Clark Five
Break Out	Mitch Ryder And The Detroit Wheels
Wiederseh'n	Al Martino
Cloudy Summer Afternoon (Raindrops)	Barry McGuire
I'll Love You Forever	The Holidays
Take Some Time Out For Love	The Isley Brothers
There's No Living Without Your Loving	Peter And Gordon
Solitary Man	Neil Diamond
Neighbor, Neighbor	Jimmy Hughes
The Pied Piper	Crispian St. Peters
My Lover's Prayer	Otis Redding
You Better Run	The Young Rascals
When A Woman Loves A Man	Esther Phillips
What Am I Going To Do Without Your Love	Martha & The Vandellas
Good Time Charlie	Bobby Bland
The Impossible Dream (The Quest)	Jack Jones
Happy Summer Days	Ronnie Dove
Somewhere, My Love	Ray Conniff And The Singers
Think Of Me	Buck Owens and The Buckaroos
Come On And See Me	Tammi Terrell
Sweet Pea	Tommy Roe
Hungry	Paul Revere & The Raiders Featuring Mark Lindsay
Whole Lot Of Shakin' In My Heart (Since I Met You)	The Miracles
I Love Onions	Susan Christie
Don't Touch Me	Jeannie Seely
Billy And Sue	B.J. Thomas And The Triumphs
I Only Have Eyes For You	The Lettermen
River Deep-Mountain High	Ike & Tina Turner Featuring Tina
Where Were You When I Needed You	The Grass Roots
Not Responsible	Tom Jones
Count Down	Dave "Baby" Cortez
It's An Uphill Climb To The Bottom	Walter Jackson
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
It's That Time Of The Year	Len Barry
One Too Many Mornings	Beau Brummels
Grim Reaper Of Love	The Turtles
Teenager's Prayer	Joe Simon
I Need Love	Barbara Mason
I'll Be Gone	Pozo Seco Singers
Hand Jive	The Strangeloves
