Summer In The City	The Lovin' Spoonful
Sunny	Bobby Hebb
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
Wild Thing	The Troggs
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
See You In September	The Happenings
The Pied Piper	Crispian St. Peters
Mothers Little Helper	The Rolling Stones
I Couldn't Live Without Your Love	Petula Clark
Sunshine Superman	Donovan
Blowin In The Wind	Stevie Wonder
Sweet Pea	Tommy Roe
Over Under Sideways Down	The Yardbirds
My Heart's Symphony	Gary Lewis And The Playboys
Sweet Dreams	Tommy McLain
Summertime	Billy Stewart
Working In The Coal Mine	Lee Dorsey
This Door Swings Both Ways	Herman's Hermits
Somewhere, My Love	Ray Conniff And The Singers
Land Of 1000 Dances	Wilson Pickett
The Joker Went Wild	Brian Hyland
Born A Woman	Sandy Posey
Warm And Tender Love	Percy Sledge
I Saw Her Again	The Mamas & The Papas
Hungry	Paul Revere & The Raiders Featuring Mark Lindsay
Wouldn't It Be Nice	The Beach Boys
Guantanamera	The Sandpipers
You Can't Hurry Love	The Supremes
Make Me Belong To You	Barbara Lewis
Distant Shores	Chad & Jeremy
Bus Stop	The Hollies
Wade In The Water	Ramsey Lewis
Hanky Panky	Tommy James And The Shondells
Respectable	The Outsiders
Alfie	Cher
Lady Jane	The Rolling Stones
Say I Am (What I Am)	Tommy James And The Shondells
Tar And Cement	Verdelle Smith
Searching For My Love	Bobby Moore & The Rhythm Aces
Pretty Flamingo	Manfred Mann
A Million And One	Dean Martin
Ain't Too Proud To Beg	The Temptations
Billy And Sue	B.J. Thomas And The Triumphs
Misty	"Groove" Holmes
The Tip Of My Fingers	Eddy Arnold
Almost Persuaded	David Houston
With A Girl Like You	The Troggs
Go Ahead And Cry	The Righteous Brothers
You You You	Mel Carter
The Work Song	Herb Alpert & The Tijuana Brass
Wipe Out	The Surfaris
Yellow Submarine	The Beatles
Money Won't Change You (Part 1)	James Brown And The Famous Flames
Sugar And Spice	The Cryan' Shames
Sunny Afternoon	The Kinks
(You Make Me Feel) So Good	The McCoys
The Dangling Conversation	Simon & Garfunkel
Turn-Down Day	The Cyrkle
Open The Door To Your Heart	Darrell Banks
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
I Guess I'll Always Love You	The Isley Brothers
Look At Me Girl	Bobby Vee And The Strangers
7 And 7 Is	Love
God Only Knows	The Beach Boys
Mr. Dieingly Sad	The Critters
World Of Fantasy	The Five Stairsteps
I Believe I'm Gonna Make It	Joe Tex
Too Soon To Know	Roy Orbison
Satisfied With You	The Dave Clark Five
Out Of This World	The Chiffons
A Million And One	Vic Dana
Lonely Summer	The Shades Of Blue
The Philly Freeze	Alvin Cash & The Registers
There Will Never Be Another You	Chris Montez
Bring Back The Time	B.J. Thomas
Livin' Above Your Head	Jay & The Americans
Suspicions	The Sidekicks
(We'll Be) United	The Intruders
Cast Your Fate To The Wind	Shelby Flint
Beauty Is Only Skin Deep	The Temptations
Petticoat White (Summer Sky Blue)	Bobby Vinton
Black Is Black	Los Bravos
Let's Call It A Day Girl	The Razor's Edge
Just Yesterday	Al Martino
That's Enough	Rosco Robinson
Sometimes Good Guys Don't Wear White	The Standells
What Becomes Of The Brokenhearted	Jimmy Ruffin
Cherry, Cherry	Neil Diamond
B-A-B-Y	Carla Thomas
Little Darling, I Need You	Marvin Gaye
Ashes To Ashes	The Mindbenders
Let Me Tell You, Babe	Nat King Cole
Ain't Nobody Home	Howard Tate
Dear Mrs. Applebee	Flip Cartridge
You're Gonna Miss Me	The Thirteenth Floor Elevators
She Drives Me Out Of My Mind	The Swingin' Medallions
In The Basement - Part 1	Etta James & Sugar Pie DeSanto
Come Share The Good Times With Me	Julie Monday
Get Away	Georgie Fame And The Blue Flames
Rumors	Syndicate Of Sound
