Poor Side Of Town	Johnny Rivers
Last Train To Clarksville	The Monkees
96 Tears	? (Question Mark) & The Mysterians
Good Vibrations	The Beach Boys
Dandy	Herman's Hermits
Winchester Cathedral	The New Vaudeville Band
You Keep Me Hangin' On	The Supremes
If I Were A Carpenter	Bobby Darin
Devil With A Blue Dress On & Good Golly Miss Molly	Mitch Ryder And The Detroit Wheels
I'm Your Puppet	James & Bobby Purify
Reach Out I'll Be There	Four Tops
Walk Away Renee	The Left Banke
Love Is A Hurtin' Thing	Lou Rawls
Hooray For Hazel	Tommy Roe
Rain On The Roof	The Lovin' Spoonful
Have You Seen Your Mother, Baby, Standing In The Shadow?	The Rolling Stones
Born Free	Roger Williams
What Becomes Of The Brokenhearted	Jimmy Ruffin
Go Away Little Girl	The Happenings
Coming On Strong	Brenda Lee
Lady Godiva	Peter And Gordon
Who Am I	Petula Clark
See See Rider	Eric Burdon & The Animals
(You Don't Have To) Paint Me A Picture	Gary Lewis And The Playboys
Look Through My Window	The Mamas & The Papas
I Just Don't Know What To Do With Myself	Dionne Warwick
B-A-B-Y	Carla Thomas
The Hair On My Chinny Chin Chin	Sam The Sham and the Pharaohs
Fa-Fa-Fa-Fa-Fa (Sad Song)	Otis Redding
But It's Alright	J.J. Jackson
Stop Stop Stop	The Hollies
Cherish	The Association
Psychotic Reaction	Count Five
I'm Ready For Love	Martha & The Vandellas
I Can Make It With You	Pozo Seco Singers
The Great Airplane Strike	Paul Revere & The Raiders Featuring Mark Lindsay
Secret Love	Billy Stewart
Louie, Louie	The Sandpipers
Ain't Gonna Lie	Keith
Spinout	Elvis Presley With The Jordanaires
A Satisfied Mind	Bobby Hebb
All That I Am	Elvis Presley With The Jordanaires
I Can't Control Myself	The Troggs
Little Man	Sonny & Cher
Knock On Wood	Eddie Floyd
Holy Cow	Lee Dorsey
A Hazy Shade Of Winter	Simon & Garfunkel
Mas Que Nada	Sergio Mendes & Brasil '66
The Wheel Of Hurt	Margaret Whiting
Don't Be A Drop-Out	James Brown And The Famous Flames
It Tears Me Up	Percy Sledge
Up Tight	Ramsey Lewis
Somebody Like Me	Eddy Arnold
Nineteen Days	The Dave Clark Five
Whispers (Gettin' Louder)	Jackie Wilson
Heaven Must Have Sent You	The Elgins
Run, Run, Look And See	Brian Hyland
On This Side Of Goodbye	The Righteous Brothers
Please Mr. Sun	The Vogues
Somebody (Somewhere) Needs You	Darrell Banks
Why Pick On Me	The Standells
Nobody's Baby Again	Dean Martin
The Wheel Of Hurt	Al Martino
Stay With Me	Lorraine Ellison
Mellow Yellow	Donovan
I Want To Be With You	Dee Dee Warwick
(When She Needs Good Lovin') She Comes To Me	The Chicago Loop
Wish You Were Here, Buddy	Pat Boone
I Got The Feelin' (Oh No No)	Neil Diamond
A Symphony For Susan	The Arbors
Come Back	The Five Stairsteps
Bang Bang	The Joe Cuba Sextet
(Come 'round Here) I'm The One You Need	The Miracles
A Day In The Life Of A Fool	Jack Jones
Time After Time	Chris Montez
Help Me Girl	The Outsiders
Baby What Do You Want Me To Do	Barbara Lewis
Winchester Cathedral	Dana Rollin
We Got A Thing That's In The Groove	The Capitols
Don't Answer The Door - Part 1	B.B. King
It's Only Love	Tommy James And The Shondells
Please Say You're Fooling	Ray Charles and his Orchestra
A Place In The Sun	Stevie Wonder
Games That Lovers Play	Eddie Fisher
Pouring Water On A Drowning Man	James Carr
A Corner In The Sun	Walter Jackson
The Proud One	Frankie Valli
A Man And A Woman	Tamiko Jones with Herbie Mann
Games That Lovers Play	Wayne Newton
Heartbreak Hotel	Roger Miller
Can I Get To Know You Better	The Turtles
It's Not The Same	Anthony & The Imperials
It's-A-Happening	The Magic Mushrooms
Harlem Shuffle	The Traits
Respect	The Rationals
Talk Talk	The Music Machine
I (Who Have Nothing)	Terry Knight and The Pack
Meditation (Meditacao)	Claudine Longet
Spanish Nights And You	Connie Francis
Theme From The Wild Angels	Davie Allan And The Arrows
