Kind Of A Drag	The Buckinghams
Love Is Here And Now You're Gone	The Supremes
Ruby Tuesday	The Rolling Stones
I'm A Believer	The Monkees
Georgy Girl	The Seekers
The Beat Goes On	Sonny & Cher
Gimme Some Lovin'	The Spencer Davis Group
Then You Can Tell Me Goodbye	The Casinos
(We Ain't Got) Nothin' Yet	Blues Magoos
Baby I Need Your Lovin'	Johnny Rivers
Mercy, Mercy, Mercy	Cannonball Adderley
98.6	Keith
Green, Green Grass Of Home	Tom Jones
Sock It To Me-Baby!	Mitch Ryder And The Detroit Wheels
Pretty Ballerina	The Left Banke
Go Where You Wanna Go	The 5th Dimension
I Had Too Much To Dream (Last Night)	The Electric Prunes
It Takes Two	Marvin Gaye & Kim Weston
My Cup Runneth Over	Ed Ames
Stand By Me	Spyder Turner
You Got To Me	Neil Diamond
Tell It Like It Is	Aaron Neville
It's Now Winters Day	Tommy Roe
Music To Watch Girls By	Bob Crewe Generation
For What It's Worth (Stop, Hey What's That Sound)	Buffalo Springfield
The Hunter Gets Captured By The Game	The Marvelettes
Darling Be Home Soon	The Lovin' Spoonful
Snoopy Vs. The Red Baron	The Royal Guardsmen
Epistle To Dippy	Donovan
So You Want To Be A Rock 'N' Roll Star	The Byrds
I've Been Lonely Too Long	The Young Rascals
Lovin' You	Bobby Darin
Indescribably Blue	Elvis Presley With The Jordanaires and The Imperials Quartet
Niki Hoeky	P.J. Proby
All	James Darren
Pushin' Too Hard	The Seeds
Let's Fall In Love	Peaches & Herb
Wish You Didn't Have To Go	James & Bobby Purify
Are You Lonely For Me	Freddy Scott
Everybody Needs Somebody To Love	Wilson Pickett
Happy Together	The Turtles
There's A Kind Of Hush	Herman's Hermits
California Nights	Lesley Gore
Bring It Up	James Brown And The Famous Flames
Daddy's Little Girl	Al Martino
Hello Hello	The Sopwith "Camel"
Hey, Leroy, Your Mama's Callin' You	Jimmy Castor
Ride, Ride, Ride	Brenda Lee
I'll Take Care Of Your Cares	Frankie Laine
The Dis-Advantages Of You	The Brass Ring featuring Phil Bodner
No Fair At All	The Association
I Think We're Alone Now	Tommy James And The Shondells
Lady	Jack Jones
Ups And Downs	Paul Revere & The Raiders
Pucker Up Buttercup	Jr. Walker & The All Stars
Let's Spend The Night Together	The Rolling Stones
Dedicated To The One I Love	The Mamas & The Papas
Tramp	Lowell Fulsom
Spooky	Mike Sharpe
Sit Down, I Think I Love You	The Mojo Men
One More Mountain To Climb	Ronnie Dove
The Love I Saw In You Was Just A Mirage	Smokey Robinson & The Miracles
I Dig You Baby	Jerry Butler
Keep A Light In The Window Till I Come Home	Solomon Burke
There Goes My Everything	Jack Greene
Tiny Bubbles	Don Ho and the Aliis
No Milk Today	Herman's Hermits
The People In Me	The Music Machine
The 59th Street Bridge Song (Feelin' Groovy)	Harpers Bizarre
I Wish You Could Be Here	The Cyrkle
Skate Now	Lou Courtney
Morningtown Ride	The Seekers
Hung Up In Your Eyes	Brian Hyland
Every Day I Have The Blues	Billy Stewart
One, Two, Three	Ramsey Lewis
Peek-A-Boo	The New Vaudeville Band
Something Good (Is Going To Happen To You)	Carla Thomas
When Something Is Wrong With My Baby	Sam & Dave
The Return Of The Red Baron	The Royal Guardsmen
Raise Your Hand	Eddie Floyd
Ten Commandments	Prince Buster
Dry Your Eyes	Brenda & The Tabulations
Strawberry Fields Forever	The Beatles
Sunrise, Sunset	Roger Williams
Penny Lane	The Beatles
Love You So Much	New Colony Six
Soul Time	Shirley Ellis
My Special Prayer	Joe Simon
Jimmy Mack	Martha & The Vandellas
With This Ring	The Platters
Just Be Sincere	Jackie Wilson
Girls Are Out To Get You	The Fascinations
Gonna Get Along Without Ya' Now	Trini Lopez
Hold On I'm Coming	Chuck Jackson & Maxine Brown
Baby, Help Me	Percy Sledge
Ooh Baby	Bo Diddley
People Like You	Eddie Fisher
The Dark End Of The Street	James Carr
Girl Don't Care	Gene Chandler
Mercy, Mercy, Mercy	Larry Williams & Johnny Watson
