The Happening	The Supremes
Sweet Soul Music	Arthur Conley
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Groovin'	The Young Rascals
A Little Bit Me, A Little Bit You	The Monkees
Don't You Care	The Buckinghams
You Got What It Takes	The Dave Clark Five
Close Your Eyes	Peaches & Herb
I Got Rhythm	The Happenings
I Think We're Alone Now	Tommy James And The Shondells
Girl, You'll Be A Woman Soon	Neil Diamond
On A Carousel	The Hollies
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Respect	Aretha Franklin
When I Was Young	Eric Burdon & The Animals
Happy Together	The Turtles
I'm A Man	The Spencer Davis Group
Friday On My Mind	The Easybeats
Here Comes My Baby	The Tremeloes
Jimmy Mack	Martha & The Vandellas
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
Creeque Alley	The Mamas & The Papas
This Is My Song	Petula Clark
Mirage	Tommy James And The Shondells
Sunshine Girl	The Parade
Yellow Balloon	The Yellow Balloon
Get Me To The World On Time	The Electric Prunes
All I Need	The Temptations
Dead End Street Monologue/Dead End Street	Lou Rawls
Shake A Tail Feather	James & Bobby Purify
Somebody To Love	Jefferson Airplane
I Never Loved A Man (The Way I Love You)	Aretha Franklin
At The Zoo	Simon & Garfunkel
I Was Kaiser Bill's Batman	Whistling Jack Smith
My Girl Josephine	Jerry Jaye
Making Memories	Frankie Laine
Casino Royale	Herb Alpert & The Tijuana Brass
Western Union	The Five Americans
My Back Pages	The Byrds
Too Many Fish In The Sea & Three Little Fishes	Mitch Ryder And The Detroit Wheels
Happy Jack	The Who
Hip Hug-Her	Booker T. & The MG's
With This Ring	The Platters
Portrait Of My Love	The Tokens
Buy For Me The Rain	The Nitty Gritty Dirt Band
Love Eyes	Nancy Sinatra
Melancholy Music Man	The Righteous Brothers
Six O'Clock	The Lovin' Spoonful
When You're Young And In Love	The Marvelettes
Bernadette	Four Tops
My Babe	Ronnie Dove
Nothing Takes The Place Of You	Toussaint McCall
Little Games	The Yardbirds
Music To Watch Girls By	Andy Williams
Lay Some Happiness On Me	Dean Martin
The Oogum Boogum Song	Brenton Wood
Can't Seem To Make You Mine	The Seeds
A Beautiful Story	Sonny & Cher
Out Of Left Field	Percy Sledge
Another Day, Another Heartache	The 5th Dimension
Alfie	Dionne Warwick
I Could Be So Good To You	Don And The Goodtimes
Live	The Merry-Go-Round
Tramp	Otis & Carla
It's All Over Now	Casinos
The Whole World Is A Stage	The Fantastic Four
Precious Memories	The Romeos
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Just Look What You've Done	Brenda Holloway
Misty Blue	Eddy Arnold
Danny Boy	Ray Price
Come On Down To My Boat	Every Mothers' Son
I'll Make Him Love Me	Barbara Lewis
Love Me Forever	Roger Williams
Let Yourself Go	James Brown And The Famous Flames
Time, Time	Ed Ames
One Hurt Deserves Another	The Raelets/Ray Charles Orchestra
Jump Back	King Curtis
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Girls In Love	Gary Lewis And The Playboys
I'm Indestructible	Jack Jones
Together	The Intruders
I Want You To Be My Baby	Ellie Greenwich
Eight Men, Four Women	O.V. Wright
I've Lost You	Jackie Wilson
Funky Broadway Part I	Dyke And The Blazers
Let's Live For Today	The Grass Roots
She'd Rather Be With Me	The Turtles
Am I Grooving You	Freddie Scott
Little Bit O' Soul	The Music Explosion
Hey Love	Stevie Wonder
Blue's Theme	Davie Allan And The Arrows
Got To Have You Back	The Isley Brothers
I Can't Help It (If I'm Still In Love With You)	B.J. Thomas
She Shot A Hole In My Soul	Clifford Curry
Make Me Yours	Bettye Swann
My Old Car	Lee Dorsey
Take Me In Your Arms And Love Me	Gladys Knight And The Pips
Beat The Clock	The McCoys
We Had A Good Thing Goin'	The Cyrkle
