Respect	Aretha Franklin
Groovin'	The Young Rascals
I Got Rhythm	The Happenings
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Creeque Alley	The Mamas & The Papas
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
The Happening	The Supremes
Sweet Soul Music	Arthur Conley
Somebody To Love	Jefferson Airplane
All I Need	The Temptations
Mirage	Tommy James And The Shondells
Girl, You'll Be A Woman Soon	Neil Diamond
Here Comes My Baby	The Tremeloes
She'd Rather Be With Me	The Turtles
On A Carousel	The Hollies
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Little Bit O' Soul	The Music Explosion
Friday On My Mind	The Easybeats
Six O'Clock	The Lovin' Spoonful
I Was Kaiser Bill's Batman	Whistling Jack Smith
Close Your Eyes	Peaches & Herb
Don't You Care	The Buckinghams
When You're Young And In Love	The Marvelettes
Happy Jack	The Who
Shake A Tail Feather	James & Bobby Purify
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Sunday Will Never Be The Same	Spanky And Our Gang
Windy	The Association
Come On Down To My Boat	Every Mothers' Son
7 Rooms Of Gloom	Four Tops
Sunshine Girl	The Parade
Too Many Fish In The Sea & Three Little Fishes	Mitch Ryder And The Detroit Wheels
Can't Take My Eyes Off You	Frankie Valli
My Girl Josephine	Jerry Jaye
Alfie	Dionne Warwick
Let's Live For Today	The Grass Roots
Hip Hug-Her	Booker T. & The MG's
Casino Royale	Herb Alpert & The Tijuana Brass
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Tramp	Otis & Carla
Can't Seem To Make You Mine	The Seeds
Girls In Love	Gary Lewis And The Playboys
You Got What It Takes	The Dave Clark Five
The Oogum Boogum Song	Brenton Wood
Ding Dong! The Witch Is Dead	The Fifth Estate
I Think We're Alone Now	Tommy James And The Shondells
When I Was Young	Eric Burdon & The Animals
Dead End Street Monologue/Dead End Street	Lou Rawls
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Portrait Of My Love	The Tokens
Let Yourself Go	James Brown And The Famous Flames
Sound Of Love	The Five Americans
Here We Go Again	Ray Charles
Yellow Balloon	The Yellow Balloon
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
I Could Be So Good To You	Don And The Goodtimes
Funny Familiar Forgotten Feelings	Tom Jones
Shake	Otis Redding
Misty Blue	Eddy Arnold
Come To The Sunshine	Harpers Bizarre
Don't Blame The Children	Sammy Davis Jr.
Mary In The Morning	Al Martino
For Your Precious Love	Oscar Toney, Jr.
Together	The Intruders
Love Me Forever	Roger Williams
Society's Child (Baby I've Been Thinking)	Janis Ian
Another Day, Another Heartache	The 5th Dimension
Long Legged Girl (With The Short Dress On)	Elvis Presley With The Jordanaires
Time, Time	Ed Ames
The Tracks Of My Tears	Johnny Rivers
Nothing Takes The Place Of You	Toussaint McCall
We Had A Good Thing Goin'	The Cyrkle
Am I Grooving You	Freddie Scott
Jump Back	King Curtis
Pay You Back With Interest	The Hollies
Don't Sleep In The Subway	Petula Clark
Bowling Green	The Everly Brothers
You Can't Stand Alone	Wilson Pickett
Stay Together Young Lovers	Brenda & The Tabulations
Oooh, Baby Baby	The Five Stairsteps
Leopard-Skin Pill-Box Hat	Bob Dylan
Why (Am I Treated So Bad)	The Sweet Inspirations
Up -- Up And Away	The 5th Dimension
Me About You	The Mojo Men
Woman Like That, Yeah	Joe Tex
You Gave Me Something (And Everything's Alright)	Fantastic Four
Night And Day	Sergio Mendes & Brasil '66
Soul Finger	Bar-Kays
It's Cold Outside	The Choir
Step Out Of Your Mind	The American Breed
No Good To Cry	The Wildweeds
Stop! And Think It Over	Perry Como
Baby Please Come Back Home	J.J. Barnes
Release Me	Esther Phillips "Little Esther"
Why? (Am I Treated So Bad)	The Staple Singers
Only Love Can Break A Heart	Margaret Whiting
Holiday For Clowns	Brian Hyland
Light My Fire	The Doors
Make Me Yours	Bettye Swann
When The Good Sun Shines	Elmo & Almo
