Groovin'	The Young Rascals
Respect	Aretha Franklin
She'd Rather Be With Me	The Turtles
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Somebody To Love	Jefferson Airplane
Little Bit O' Soul	The Music Explosion
Windy	The Association
All I Need	The Temptations
I Got Rhythm	The Happenings
Mirage	Tommy James And The Shondells
Can't Take My Eyes Off You	Frankie Valli
Sunday Will Never Be The Same	Spanky And Our Gang
Come On Down To My Boat	Every Mothers' Son
7 Rooms Of Gloom	Four Tops
Let's Live For Today	The Grass Roots
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
Ding Dong! The Witch Is Dead	The Fifth Estate
New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)	Bee Gees
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Creeque Alley	The Mamas & The Papas
Alfie	Dionne Warwick
Here Comes My Baby	The Tremeloes
The Tracks Of My Tears	Johnny Rivers
Six O'Clock	The Lovin' Spoonful
Don't Sleep In The Subway	Petula Clark
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Here We Go Again	Ray Charles
Tramp	Otis & Carla
Society's Child (Baby I've Been Thinking)	Janis Ian
Up -- Up And Away	The 5th Dimension
When You're Young And In Love	The Marvelettes
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
For Your Precious Love	Oscar Toney, Jr.
Girl, You'll Be A Woman Soon	Neil Diamond
Sound Of Love	The Five Americans
Come To The Sunshine	Harpers Bizarre
Mary In The Morning	Al Martino
Girls In Love	Gary Lewis And The Playboys
The Happening	The Supremes
On A Carousel	The Hollies
The Oogum Boogum Song	Brenton Wood
I Was Made To Love Her	Stevie Wonder
Sweet Soul Music	Arthur Conley
Friday On My Mind	The Easybeats
Pay You Back With Interest	The Hollies
Shake	Otis Redding
Don't Blame The Children	Sammy Davis Jr.
Funny Familiar Forgotten Feelings	Tom Jones
Light My Fire	The Doors
Hip Hug-Her	Booker T. & The MG's
Let Yourself Go	James Brown And The Famous Flames
Make Me Yours	Bettye Swann
Soul Finger	Bar-Kays
You Must Have Been A Beautiful Baby	The Dave Clark Five
Together	The Intruders
Misty Blue	Eddy Arnold
Why (Am I Treated So Bad)	The Sweet Inspirations
You Gave Me Something (And Everything's Alright)	Fantastic Four
Bowling Green	The Everly Brothers
Shake, Rattle & Roll	Arthur Conley
I Take It Back	Sandy Posey
Jump Back	King Curtis
Oooh, Baby Baby	The Five Stairsteps
Woman Like That, Yeah	Joe Tex
Stay Together Young Lovers	Brenda & The Tabulations
Long Legged Girl (With The Short Dress On)	Elvis Presley With The Jordanaires
Time, Time	Ed Ames
It's Cold Outside	The Choir
You Can't Stand Alone	Wilson Pickett
Step Out Of Your Mind	The American Breed
Baby Please Come Back Home	J.J. Barnes
Carrie-Anne	The Hollies
Plastic Man	Sonny & Cher
Summer And Sandy	Lesley Gore
More Love	Smokey Robinson & The Miracles
They're Here	Boots Walker
Now I Know	Jack Jones
Who's Lovin' You	Brenda & The Tabulations
One By One	Blues Magoos
Mercy, Mercy, Mercy	The Buckinghams
Somebody Help Me	The Spencer Davis Group
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
Love Me Tender	Percy Sledge
Graduation Day	The Arbors
Night And Day	Sergio Mendes & Brasil '66
Airplane Song (My Airplane)	The Royal Guardsmen
No Good To Cry	The Wildweeds
Soothe Me	Sam & Dave
Daylight Savin' Time	Keith
Silence Is Golden	The Tremeloes
Soul Dance Number Three	Wilson Pickett
Why (Am I Treated So Bad)	Bobby Powell
I'll Always Have Faith In You	Carla Thomas
To Be A Lover	Gene Chandler
Have You Seen Her Face	The Byrds
I Stand Accused (Of Loving You)	The Glories
Girl (You Captivate Me)	? (Question Mark) & The Mysterians
Two In The Afternoon	Dino, Desi & Billy
Black Sheep	Sam The Sham and the Pharaohs
