Windy	The Association
Can't Take My Eyes Off You	Frankie Valli
Light My Fire	The Doors
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Little Bit O' Soul	The Music Explosion
I Was Made To Love Her	Stevie Wonder
Up -- Up And Away	The 5th Dimension
A Whiter Shade Of Pale	Procol Harum
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
Come On Down To My Boat	Every Mothers' Son
Mercy, Mercy, Mercy	The Buckinghams
White Rabbit	Jefferson Airplane
Don't Sleep In The Subway	Petula Clark
Society's Child (Baby I've Been Thinking)	Janis Ian
Here We Go Again	Ray Charles
Jackson	Nancy Sinatra & Lee Hazlewood
I Take It Back	Sandy Posey
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Soul Finger	Bar-Kays
Make Me Yours	Bettye Swann
For Your Love	Peaches & Herb
Carrie-Anne	The Hollies
Step Out Of Your Mind	The American Breed
More Love	Smokey Robinson & The Miracles
Silence Is Golden	The Tremeloes
There Goes My Everything	Engelbert Humperdinck
Let's Live For Today	The Grass Roots
The Tracks Of My Tears	Johnny Rivers
I Like The Way	Tommy James And The Shondells
A Girl Like You	The Young Rascals
In The Chapel In The Moonlight	Dean Martin
My Mammy	The Happenings
The Happening	Herb Alpert & The Tijuana Brass
Hypnotized	Linda Jones
You Were On My Mind	Crispian St. Peters
Let The Good Times Roll & Feel So Good	Bunny Sigler
Alfie	Dionne Warwick
Your Unchanging Love	Marvin Gaye
Love Me Tender	Percy Sledge
Joy	Mitch Ryder
To Love Somebody	Bee Gees
Ding Dong! The Witch Is Dead	The Fifth Estate
She'd Rather Be With Me	The Turtles
Show Business	Lou Rawls
Airplane Song (My Airplane)	The Royal Guardsmen
Somebody Help Me	The Spencer Davis Group
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
Take Me (Just As I Am)	Solomon Burke
You Only Live Twice	Nancy Sinatra
Pleasant Valley Sunday	The Monkees
Pictures Of Lily	The Who
The River Is Wide	The Forum
(I Wanna) Testify	The Parliaments
For Your Precious Love	Oscar Toney, Jr.
Soothe Me	Sam & Dave
Out & About	Tommy Boyce & Bobby Hart
Don't Let The Rain Fall Down On Me	The Critters
Don't Blame The Children	Sammy Davis Jr.
Shake, Rattle & Roll	Arthur Conley
Lonely Drifter	Pieces Of Eight
Thank The Lord For The Night Time	Neil Diamond
Bluebird	Buffalo Springfield
I Take What I Want	James & Bobby Purify
Baby I Love You	Aretha Franklin
Washed Ashore (On A Lonely Island In The Sea)	The Platters
You Keep Me Hangin' On	The Vanilla Fudge
Gentle On My Mind	Glen Campbell
Everybody Needs Love	Gladys Knight And The Pips
My World Fell Down	Sagittarius
All You Need Is Love	The Beatles
Baby Please Come Back Home	J.J. Barnes
It's A Happening World	The Tokens
Groovy Summertime	The Love Generation
Cold Sweat - Part 1	James Brown And The Famous Flames
Give Me Time	Dusty Springfield
I'll Do It For You	Toussaint McCall
Words	The Monkees
Blue's Theme	Davie Allan And The Arrows
Mr. Pleasant	The Kinks
I'll Turn To Stone	Four Tops
A Thousand Shadows	The Seeds
Black Sheep	Sam The Sham and the Pharaohs
Shoot Your Shot	Jr. Walker & The All Stars
The Sweetest Thing This Side Of Heaven	Chris Bartley
Summer And Sandy	Lesley Gore
I Can't Go On Livin' Baby Without You	Nino Tempo & April Stevens
Omaha	Moby Grape
Funky Broadway Part I	Dyke And The Blazers
Happy	The Sunshine Company
My Elusive Dreams	David Houston & Tammy Wynette
Happy	The Blades Of Grass
Don't You Miss Me A Little Bit Baby	Jimmy Ruffin
Come Back When You Grow Up	Bobby Vee And The Strangers
Let It Be Me	The Sweet Inspirations
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Brown Eyed Girl	Van Morrison
The Look Of Love	Dusty Springfield
Slippin' & Slidin'	Willie Mitchell
I'll Never Find Another You	Sonny James
