Light My Fire	The Doors
I Was Made To Love Her	Stevie Wonder
Windy	The Association
Can't Take My Eyes Off You	Frankie Valli
A Whiter Shade Of Pale	Procol Harum
Little Bit O' Soul	The Music Explosion
Mercy, Mercy, Mercy	The Buckinghams
White Rabbit	Jefferson Airplane
Up -- Up And Away	The 5th Dimension
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
I Take It Back	Sandy Posey
Come On Down To My Boat	Every Mothers' Son
Jackson	Nancy Sinatra & Lee Hazlewood
Here We Go Again	Ray Charles
Carrie-Anne	The Hollies
Silence Is Golden	The Tremeloes
Soul Finger	Bar-Kays
A Girl Like You	The Young Rascals
There Goes My Everything	Engelbert Humperdinck
Make Me Yours	Bettye Swann
For Your Love	Peaches & Herb
More Love	Smokey Robinson & The Miracles
Pleasant Valley Sunday	The Monkees
I Like The Way	Tommy James And The Shondells
Society's Child (Baby I've Been Thinking)	Janis Ian
Don't Sleep In The Subway	Petula Clark
My Mammy	The Happenings
All You Need Is Love	The Beatles
Hypnotized	Linda Jones
In The Chapel In The Moonlight	Dean Martin
To Love Somebody	Bee Gees
The Happening	Herb Alpert & The Tijuana Brass
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
Let The Good Times Roll & Feel So Good	Bunny Sigler
You Were On My Mind	Crispian St. Peters
Your Unchanging Love	Marvin Gaye
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
Step Out Of Your Mind	The American Breed
Let's Live For Today	The Grass Roots
Joy	Mitch Ryder
Alfie	Dionne Warwick
(I Wanna) Testify	The Parliaments
You Only Live Twice	Nancy Sinatra
Show Business	Lou Rawls
Words	The Monkees
Baby I Love You	Aretha Franklin
Thank The Lord For The Night Time	Neil Diamond
The Tracks Of My Tears	Johnny Rivers
Don't Let The Rain Fall Down On Me	The Critters
The River Is Wide	The Forum
Pictures Of Lily	The Who
Take Me (Just As I Am)	Solomon Burke
I Take What I Want	James & Bobby Purify
Out & About	Tommy Boyce & Bobby Hart
Soothe Me	Sam & Dave
Somebody Help Me	The Spencer Davis Group
Cold Sweat - Part 1	James Brown And The Famous Flames
Everybody Needs Love	Gladys Knight And The Pips
Bluebird	Buffalo Springfield
Lonely Drifter	Pieces Of Eight
Washed Ashore (On A Lonely Island In The Sea)	The Platters
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
Baby You're A Rich Man	The Beatles
Gentle On My Mind	Glen Campbell
The Sweetest Thing This Side Of Heaven	Chris Bartley
You Keep Me Hangin' On	The Vanilla Fudge
Shoot Your Shot	Jr. Walker & The All Stars
Blue's Theme	Davie Allan And The Arrows
It's A Happening World	The Tokens
Come Back When You Grow Up	Bobby Vee And The Strangers
A Thousand Shadows	The Seeds
Don't You Miss Me A Little Bit Baby	Jimmy Ruffin
You're My Everything	The Temptations
Glory Of Love	Otis Redding
Slim Jenkin's Place	Booker T. & The MG's
I'll Turn To Stone	Four Tops
Brown Eyed Girl	Van Morrison
The Windows Of The World	Dionne Warwick
Cry Softly Lonely One	Roy Orbison
Fakin' It	Simon & Garfunkel
Funky Broadway Part I	Dyke And The Blazers
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Groovy Summertime	The Love Generation
Nearer To You	Betty Harris
I Can't Go On Livin' Baby Without You	Nino Tempo & April Stevens
Happy	The Blades Of Grass
Happy	The Sunshine Company
My Elusive Dreams	David Houston & Tammy Wynette
Pearl Time	Andre Williams
More And More	Andy Williams
It's Been A Long Long Time	The Elgins
Darling Be Home Soon	Bobby Darin
Let It Be Me	The Sweet Inspirations
The Look Of Love	Dusty Springfield
Slippin' & Slidin'	Willie Mitchell
Devil's Angels	Davie Allan And The Arrows
Happy And Me	Don And The Goodtimes
Lonesome Road	The Wonder Who?
I'll Never Find Another You	Sonny James
