Ode To Billie Joe	Bobbie Gentry
Reflections	Diana Ross & The Supremes
Come Back When You Grow Up	Bobby Vee And The Strangers
Baby I Love You	Aretha Franklin
The Letter	The Box Tops
All You Need Is Love	The Beatles
You're My Everything	The Temptations
Light My Fire	The Doors
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
San Franciscan Nights	Eric Burdon & The Animals
Cold Sweat - Part 1	James Brown And The Famous Flames
Words	The Monkees
Pleasant Valley Sunday	The Monkees
Brown Eyed Girl	Van Morrison
Thank The Lord For The Night Time	Neil Diamond
You Know What I Mean	The Turtles
There Is A Mountain	Donovan
Funky Broadway	Wilson Pickett
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
(I Wanna) Testify	The Parliaments
Heroes And Villains	The Beach Boys
I Was Made To Love Her	Stevie Wonder
Silence Is Golden	The Tremeloes
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
Never My Love	The Association
I Dig Rock And Roll Music	Peter, Paul & Mary
Twelve Thirty (Young Girls Are Coming To The Canyon)	The Mamas & The Papas
Things I Should Have Said	The Grass Roots
Gettin' Together	Tommy James And The Shondells
The World We Knew (Over And Over)	Frank Sinatra
Groovin'	Booker T. & The MG's
The Windows Of The World	Dionne Warwick
Gimme Little Sign	Brenton Wood
A Girl Like You	The Young Rascals
Fakin' It	Simon & Garfunkel
Carrie-Anne	The Hollies
To Love Somebody	Bee Gees
Little Ole Wine Drinker, Me	Dean Martin
Love Bug Leave My Heart Alone	Martha & The Vandellas
Blue's Theme	Davie Allan And The Arrows
Making Every Minute Count	Spanky And Our Gang
Zip Code	The Five Americans
I Make A Fool Of Myself	Frankie Valli
A Whiter Shade Of Pale	Procol Harum
Ha Ha Said The Clown	The Yardbirds
Hypnotized	Linda Jones
Get On Up	The Esquires
The Cat In The Window (The Bird In The Sky)	Petula Clark
Museum	Herman's Hermits
It's The Little Things	Sonny & Cher
Knock On Wood	Otis & Carla
Happy	The Sunshine Company
You've Got To Pay The Price	Al Kent
Jill	Gary Lewis And The Playboys
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Put Your Mind At Ease	Every Mothers' Son
Memphis Soul Stew	King Curtis
There's Always Me	Elvis Presley With The Jordanaires
In The Heat Of The Night	Ray Charles
Anything Goes	Harpers Bizarre
Expressway (To Your Heart)	Soul Survivors
Casonova (Your Playing Days Are Over)	Ruby Andrews
Run, Run, Run	The Third Rail
Ballad Of You & Me & Pooneil	Jefferson Airplane
Turn On Your Love Light	Oscar Toney, Jr.
Laura, What's He Got That I Ain't Got	Frankie Laine
Just Out Of Reach (Of My Two Empty Arms)	Percy Sledge
The Look Of Love	Dusty Springfield
I Feel Good (I Feel Bad)	The Lewis & Clarke Expedition
Turn The World Around	Eddy Arnold
Take A Look	Aretha Franklin
It Must Be Him	Vikki Carr
Your Precious Love	Marvin Gaye & Tammi Terrell
To Sir With Love	Lulu
Dandelion	The Rolling Stones
A Banda (Ah Bahn-da)	Herb Alpert & The Tijuana Brass
Let Love Come Between Us	James & Bobby Purify
Laura (Tell Me What He's Got That I Ain't Got)	Brook Benton
Soul Man	Sam & Dave
How Can I Be Sure	The Young Rascals
You've Made Me So Very Happy	Brenda Holloway
What Now My Love	Mitch Ryder
Hey Baby (They're Playing Our Song)	The Buckinghams
I'll Never Fall In Love Again	Tom Jones
Get Together	The Youngbloods
It's Got To Be Mellow	Leon Haywood
Knucklehead	Bar-Kays
I Can't Stay Away From You	The Impressions
Judy	Elvis Presley
Tell Him	Patti Drew
Sweet Soul Medley - Part 1	The Magnificent Men
Our Song	Jack Jones
Sunshine Games	The Music Explosion
Hey Joe	Cher
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Forget It	The Sandpebbles
Nearer To You	Betty Harris
Wednesday	The Royal Guardsmen
You're A Very Lovely Woman	The Merry-Go-Round
Requiem For The Masses	The Association
