The Letter	The Box Tops
Ode To Billie Joe	Bobbie Gentry
Never My Love	The Association
Come Back When You Grow Up	Bobby Vee And The Strangers
Reflections	Diana Ross & The Supremes
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Funky Broadway	Wilson Pickett
I Dig Rock And Roll Music	Peter, Paul & Mary
Brown Eyed Girl	Van Morrison
Gimme Little Sign	Brenton Wood
You Know What I Mean	The Turtles
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
How Can I Be Sure	The Young Rascals
You're My Everything	The Temptations
There Is A Mountain	Donovan
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
Gettin' Together	Tommy James And The Shondells
I Make A Fool Of Myself	Frankie Valli
Dandelion	The Rolling Stones
Groovin'	Booker T. & The MG's
To Sir With Love	Lulu
Twelve Thirty (Young Girls Are Coming To The Canyon)	The Mamas & The Papas
Hey Baby (They're Playing Our Song)	The Buckinghams
Love Bug Leave My Heart Alone	Martha & The Vandellas
The Cat In The Window (The Bird In The Sky)	Petula Clark
Get On Up	The Esquires
Expressway (To Your Heart)	Soul Survivors
San Franciscan Nights	Eric Burdon & The Animals
Knock On Wood	Otis & Carla
Your Precious Love	Marvin Gaye & Tammi Terrell
You Keep Running Away	Four Tops
In The Heat Of The Night	Ray Charles
Cold Sweat - Part 1	James Brown And The Famous Flames
Memphis Soul Stew	King Curtis
A Banda (Ah Bahn-da)	Herb Alpert & The Tijuana Brass
What Now My Love	Mitch Ryder
It Must Be Him	Vikki Carr
Making Every Minute Count	Spanky And Our Gang
Soul Man	Sam & Dave
Let Love Come Between Us	James & Bobby Purify
Ballad Of You & Me & Pooneil	Jefferson Airplane
Anything Goes	Harpers Bizarre
People Are Strange	The Doors
Lightning's Girl	Nancy Sinatra
Put Your Mind At Ease	Every Mothers' Son
Baby I Love You	Aretha Franklin
All You Need Is Love	The Beatles
You've Got To Pay The Price	Al Kent
Things I Should Have Said	The Grass Roots
We Love You	The Rolling Stones
The Look Of Love	Dusty Springfield
Casonova (Your Playing Days Are Over)	Ruby Andrews
Blue's Theme	Davie Allan And The Arrows
Run, Run, Run	The Third Rail
Child Of Clay	Jimmie Rodgers
Ode To Billie Joe	The Kingpins
Museum	Herman's Hermits
The Last Waltz	Engelbert Humperdinck
Take A Look	Aretha Franklin
I'll Never Fall In Love Again	Tom Jones
There's Always Me	Elvis Presley With The Jordanaires
Let It Out (Let It All Hang Out)	The Hombres
Why Do Fools Fall In Love	The Happenings
Sunshine Games	The Music Explosion
Turn The World Around	Eddy Arnold
It's Got To Be Mellow	Leon Haywood
Get Together	The Youngbloods
Love Is Strange	Peaches & Herb
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Rock 'N' Roll Woman	Buffalo Springfield
Please Love Me Forever	Bobby Vinton
More Than The Eye Can See	Al Martino
You've Made Me So Very Happy	Brenda Holloway
Baby I'm Lonely	The Intruders
Purple Haze	The Jimi Hendrix Experience
Fall In Love With Me	Bettye Swann
Judy	Elvis Presley
For What It's Worth	The Staple Singers
To Share Your Love	Fantastic Four
Even The Bad Times Are Good	The Tremeloes
Just One Look	The Hollies
Everlasting Love	Robert Knight
Holiday	Bee Gees
It Could Be We're In Love	The Cryan' Shames
Dancing In The Street	Ramsey Lewis
Tell Him	Patti Drew
Incense And Peppermints	Strawberry Alarm Clock
Spreadin' Honey	The Watts 103rd Street Rhythm Band
The Rain, The Park & Other Things	The Cowsills
Hush	Billy Joe Royal
Dirty Man	Laura Lee
What've I Done (To Make You Mad)	Linda Jones
Ode To Billy Joe	Ray Bryant
Stranded In The Middle Of Noplace	The Righteous Brothers
Funky Donkey	Pretty Purdie
Louisiana Man	Pozo Seco Singers
Nine Pound Steel	Joe Simon
I'm A Fool For You	James Carr
When The Snow Is On The Roses	Ed Ames
