To Sir With Love	Lulu
The Letter	The Box Tops
Never My Love	The Association
How Can I Be Sure	The Young Rascals
Expressway (To Your Heart)	Soul Survivors
It Must Be Him	Vikki Carr
Soul Man	Sam & Dave
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Gimme Little Sign	Brenton Wood
Your Precious Love	Marvin Gaye & Tammi Terrell
Get On Up	The Esquires
Hey Baby (They're Playing Our Song)	The Buckinghams
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Ode To Billie Joe	Bobbie Gentry
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Come Back When You Grow Up	Bobby Vee And The Strangers
People Are Strange	The Doors
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Incense And Peppermints	Strawberry Alarm Clock
Please Love Me Forever	Bobby Vinton
Let It Out (Let It All Hang Out)	The Hombres
You Keep Running Away	Four Tops
Let Love Come Between Us	James & Bobby Purify
Lightning's Girl	Nancy Sinatra
Dandelion	The Rolling Stones
I'm Wondering	Stevie Wonder
Brown Eyed Girl	Van Morrison
Ode To Billie Joe	The Kingpins
Love Is Strange	Peaches & Herb
The Look Of Love	Dusty Springfield
The Last Waltz	Engelbert Humperdinck
Child Of Clay	Jimmie Rodgers
Holiday	Bee Gees
I Dig Rock And Roll Music	Peter, Paul & Mary
The Rain, The Park & Other Things	The Cowsills
What Now My Love	Mitch Ryder
Even The Bad Times Are Good	The Tremeloes
Funky Broadway	Wilson Pickett
Reflections	Diana Ross & The Supremes
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Why Do Fools Fall In Love	The Happenings
Memphis Soul Stew	King Curtis
Groovin'	Booker T. & The MG's
Rock 'N' Roll Woman	Buffalo Springfield
Everlasting Love	Robert Knight
Pata Pata	Miriam Makeba
Kentucky Woman	Neil Diamond
I Can See For Miles	The Who
I'll Never Fall In Love Again	Tom Jones
Lazy Day	Spanky And Our Gang
Just One Look	The Hollies
King Midas In Reverse	The Hollies
You've Made Me So Very Happy	Brenda Holloway
More Than The Eye Can See	Al Martino
Big Boss Man	Elvis Presley
Hush	Billy Joe Royal
You Don't Know Me	Elvis Presley With The Jordanaires
Karate-Boo-Ga-Loo	Jerryo
We Love You	The Rolling Stones
Take A Look	Aretha Franklin
Shout Bamalama	Mickey Murray
Casonova (Your Playing Days Are Over)	Ruby Andrews
It's Got To Be Mellow	Leon Haywood
If This Is Love (I'd Rather Be Lonely)	The Precisions
Purple Haze	The Jimi Hendrix Experience
What've I Done (To Make You Mad)	Linda Jones
Fall In Love With Me	Bettye Swann
To Share Your Love	Fantastic Four
Get Together	The Youngbloods
Dirty Man	Laura Lee
Boogaloo Down Broadway	The Fantastic Johnny C
Stranded In The Middle Of Noplace	The Righteous Brothers
Spreadin' Honey	The Watts 103rd Street Rhythm Band
I Heard It Through The Grapevine	Gladys Knight And The Pips
I Say A Little Prayer	Dionne Warwick
Lady Bird	Nancy Sinatra & Lee Hazlewood
Beg, Borrow And Steal	Ohio Express
You Mean The World To Me	David Houston
Mr. Dream Merchant	Jerry Butler
Like An Old Time Movie	Scott McKenzie
Are You Never Coming Home	Sandy Posey
Nine Pound Steel	Joe Simon
You, No One But You	Frankie Laine
Can't Stop Loving You	The Last Word
Get Down	Harvey Scales
Brink Of Disaster	Lesley Gore
Go-Go Girl	Lee Dorsey
Go With Me	Gene And Debbe
Lovey Dovey/You're So Fine	Bunny Sigler
Keep The Ball Rollin'	Jay And The Techniques
Next Plane To London	The Rose Garden
Believe In Me Baby - Part I	Jesse James
To Sir, With Love	Herbie Mann
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Different Strokes	Syl Johnson
Give Everybody Some	The Bar-Kays
Shame On Me	Chuck Jackson
Walkin' Proud	The Pete Klint Quintet
Sweet, Sweet Lovin'	The Platters
Back On The Street Again	The Sunshine Company
