Daydream Believer	The Monkees
The Rain, The Park & Other Things	The Cowsills
Incense And Peppermints	Strawberry Alarm Clock
I Say A Little Prayer	Dionne Warwick
I Heard It Through The Grapevine	Gladys Knight And The Pips
To Sir With Love	Lulu
I Second That Emotion	Smokey Robinson & The Miracles
Hello Goodbye	The Beatles
In And Out Of Love	Diana Ross & The Supremes
An Open Letter To My Teenage Son	Victor Lundberg
(The Lights Went Out In) Massachusetts	Bee Gees
You Better Sit Down Kids	Cher
Boogaloo Down Broadway	The Fantastic Johnny C
I Can See For Miles	The Who
Keep The Ball Rollin'	Jay And The Techniques
Please Love Me Forever	Bobby Vinton
Soul Man	Sam & Dave
Lazy Day	Spanky And Our Gang
Pata Pata	Miriam Makeba
Skinny Legs And All	Joe Tex
She's My Girl	The Turtles
Woman, Woman	The Union Gap Featuring Gary Puckett
Everlasting Love	Robert Knight
Neon Rainbow	The Box Tops
Yesterday	Ray Charles
Summer Rain	Johnny Rivers
By The Time I Get To Phoenix	Glen Campbell
Expressway (To Your Heart)	Soul Survivors
Beg, Borrow And Steal	Ohio Express
Honey Chile	Martha Reeves & The Vandellas
Wild Honey	The Beach Boys
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
Different Drum	Stone Poneys Featuring Linda Ronstadt
Paper Cup	The 5th Dimension
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Wear Your Love Like Heaven	Donovan
Next Plane To London	The Rose Garden
Stag-O-Lee	Wilson Pickett
Let It Out (Let It All Hang Out)	The Hombres
It Must Be Him	Vikki Carr
Bend Me, Shape Me	The American Breed
Peace Of Mind	Paul Revere & The Raiders Featuring Mark Lindsay
Beautiful People	Bobby Vee And The Strangers
Beautiful People	Kenny O'Dell
And Get Away	The Esquires
Since You Showed Me How To Be Happy	Jackie Wilson
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
Chattanooga Choo Choo	Harpers Bizarre
Soul Man	Ramsey Lewis
What's It Gonna Be	Dusty Springfield
Baby You Got It	Brenton Wood
Too Much Of Nothing	Peter, Paul & Mary
Come See About Me	Jr. Walker & The All Stars
Okolona River Bottom Band	Bobbie Gentry
Judy In Disguise (With Glasses)	John Fred And The Playboys
Windy	Wes Montgomery
Tell Mama	Etta James
When You're Gone	Brenda & The Tabulations
In The Misty Moonlight	Dean Martin
Cover Me	Percy Sledge
O-O, I Love You	The Dells
The Other Man's Grass Is Always Greener	Petula Clark
Glad To Be Unhappy	The Mamas & The Papas
I Am The Walrus	The Beatles
Ooh Baby	Deon Jackson
Chain Of Fools	Aretha Franklin
Love Power	The Sandpebbles
It's Wonderful	The Young Rascals
Itchycoo Park	Small Faces
Piece Of My Heart	Erma Franklin
Dear Eloise	The Hollies
Storybook Children	Billy Vera & Judy Clay
Hooray For The Salvation Army Band	Bill Cosby
Susan	The Buckinghams
Love Me Two Times	The Doors
Shame On Me	Chuck Jackson
Sockin' 1-2-3-4	John Roberts
Can't Help But Love You	The Standells
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
I'm In Love	Wilson Pickett
Georgia Pines	The Candymen
A Love That's Real	The Intruders
Tony Rome	Nancy Sinatra
Wanted: Lover, No Experience Necessary	Laura Lee
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
Up-Up And Away	Hugh Masekela
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
For What It's Worth	King Curtis & The Kingpins
Back Up Train	Al Greene & The Soul Mate's
Where Is The Party	Helena Ferguson
Here Comes Heaven	Eddy Arnold
Something's Missing	5 Stairsteps and Cubie
A Letter To Dad	Every Father's Teenage Son
Felicidad	Sally Field
Cross My Heart	Billy Stewart
Dancing Bear	The Mamas & The Papas
Shout	Lulu And The Luvers
Nobody But Me	The Human Beinz
Live For Life	Jack Jones
A Voice In The Choir	Al Martino
