Hello Goodbye	The Beatles
Daydream Believer	The Monkees
Judy In Disguise (With Glasses)	John Fred And The Playboys
I Heard It Through The Grapevine	Gladys Knight And The Pips
Woman, Woman	The Union Gap Featuring Gary Puckett
I Second That Emotion	Smokey Robinson & The Miracles
Chain Of Fools	Aretha Franklin
Bend Me, Shape Me	The American Breed
Boogaloo Down Broadway	The Fantastic Johnny C
Skinny Legs And All	Joe Tex
Honey Chile	Martha Reeves & The Vandellas
Green Tambourine	The Lemon Pipers
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
Summer Rain	Johnny Rivers
Incense And Peppermints	Strawberry Alarm Clock
You Better Sit Down Kids	Cher
Next Plane To London	The Rose Garden
Different Drum	Stone Poneys Featuring Linda Ronstadt
The Rain, The Park & Other Things	The Cowsills
I Say A Little Prayer	Dionne Warwick
Susan	The Buckinghams
And Get Away	The Esquires
Wear Your Love Like Heaven	Donovan
Monterey	Eric Burdon & The Animals
It's Wonderful	The Young Rascals
She's My Girl	The Turtles
Who Will Answer?	Ed Ames
Tell Mama	Etta James
Come See About Me	Jr. Walker & The All Stars
Love Me Two Times	The Doors
The Other Man's Grass Is Always Greener	Petula Clark
Love Power	The Sandpebbles
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
Keep The Ball Rollin'	Jay And The Techniques
Nobody But Me	The Human Beinz
By The Time I Get To Phoenix	Glen Campbell
Best Of Both Worlds	Lulu
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
Am I That Easy To Forget	Engelbert Humperdinck
My Baby Must Be A Magician	The Marvelettes
Two Little Kids	Peaches & Herb
Cover Me	Percy Sledge
Itchycoo Park	Small Faces
Windy	Wes Montgomery
I'm In Love	Wilson Pickett
In The Misty Moonlight	Dean Martin
Spooky	Classics IV
She's A Rainbow	The Rolling Stones
Everybody Knows	The Dave Clark Five
Dear Eloise	The Hollies
Dancing Bear	The Mamas & The Papas
Baby, Now That I've Found You	The Foundations
Darlin'	The Beach Boys
Explosion (In Your Soul)	Soul Survivors
Neon Rainbow	The Box Tops
Storybook Children	Billy Vera & Judy Clay
Skip A Rope	Henson Cargill
Good Combination	Sonny & Cher
The Lesson	Vikki Carr
I Wonder What She's Doing Tonite	Tommy Boyce & Bobby Hart
Too Much Of Nothing	Peter, Paul & Mary
To Give (The Reason I Live)	Frankie Valli
Tomorrow	Strawberry Alarm Clock
I'm Coming Home	Tom Jones
O-O, I Love You	The Dells
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
Just As Much As Ever	Bobby Vinton
Baby You Got It	Brenton Wood
What's It Gonna Be	Dusty Springfield
Watch Her Ride	Jefferson Airplane
Hooray For The Salvation Army Band	Bill Cosby
Some Velvet Morning	Nancy Sinatra & Lee Hazlewood
Back Up Train	Al Greene & The Soul Mate's
Up-Up And Away	Hugh Masekela
Foxey Lady	Jimi Hendrix
Pick Up The Pieces	Carla Thomas
I Was Made To Love Her	King Curtis & The Kingpins
Lost	Jerry Butler
Bottle Of Wine	The Fireballs
A Voice In The Choir	Al Martino
A Working Man's Prayer	Arthur Prysock
No Sad Songs	Joe Simon
Zabadak	Dave Dee, Dozy, Beaky, Mick And Tich
We're A Winner	The Impressions
Money	The Lovin' Spoonful
Sunday Mornin'	Spanky And Our Gang
In Another Land	Bill Wyman
Something's Missing	5 Stairsteps and Cubie
Cross My Heart	Billy Stewart
Mission-Impossible	Lalo Schifrin
United (Part 1)	The Music Makers
Mellow Moonlight	Leon Haywood
A Little Rain Must Fall	The Epic Splendor
Oh, How It Hurts	Barbara Mason
Up Tight, Good Man	Laura Lee
I Call It Love	The Manhattans
A Man Needs A Woman	James Carr
New Orleans	Neil Diamond
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Born Free	The Hesitations
