Honey	Bobby Goldsboro
Young Girl	The Union Gap Featuring Gary Puckett
Cry Like A Baby	The Box Tops
Lady Madonna	The Beatles
(Sweet Sweet Baby) Since You've Been Gone	Aretha Franklin
(Sittin' On) The Dock Of The Bay	Otis Redding
The Ballad Of Bonnie And Clyde	Georgie Fame
Dance To The Music	Sly & The Family Stone
I Got The Feelin'	James Brown And The Famous Flames
Mighty Quinn (Quinn The Eskimo)	Manfred Mann
Scarborough Fair (/Canticle)	Simon & Garfunkel
La - La - Means I Love You	The Delfonics
Valleri	The Monkees
If You Can Want	Smokey Robinson & The Miracles
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Summertime Blues	Blue Cheer
Playboy	Gene And Debbe
Cowboys To Girls	The Intruders
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
The Unicorn	The Irish Rovers
Ain't No Way	Aretha Franklin
Love Is All Around	The Troggs
Sweet Inspiration	The Sweet Inspirations
Kiss Me Goodbye	Petula Clark
Tighten Up	Archie Bell & The Drells
Jennifer Juniper	Donovan
Cab Driver	The Mills Brothers
Take Time To Know Her	Percy Sledge
Forever Came Today	Diana Ross & The Supremes
Funky Street	Arthur Conley
A Beautiful Morning	The Rascals
U.S. Male	Elvis Presley With The Jordanaires
Take Good Care Of My Baby	Bobby Vinton
Delilah	Tom Jones
Security	Etta James
Simon Says	1910 Fruitgum Co.
Ame Caline (Soul Coaxing)	Raymond Lefevre and His Orchestra
Soul Serenade	Willie Mitchell
Little Green Apples	Roger Miller
The Son Of Hickory Holler's Tramp	O.C. Smith
I Thank You	Sam & Dave
The Impossible Dream	The Hesitations
Jennifer Eccles	The Hollies
I Will Always Think About You	The New Colony Six
She's Lookin' Good	Wilson Pickett
Rice Is Nice	The Lemon Pipers
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
The Unknown Soldier	The Doors
Call Me Lightning	The Who
Mony Mony	Tommy James And The Shondells
Look To Your Soul	Johnny Rivers
L. David Sloane	Michele Lee
Me, The Peaceful Heart	Lulu
In Need Of A Friend	The Cowsills
Foggy Mountain Breakdown	Flatt & Scruggs
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
Jumbo	Bee Gees
Goodbye Baby (I Don't Want To See You Cry)	Tommy Boyce & Bobby Hart
Sherry Don't Go	The Lettermen
You've Still Got A Place In My Heart	Dean Martin
Do You Know The Way To San José	Dionne Warwick
Red Red Wine	Neil Diamond
I Wanna Live	Glen Campbell
Suddenly You Love Me	The Tremeloes
I Can't Believe I'm Losing You	Frank Sinatra
Gentle On My Mind	Patti Page
Loving You Has Made Me Bananas	Guy Marks
Cinderella Rockefella	Esther & Abi Ofarim
100 Years	Nancy Sinatra
Wear It On Our Face	The Dells
Like To Get To Know You	Spanky And Our Gang
Impossible Mission (Mission Impossible)	Soul Survivors
Paying The Cost To Be The Boss	B.B. King
Funky Walk Part I (East)	Dyke And The Blazers
I Got A Sure Thing	Ollie & The Nightingales
Master Jack	Four Jacks And A Jill
If You Don't Want My Love	Robert John
We're Rolling On (Part I)	The Impressions
Love Is Blue (L'Amour Est Bleu)	Claudine Longet
Goin' Away	The Fireballs
Anything	Eric Burdon & The Animals
My Girl/Hey Girl	Bobby Vee
Cabaret	Herb Alpert & The Tijuana Brass
I Promise To Wait My Love	Martha Reeves & The Vandellas
(You Keep Me) Hangin' On	Joe Simon
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
I Love You	People
Up On The Roof	The Cryan' Shames
Show Time	Detroit Emeralds
You'll Never Walk Alone	Elvis Presley With The Jordanaires
Your Heart Is Free Just Like The Wind	Vikki Carr
Baby Make Your Own Sweet Music	Jay And The Techniques
Love In Them There Hills	The Vibrations
The Shadow Of Your Love	5 Stairsteps and Cubie
Never Get Enough Of Your Love	Oscar Toney, Jr.
Friends	The Beach Boys
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
Greasy Heart	Jefferson Airplane
Unwind	Ray Stevens
Louisiana Man	Bobbie Gentry
