In The Year 2525	Zager & Evans
Crystal Blue Persuasion	Tommy James And The Shondells
Spinning Wheel	Blood, Sweat & Tears
My Cherie Amour	Stevie Wonder
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Honky Tonk Women	The Rolling Stones
Baby, I Love You	Andy Kim
The Ballad Of John And Yoko	The Beatles
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Color Him Father	The Winstons
Quentin's Theme	The Charles Randolph Grean Sounde
My Pledge Of Love	The Joe Jeffrey Group
Good Morning Starshine	Oliver
Love Theme From Romeo & Juliet	Henry Mancini And His Orchestra
One	Three Dog Night
Polk Salad Annie	Tony Joe White
Yesterday, When I Was Young	Roy Clark
A Boy Named Sue	Johnny Cash
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
Bad Moon Rising	Creedence Clearwater Revival
Love Me Tonight	Tom Jones
Choice Of Colors	The Impressions
Put A Little Love In Your Heart	Jackie DeShannon
Laughing	The Guess Who
Along Came Jones	Ray Stevens
Reconsider Me	Johnny Adams
Get Together	The Youngbloods
I Turned You On	The Isley Brothers
Too Busy Thinking About My Baby	Marvin Gaye
Doggone Right	Smokey Robinson & The Miracles
Moody Woman	Jerry Butler
Black Pearl	Sonny Charles And The Checkmates, Ltd.
Lay Lady Lay	Bob Dylan
It's Getting Better	Mama Cass
Clean Up Your Own Back Yard	Elvis Presley
Marrakesh Express	Crosby, Stills & Nash
Moonflight	Vik Venus Alias: Your Main Moon Man
Let Me	Paul Revere & The Raiders Featuring Mark Lindsay
I'd Wait A Million Years	The Grass Roots
Workin' On A Groovy Thing	The 5th Dimension
Give Peace A Chance	Plastic Ono Band
True Grit	Glen Campbell
On Campus	Dickie Goodman
Abraham, Martin And John	Smokey Robinson & The Miracles
Abraham, Martin And John	Moms Mabley
Hurt So Bad	The Lettermen
The Days Of Sand And Shovels	Bobby Vinton
Soul Deep	The Box Tops
Muddy River	Johnny Rivers
I'll Never Fall In Love Again	Tom Jones
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool)	Candi Staton
Don't Wake Me Up In The Morning, Michael	Peppermint Rainbow
Share Your Love With Me	Aretha Franklin
Birthday	Underground Sunshine
Tell All The People	The Doors
Did You See Her Eyes	The Illusion
Your Husband - My Wife	Brooklyn Bridge
I'm Free	The Who
Your Good Thing (Is About To End)	Lou Rawls
Hey Joe	Wilson Pickett
Break Away	The Beach Boys
Girl You're Too Young	Archie Bell & The Drells
The Nitty Gritty	Gladys Knight And The Pips
I've Lost Everything I've Ever Loved	David Ruffin
Sugar, Sugar	The Archies
While You're Out Looking For Sugar?	The Honey Cone
Everybody Knows Matilda	Duke Baxter
Green River	Creedence Clearwater Revival
Commotion	Creedence Clearwater Revival
Abergavenny	Shannon
Where Do I Go/Be-In/Hare Krishna	The Happenings
Till You Get Enough	The Watts 103rd Street Rhythm Band
Don't Tell Your Mama (Where You've Been)	Eddie Floyd
Ease Back	The Meters
Nobody But You Babe	Clarence Reid
Jack And Jill	Tommy Roe
Odds And Ends	Dionne Warwick
Nothing Can Take The Place Of You	Brook Benton
Simple Song Of Freedom	Tim Hardin
Change Of Heart	Dennis Yost And The Classics IV
First Hymn From Grand Terrace	Mark Lindsay
That's The Way God Planned It	Billy Preston
Let Yourself Go	The Friends Of Distinction
Goo Goo Barabajagal (Love Is Hot)	Donovan/Jeff Beck Group
Dynamite Woman	Sir Douglas Quintet
The Young Folks	Diana Ross & The Supremes
In My Room	Sagittarius
By The Time I Get To Phoenix	The Mad Lads
Keem-O-Sabe	The Electric Indian
Let's Call It A Day Girl	Bobby Vee
The Hunter	Ike & Tina Turner
That's The Way	Joe Tex
Hook And Sling-Part I	Eddie Bo
You Made A Believer (Out Of Me)	Ruby Andrews
Let Me Be The Man My Daddy Was	The Chi-lites
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Big Bruce	Steve Greenberg
In A Moment	The Intrigues
