Honky Tonk Women	The Rolling Stones
A Boy Named Sue	Johnny Cash
Crystal Blue Persuasion	Tommy James And The Shondells
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
In The Year 2525	Zager & Evans
Put A Little Love In Your Heart	Jackie DeShannon
Green River	Creedence Clearwater Revival
Polk Salad Annie	Tony Joe White
Get Together	The Youngbloods
Laughing	The Guess Who
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
Lay Lady Lay	Bob Dylan
Baby, I Love You	Andy Kim
Sugar, Sugar	The Archies
Give Peace A Chance	Plastic Ono Band
My Cherie Amour	Stevie Wonder
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
Easy To Be Hard	Three Dog Night
I'll Never Fall In Love Again	Tom Jones
Workin' On A Groovy Thing	The 5th Dimension
Choice Of Colors	The Impressions
Quentin's Theme	The Charles Randolph Grean Sounde
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Soul Deep	The Box Tops
Spinning Wheel	Blood, Sweat & Tears
I'd Wait A Million Years	The Grass Roots
Birthday	Underground Sunshine
Marrakesh Express	Crosby, Stills & Nash
Hurt So Bad	The Lettermen
The Nitty Gritty	Gladys Knight And The Pips
Share Your Love With Me	Aretha Franklin
Commotion	Creedence Clearwater Revival
My Pledge Of Love	The Joe Jeffrey Group
It's Getting Better	Mama Cass
True Grit	Glen Campbell
Did You See Her Eyes	The Illusion
I'm Free	The Who
Clean Up Your Own Back Yard	Elvis Presley
Keem-O-Sabe	The Electric Indian
Oh, What A Night	The Dells
Muddy River	Johnny Rivers
Hot Fun In The Summertime	Sly & The Family Stone
Your Good Thing (Is About To End)	Lou Rawls
Jean	Oliver
Goo Goo Barabajagal (Love Is Hot)	Donovan/Jeff Beck Group
Nobody But You Babe	Clarence Reid
Abergavenny	Shannon
I Can't Get Next To You	The Temptations
Everybody's Talkin'	Nilsson
Your Husband - My Wife	Brooklyn Bridge
Change Of Heart	Dennis Yost And The Classics IV
Everybody Knows Matilda	Duke Baxter
Odds And Ends	Dionne Warwick
Jack And Jill	Tommy Roe
When I Die	Motherlode
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Simple Song Of Freedom	Tim Hardin
Move Over	Steppenwolf
I Could Never Be President	Johnnie Taylor
I'm A Better Man	Engelbert Humperdinck
Ease Back	The Meters
That's The Way God Planned It	Billy Preston
In A Moment	The Intrigues
Let Yourself Go	The Friends Of Distinction
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
I'm Gonna Make You Mine	Lou Christie
This Girl Is A Woman Now	Gary Puckett And The Union Gap
I Do	The Moments
The Young Folks	Diana Ross & The Supremes
Muddy Mississippi Line	Bobby Goldsboro
Questions 67 And 68	Chicago
One Night Affair	The O'Jays
Little Woman	Bobby Sherman
Lowdown Popcorn	James Brown
That's The Way Love Is	Marvin Gaye
I Take A Lot Of Pride In What I Am	Dean Martin
Rain	Jose Feliciano
Chelsea Morning	Judy Collins
Maybe The Rain Will Fall	The Cascades
Let Me Be The One	Peaches & Herb
You, I	The Rugbys
The Train	1910 Fruitgum Co.
Lodi	Al Wilson
Don't It Make You Want To Go Home	Joe South and The Believers
The Colour Of My Love	Jefferson
Hook And Sling-Part I	Eddie Bo
Farewell Love Scene	Romeo & Juliet Soundtrack
Here I Go Again	Smokey Robinson & The Miracles
Look At Mine	Petula Clark
Going In Circles	The Friends Of Distinction
Who Do You Love	Quicksilver Messenger Service
Oh How Happy	Blinky & Edwin Starr
Can't Find The Time	Orpheus
Walk On By	Isaac Hayes
Goodbye Columbus	The Association
Any Way That You Want Me	Evie Sands
You Got Yours And I'll Get Mine	The Delfonics
Green Fields	The Vogues
All I Have To Offer You (Is Me)	Charley Pride
Memphis Train	Buddy Miles Express
