Sugar, Sugar	The Archies
Honky Tonk Women	The Rolling Stones
Green River	Creedence Clearwater Revival
A Boy Named Sue	Johnny Cash
Easy To Be Hard	Three Dog Night
I'll Never Fall In Love Again	Tom Jones
Get Together	The Youngbloods
Jean	Oliver
Little Woman	Bobby Sherman
I Can't Get Next To You	The Temptations
Oh, What A Night	The Dells
Hurt So Bad	The Lettermen
Share Your Love With Me	Aretha Franklin
This Girl Is A Woman Now	Gary Puckett And The Union Gap
I'd Wait A Million Years	The Grass Roots
Lay Lady Lay	Bob Dylan
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Everybody's Talkin'	Nilsson
Put A Little Love In Your Heart	Jackie DeShannon
Your Good Thing (Is About To End)	Lou Rawls
Hot Fun In The Summertime	Sly & The Family Stone
Keem-O-Sabe	The Electric Indian
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
When I Die	Motherlode
Soul Deep	The Box Tops
Laughing	The Guess Who
I'm Gonna Make You Mine	Lou Christie
That's The Way Love Is	Marvin Gaye
Workin' On A Groovy Thing	The 5th Dimension
The Nitty Gritty	Gladys Knight And The Pips
Move Over	Steppenwolf
Carry Me Back	The Rascals
Did You See Her Eyes	The Illusion
Daddy's Little Man	O.C. Smith
What's The Use Of Breaking Up	Jerry Butler
Suspicious Minds	Elvis Presley
Sugar On Sunday	The Clique
Birthday	Underground Sunshine
Commotion	Creedence Clearwater Revival
Nobody But You Babe	Clarence Reid
Lowdown Popcorn	James Brown
It's Getting Better	Mama Cass
By The Time I Get To Phoenix	Isaac Hayes
Polk Salad Annie	Tony Joe White
I'm A Better Man	Engelbert Humperdinck
You, I	The Rugbys
In A Moment	The Intrigues
Going In Circles	The Friends Of Distinction
Give Peace A Chance	Plastic Ono Band
Here I Go Again	Smokey Robinson & The Miracles
You Got Yours And I'll Get Mine	The Delfonics
No One For Me To Turn To	Spiral Starecase
Muddy Mississippi Line	Bobby Goldsboro
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
I Could Never Be President	Johnnie Taylor
Don't It Make You Want To Go Home	Joe South and The Believers
We Gotta All Get Together	Paul Revere & The Raiders Featuring Mark Lindsay
World (Part 1)	James Brown
Sad Girl	The Intruders
And That Reminds Me (My Heart Reminds Me)	The 4 Seasons
Love Of The Common People	The Winstons
Baby It's You	Smith
Máh-Ná-Mah-Ná	Piero Umiliani
The Train	1910 Fruitgum Co.
The Weight	Supremes & Temptations
I Do	The Moments
Lodi	Al Wilson
Tracy	The Cuff Links
Maybe The Rain Will Fall	The Cascades
Make Believe	Wind
Jack And Jill	Tommy Roe
Jealous Kind Of Fella	Garland Green
I Want You To Know	The New Colony Six
Armstrong	John Stewart
Something In The Air	Thunderclap Newman
Runnin' Blue	The Doors
Rain	Jose Feliciano
Hook And Sling-Part I	Eddie Bo
Black Berries - Pt 1	The Isley Brothers
Any Way That You Want Me	Evie Sands
Son Of A Lovin' Man	Buchanan Brothers
Get Off My Back Woman	B.B. King
Walk On By	Isaac Hayes
Can't Find The Time	Orpheus
Love's Been Good To Me	Frank Sinatra
Chains Of Love	Bobby Bland
Life And Death In G & A	Abaco Dream
Moonlight Sonata	Henry Mancini And His Orchestra
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
You've Lost That Lovin' Feeling	Dionne Warwick
All I Have To Offer You (Is Me)	Charley Pride
Don't Forget To Remember	Bee Gees
My Balloon's Going Up	Archie Bell & The Drells
Jesus Is A Soul Man	Lawrence Reynolds
Goodbye Columbus	The Association
Kool And The Gang	Kool & The Gang
Since I Met You, Baby	Sonny James
Drummer Man	Nancy Sinatra
Love Theme From "Romeo And Juliet" (A Time For Us)	Johnny Mathis
Good Clean Fun	The Monkees
