Wedding Bell Blues	The 5th Dimension
Suspicious Minds	Elvis Presley
Come Together/Something	The Beatles
I Can't Get Next To You	The Temptations
Baby It's You	Smith
Sugar, Sugar	The Archies
Hot Fun In The Summertime	Sly & The Family Stone
And When I Die	Blood, Sweat & Tears
Something	The Beatles
Smile A Little Smile For Me	The Flying Machine
Is That All There Is	Peggy Lee
Tracy	The Cuff Links
Little Woman	Bobby Sherman
Jean	Oliver
Going In Circles	The Friends Of Distinction
You've Lost That Lovin' Feeling	Dionne Warwick
Baby, I'm For Real	The Originals
Take A Letter Maria	R.B. Greaves
Ball Of Fire	Tommy James And The Shondells
Backfield In Motion	Mel And Tim
Let A Man Come In And Do The Popcorn (Part One)	James Brown
Na Na Hey Hey Kiss Him Goodbye	Steam
Eli's Coming	Three Dog Night
I'm Gonna Make You Mine	Lou Christie
Cherry Hill Park	Billy Joe Royal
Try A Little Kindness	Glen Campbell
That's The Way Love Is	Marvin Gaye
Suite: Judy Blue Eyes	Crosby, Stills & Nash
Yester-Me, Yester-You, Yesterday	Stevie Wonder
Reuben James	Kenny Rogers & The First Edition
Walk On By	Isaac Hayes
I'll Never Fall In Love Again	Tom Jones
Fortunate Son	Creedence Clearwater Revival
Jealous Kind Of Fella	Garland Green
Jesus Is A Soul Man	Lawrence Reynolds
So Good Together	Andy Kim
Undun	The Guess Who
Down On The Corner/Fortunate Son	Creedence Clearwater Revival
Leaving On A Jet Plane	Peter, Paul & Mary
Echo Park	Keith Barbour
Mind, Body and Soul	The Flaming Ember
Sugar On Sunday	The Clique
Make Your Own Kind Of Music	Mama Cass Elliot
Holly Holy	Neil Diamond
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
Doin' Our Thing	Clarence Carter
Don't It Make You Want To Go Home	Joe South and The Believers
Time Machine	Grand Funk Railroad
These Eyes	Jr. Walker & The All Stars
Someday We'll Be Together	Diana Ross & The Supremes
Something In The Air	Thunderclap Newman
The Sweeter He Is - Part I	The Soul Children
Any Way That You Want Me	Evie Sands
We Love You, Call Collect	Art Linkletter
Roosevelt And Ira Lee (Night of the Mossacin)	Tony Joe White
Friendship Train	Gladys Knight And The Pips
Heaven Knows	The Grass Roots
Up On Cripple Creek	The Band
Kool And The Gang	Kool & The Gang
Turn On A Dream	The Box Tops
Groovy Grubworm	Harlow Wilcox and the Oakies
You'll Never Walk Alone	The Brooklyn Bridge
I'll Bet You	Funkadelic
Shangri-La	The Lettermen
I Guess The Lord Must Be In New York City	Nilsson
I Can't Make It Alone	Lou Rawls
Evil Woman Don't Play Your Games With Me	CROW
The Colour Of My Love	Jefferson
Delta Lady	Joe Cocker
Love Will Find A Way	Jackie DeShannon
On The Dock Of The Bay	The Dells
I Still Believe In Tomorrow	John & Anne Ryder
We'll Cry Together	Maxine Brown
Silver Threads And Golden Needles	The Cowsills
Say You Love Me	The Impressions
Julia	Ramsey Lewis
Proud Mary	The Checkmates, Ltd. Featuring Sonny Charles
Crumbs Off The Table	The Glass House
Tonight I'll Be Staying Here With You	Bob Dylan
Raindrops Keep Fallin' On My Head	B.J. Thomas
Sunday Mornin' Comin' Down	Ray Stevens
Ballad Of Easy Rider	The Byrds
A Brand New Me	Dusty Springfield
She's Got Love	Thomas & Richard Frost
Girls It Ain't Easy	The Honey Cone
Just A Little Love	B.B. King
Midnight Cowboy	Ferrante & Teicher
We Must Be In Love	Five Stairsteps & Cubie
One Woman	Johnny Rivers
Okie From Muskogee	Merle Haggard And The Strangers
Jingo	Santana
You Got To Pay The Price	Gloria Taylor
The Ten Commandments Of Love	Little Anthony And The Imperials
Kozmic Blues	Janis Joplin
(I'm So) Afraid Of Losing You Again	Charley Pride
Eleanor Rigby	Aretha Franklin
That's How Heartaches Are Made	The Marvelettes
Why Is The Wine Sweeter (On The Other Side)	Eddie Floyd
Volunteers	Jefferson Airplane
See Ruby Fall	Johnny Cash
