Come Together/Something	The Beatles
And When I Die	Blood, Sweat & Tears
Wedding Bell Blues	The 5th Dimension
Take A Letter Maria	R.B. Greaves
Na Na Hey Hey Kiss Him Goodbye	Steam
Smile A Little Smile For Me	The Flying Machine
Leaving On A Jet Plane	Peter, Paul & Mary
Yester-Me, Yester-You, Yesterday	Stevie Wonder
Down On The Corner/Fortunate Son	Creedence Clearwater Revival
Eli's Coming	Three Dog Night
Someday We'll Be Together	Diana Ross & The Supremes
Baby It's You	Smith
Backfield In Motion	Mel And Tim
Baby, I'm For Real	The Originals
Cherry Hill Park	Billy Joe Royal
Suspicious Minds	Elvis Presley
I Can't Get Next To You	The Temptations
Holly Holy	Neil Diamond
Sugar, Sugar	The Archies
Going In Circles	The Friends Of Distinction
Suite: Judy Blue Eyes	Crosby, Stills & Nash
Undun	The Guess Who
Try A Little Kindness	Glen Campbell
Eleanor Rigby	Aretha Franklin
Raindrops Keep Fallin' On My Head	B.J. Thomas
Mind, Body and Soul	The Flaming Ember
Tracy	The Cuff Links
Is That All There Is	Peggy Lee
Friendship Train	Gladys Knight And The Pips
These Eyes	Jr. Walker & The All Stars
Up On Cripple Creek	The Band
Heaven Knows	The Grass Roots
Reuben James	Kenny Rogers & The First Edition
I Guess The Lord Must Be In New York City	Nilsson
Groovy Grubworm	Harlow Wilcox and the Oakies
Make Your Own Kind Of Music	Mama Cass Elliot
Midnight Cowboy	Ferrante & Teicher
Evil Woman Don't Play Your Games With Me	CROW
Let A Man Come In And Do The Popcorn (Part One)	James Brown
A Brand New Me	Dusty Springfield
Love Will Find A Way	Jackie DeShannon
On The Dock Of The Bay	The Dells
Jam Up Jelly Tight	Tommy Roe
Roosevelt And Ira Lee (Night of the Mossacin)	Tony Joe White
Whole Lotta Love	Led Zeppelin
Kozmic Blues	Janis Joplin
Cold Turkey	Plastic Ono Band
We Love You, Call Collect	Art Linkletter
Ain't It Funky Now (Part 1)	James Brown
Tonight I'll Be Staying Here With You	Bob Dylan
I Want You Back	Jackson 5
Time Machine	Grand Funk Railroad
You Got To Pay The Price	Gloria Taylor
La La La (If I Had You)	Bobby Sherman
Any Way That You Want Me	Evie Sands
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
Sunday Mornin'	Oliver
Say You Love Me	The Impressions
Crumbs Off The Table	The Glass House
Jingo	Santana
Okie From Muskogee	Merle Haggard And The Strangers
Early In The Morning	Vanity Fare
Kool And The Gang	Kool & The Gang
Turn On A Dream	The Box Tops
Cupid	Johnny Nash
Ballad Of Easy Rider	The Byrds
Midnight	Dennis Yost And The Classics IV
Girls It Ain't Easy	The Honey Cone
Blistered/See Ruby Fall	Johnny Cash
Get It From The Bottom	The Steelers
Get Rhythm	Johnny Cash
I'll Hold Out My Hand	The Clique
Don't Cry Daddy/Rubberneckin'	Elvis Presley
Can't Take My Eyes Off You	Nancy Wilson
Fancy	Bobbie Gentry
Don't Let Love Hang You Up	Jerry Butler
What You Gave Me	Marvin Gaye & Tammi Terrell
I Can't Make It Alone	Lou Rawls
She Belongs To Me	Rick Nelson
Walkin' In The Rain	Jay & The Americans
I'm Tired	Savoy Brown
The Ten Commandments Of Love	Little Anthony And The Imperials
(I'm So) Afraid Of Losing You Again	Charley Pride
Turn! Turn! Turn!/To Everything There Is A Season	Judy Collins
Volunteers	Jefferson Airplane
Swingin' Tight	Bill Deal & The Rhondels
Je T'Aime...Moi Non Plus	Jane Birkin Serge Gainsbourg
One Tin Soldier	The Original Caste
Happy	Paul Anka
Jingle Jangle	The Archies
Tonight I'll Say A Prayer	Eydie Gorme
I Love You	Otis Leavill
No One Better Than You	Petula Clark
You Keep Me Hanging On	Wilson Pickett
It's A Funky Thing-Right On (Part 1)	Herbie Mann
(One Of These Days) Sunday's Gonna' Come On Tuesday	The New Establishment
Feeling Alright	Mongo Santamaria
Curly	Jimmy Clanton
Wichita Lineman	Sergio Mendes & Brasil '66
Goin' Out Of My Head/Forget To Remember	Frank Sinatra
