Bridge Over Troubled Water	Simon & Garfunkel
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
The Rapper	The Jaggerz
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Ma Belle Amie	The Tee Set
Give Me Just A Little More Time	Chairman Of The Board
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star	Sly & The Family Stone
Hey There Lonely Girl	Eddie Holman
He Ain't Heavy, He's My Brother	The Hollies
Evil Ways	Santana
Didn't I (Blow Your Mind This Time)	The Delfonics
Psychedelic Shack	The Temptations
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Raindrops Keep Fallin' On My Head	B.J. Thomas
Instant Karma (We All Shine On)	John Ono Lennon
No Time	The Guess Who
Kentucky Rain	Elvis Presley
House Of The Rising Sun	Frijid Pink
Easy Come, Easy Go	Bobby Sherman
Celebrate	Three Dog Night
Call Me/Son Of A Preacher Man	Aretha Franklin
Oh Me Oh My (I'm A Fool For You Baby)	Lulu
Arizona	Mark Lindsay
I Want You Back	Jackson 5
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
Never Had A Dream Come True	Stevie Wonder
The Thrill Is Gone	B.B. King
Venus	The Shocking Blue
Spirit In The Sky	Norman Greenbaum
Honey Come Back	Glen Campbell
Do The Funky Chicken	Rufus Thomas
Come And Get It	Badfinger
Walk A Mile In My Shoes	Joe South and The Believers
The Bells	The Originals
It's A New Day (Part 1) & (Part 2)	James Brown
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Something's Burning	Kenny Rogers & The First Edition
Jennifer Tomkins	Street People
Up The Ladder To The Roof	The Supremes
Always Something There To Remind Me	R.B. Greaves
ABC	Jackson 5
New World Coming	Mama Cass Elliot
Take A Look Around	Smith
Shilo	Neil Diamond
Walking Through The Country	The Grass Roots
My Elusive Dreams	Bobby Vinton
If I Never Knew Your Name	Vic Dana
Oh What A Day	The Dells
Gotta Get Back To You	Tommy James And The Shondells
If I Were A Carpenter	Johnny Cash & June Carter
Can't Help Falling In Love	Al Martino
Temma Harbour	Mary Hopkin
Until It's Time For You To Go	Neil Diamond
Breaking Up Is Hard To Do	Lenny Welch
Oh Well - Pt. I	Fleetwood Mac
Good Guys Only Win In The Movies	Mel And Tim
Rag Mama Rag	The Band
Je T'Aime...Moi Non Plus	Jane Birkin Serge Gainsbourg
Stir It Up And Serve It	Tommy Roe
A Change Is Gonna Come & People Gotta Be Free/The Declaration	The 5th Dimension
Love Or Let Me Be Lonely	The Friends Of Distinction
Victoria	The Kinks
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
You're The One-Part II	Little Sister
Welfare Cadilac	Guy Drake
Long Lonesome Highway	Michael Parks
Who's Your Baby?	The Archies
California Girl	Eddie Floyd
Easy To Be Free	Rick Nelson
Ticket To Ride	Carpenters
To The Other Woman (I'm The Other Woman)	Doris Duke
Heartbreaker	Grand Funk Railroad
1984	Spirit
How Can I Tell My Mom & Dad	The Lovelites
Gonna Give Her All The Love I've Got	Marvin Gaye
Come Together	Ike & Tina Turner & The Ikettes
Why Should I Cry	The Gentrys
The Cat Walk	The Village Soul Choir
She's Ready	Spiral Starecase Featuring: Pat Upton
Superstar	Murray Head With The Trinidad Singers
Silly, Silly, Fool	Dusty Springfield
Run Sally Run	The Cuff Links
Brighton Hill	Jackie DeShannon
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Add Some Music To Your Day	The Beach Boys
Mighty Joe	The Shocking Blue
Living Loving Maid (She's Just A Woman)	Led Zeppelin
Can't Help Falling In Love	Andy Williams
Keep On Doin'	The Isley Brothers
Come Into My Life	Jimmy Cliff
Get Ready	Rare Earth
My Woman, My Woman, My Wife	Marty Robbins
For The Love Of Him	Bobbi Martin
Is Anybody Goin' To San Antone	Charley Pride
Don't Worry Baby	The Tokens
Reflections Of My Life	The Marmalade
Mississippi Mama	Owen B.
The Ghetto-Part 1	Donny Hathaway
You've Made Me So Very Happy	Lou Rawls
Laughin And Clownin	Ray Charles
