Let It Be	The Beatles
ABC	Jackson 5
Spirit In The Sky	Norman Greenbaum
Instant Karma (We All Shine On)	John Ono Lennon
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Bridge Over Troubled Water	Simon & Garfunkel
Come And Get It	Badfinger
Love Or Let Me Be Lonely	The Friends Of Distinction
American Woman/No Sugar Tonight	The Guess Who
Up The Ladder To The Roof	The Supremes
Easy Come, Easy Go	Bobby Sherman
The Bells	The Originals
House Of The Rising Sun	Frijid Pink
The Rapper	The Jaggerz
Something's Burning	Kenny Rogers & The First Edition
Turn Back The Hands Of Time	Tyrone Davis
Woodstock	Crosby, Stills, Nash & Young
Reflections Of My Life	The Marmalade
Give Me Just A Little More Time	Chairman Of The Board
Long Lonesome Highway	Michael Parks
Evil Ways	Santana
Celebrate	Three Dog Night
You're The One-Part II	Little Sister
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Shilo	Neil Diamond
Call Me/Son Of A Preacher Man	Aretha Franklin
He Ain't Heavy, He's My Brother	The Hollies
For The Love Of Him	Bobbi Martin
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Vehicle	The Ides Of March
Get Ready	Rare Earth
Everybody's Out Of Town	B.J. Thomas
Little Green Bag	George Baker Selection
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Everything Is Beautiful	Ray Stevens
Cecilia	Simon & Garfunkel
Do The Funky Chicken	Rufus Thomas
Love On A Two-Way Street	The Moments
Make Me Smile	Chicago
My Woman, My Woman, My Wife	Marty Robbins
Come Running	Van Morrison
Airport Love Theme (Gwen And Vern)	Vincent Bell
California Girl	Eddie Floyd
What Is Truth	Johnny Cash
The Girls' Song	The 5th Dimension
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Who's Your Baby?	The Archies
Mighty Joe	The Shocking Blue
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
Oh Happy Day	Glen Campbell
I Could Write A Book	Jerry Butler
Children	Joe South
The Cat Walk	The Village Soul Choir
Funky Drummer (Part 1)	James Brown
Capture The Moment	Jay & The Americans
Come Together	Ike & Tina Turner & The Ikettes
The Funniest Thing	Dennis Yost And The Classics IV
To The Other Woman (I'm The Other Woman)	Doris Duke
Come Saturday Morning	The Sandpipers
Nothing Succeeds Like Success	Bill Deal & The Rhondels
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Miss America	Mark Lindsay
Hey Lawdy Mama	Steppenwolf
Dear Prudence	The 5 Stairsteps
Chicken Strut	The Meters
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
But For Love	Jerry Naylor
Deeper (In Love With You)	The O'Jays
Is Anybody Goin' To San Antone	Charley Pride
The Letter	Joe Cocker with Leon Russell & The Shelter People
So Excited	B.B. King
He Made A Woman Out Of Me	Bobbie Gentry
You Make Me Real/Roadhouse Blues	The Doors
Viva Tirado - Part I	El Chicano
Hitchin' A Ride	Vanity Fare
Brown Paper Bag	Syndicate Of Sound
My Wife, The Dancer	Eddie & Dutch
Don't Stop Now/Since I Don't Have You	Eddie Holman
Ticket To Ride	Carpenters
Can You Feel It	Bobby Goldsboro
I Who Have Nothing	Liquid Smoke
Love Minus Zero-No Limit	Turley Richards
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
Puppet Man	The 5th Dimension
July 12, 1939	Charlie Rich
Let Me Go To Him	Dionne Warwick
Farther On Down The Road	Joe Simon
The Seeker	The Who
My Baby Loves Lovin'	White Plains
Cole, Cooke & Redding	Wilson Pickett
United We Stand	The Brotherhood Of Man
A Little Bit Of Soap	Paul Davis
Open Up My Heart/Nadine	The Dells
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
My Way	Brook Benton
Cinnamon Girl	The Gentrys
I Can't Leave Your Love Alone	Clarence Carter
Don't Let The Music Slip Away	Archie Bell & The Drells
