American Woman/No Sugar Tonight	The Guess Who
Vehicle	The Ides Of March
Turn Back The Hands Of Time	Tyrone Davis
Everything Is Beautiful	Ray Stevens
Cecilia	Simon & Garfunkel
Let It Be	The Beatles
Love On A Two-Way Street	The Moments
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
ABC	Jackson 5
Reflections Of My Life	The Marmalade
Spirit In The Sky	Norman Greenbaum
Get Ready	Rare Earth
For The Love Of Him	Bobbi Martin
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Woodstock	Crosby, Stills, Nash & Young
Love Or Let Me Be Lonely	The Friends Of Distinction
Make Me Smile	Chicago
The Letter	Joe Cocker with Leon Russell & The Shelter People
What Is Truth	Johnny Cash
Daughter Of Darkness	Tom Jones
Something's Burning	Kenny Rogers & The First Edition
Reach Out And Touch (Somebody's Hand)	Diana Ross
Little Green Bag	George Baker Selection
Come Saturday Morning	The Sandpipers
Puppet Man	The 5th Dimension
My Baby Loves Lovin'	White Plains
Instant Karma (We All Shine On)	John Ono Lennon
Viva Tirado - Part I	El Chicano
Hitchin' A Ride	Vanity Fare
United We Stand	The Brotherhood Of Man
Soolaimón (African Trilogy II)	Neil Diamond
Let Me Go To Him	Dionne Warwick
Brother Rapp (Part 1)	James Brown
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
The Long And Winding Road/For You Blue	The Beatles
The Wonder Of You/Mama Liked The Roses	Elvis Presley
Airport Love Theme (Gwen And Vern)	Vincent Bell
Ride Captain Ride	Blues Image
Hey Lawdy Mama	Steppenwolf
Sugar Sugar/Cole, Cooke & Redding	Wilson Pickett
It's All In The Game	Four Tops
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Oh Happy Day	Glen Campbell
The Seeker	The Who
Band Of Gold	Freda Payne
(You've Got Me) Dangling On A String	Chairman Of The Board
Question	The Moody Blues
Everybody's Out Of Town	B.J. Thomas
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
Don't Stop Now/Since I Don't Have You	Eddie Holman
Hey, Mister Sun	Bobby Sherman
Open Up My Heart/Nadine	The Dells
Cinnamon Girl	The Gentrys
Mississippi Queen	Mountain
Baby Hold On	The Grass Roots
Farther On Down The Road	Joe Simon
Hum A Song (From Your Heart)	Lulu with The Dixie Flyers
Into The Mystic	Johnny Rivers
Whoever Finds This, I Love You	Mac Davis
I Can't Leave Your Love Alone	Clarence Carter
Check Out Your Mind	The Impressions
Come To Me	Tommy James And The Shondells
Come Running	Van Morrison
Gimme Dat Ding	The Pipkins
Mississippi	John Phillips
Miss America	Mark Lindsay
The Girls' Song	The 5th Dimension
Chicken Strut	The Meters
Go Back	Crabby Appleton
Welfare Cadilac	Guy Drake
My Way	Brook Benton
Who's Gonna Take The Blame	Smokey Robinson & The Miracles
Spirit In The Dark	Aretha Franklin with The Dixie Flyers
I Call My Baby Candy	The Jaggerz
I Want To Take You Higher	Sly & The Family Stone
So Much Love	Faith, Hope And Charity
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
Killer Joe	Quincy Jones
Ball Of Confusion (That's What The World Is Today)	The Temptations
If You Do Believe In Love	The Tee Set
Baby I Love You	Little Milton
Mama Told Me (Not To Come)	Three Dog Night
Free The People	Delaney & Bonnie & Friends
Lucifer	Bob Seger System
Sweet Feeling	Candi Staton
Red Red Wine	Vic Dana
Man Of Constant Sorrow	Ginger Baker's Air Force
Darkness, Darkness	The Youngbloods
And My Heart Sang (Tra La La)	Brenda & The Tabulations
Let This Be A Letter (To My Baby)	Jackie Wilson
That Same Old Feeling	The Fortunes
Cottage Cheese	CROW
She Didn't Know (She Kept On Talking)	Dee Dee Warwick
Ain't That Loving You (For More Reasons Than One)	Luther Ingram
I Want To (Do Everything For You)	Raeletts
Westbound #9	The Flaming Ember
That Same Old Feeling	Pickettywitch
Spill The Wine	Eric Burdon And War
Freedom Blues	Little Richard
