War	Edwin Starr
Make It With You	Bread
(They Long To Be) Close To You	Carpenters
In The Summertime	Mungo Jerry
Spill The Wine	Eric Burdon And War
Signed, Sealed, Delivered I'm Yours	Stevie Wonder
Patches	Clarence Carter
(If You Let Me Make Love To You Then) Why Can't I Touch You?	Ronnie Dyson
Ain't No Mountain High Enough	Diana Ross
25 Or 6 To 4	Chicago
I Just Can't Help Believing	B.J. Thomas
Lookin' Out My Back Door/Long As I Can See The Light	Creedence Clearwater Revival
Band Of Gold	Freda Payne
Hi-De-Ho	Blood, Sweat & Tears
Tighter, Tighter	Alive & Kicking
Overture From Tommy (A Rock Opera)	The Assembled Multitude
Tell It All Brother	Kenny Rogers & The First Edition
Lay A Little Lovin' On Me	Robin McNamara
Hand Me Down World	The Guess Who
Julie, Do Ya Love Me	Bobby Sherman
Don't Play That Song	Aretha Franklin with The Dixie Flyers
Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	James Brown
Everybody's Got The Right To Love	The Supremes
Solitary Man	Neil Diamond
Groovy Situation	Gene Chandler
Snowbird	Anne Murray
Mama Told Me (Not To Come)	Three Dog Night
O-o-h Child/Dear Prudence	The 5 Stairsteps
I (Who Have Nothing)	Tom Jones
Ball Of Confusion (That's What The World Is Today)	The Temptations
(I Know) I'm Losing You	Rare Earth
I've Lost You/The Next Step Is Love	Elvis Presley
Candida	Dawn
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
Summertime Blues	The Who
Rubber Duckie	Ernie (Jim Henson)
The Sly, Slick, And The Wicked	The Lost Generation
It's A Shame	The Spinners
Big Yellow Taxi	The Neighborhood
Cracklin' Rosie	Neil Diamond
Do You See My Love (For You Growing)	Jr. Walker & The All Stars
Wigwam	Bob Dylan
Neanderthal Man	Hotlegs
Only You Know And I Know	Dave Mason
Joanne	Michael Nesmith & The First National Band
Peace Will Come (According To Plan)	Melanie
Everything's Tuesday	Chairman Of The Board
Hummingbird	B.B. King
Closer To Home (I'm Your Captain)	Grand Funk Railroad
All Right Now	Free
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
America, Communicate With Me	Ray Stevens
Soul Shake	Delaney & Bonnie & Friends
We're All Playing In The Same Band	Bert Sommer
Sing A Song For Freedom	Frijid Pink
Stealing In The Name Of The Lord	Paul Kelly
Green-Eyed Lady	Sugarloaf
Ball And Chain	Tommy James
Black Fox	Freddy Robinson
That's Where I Went Wrong	The Poppy Family (Featuring Susan Jacks)
Long Long Time	Linda Ronstadt
Sunday Morning Coming Down	Johnny Cash
Rainbow	The Marmalade
Yellow River	Christie
Lola	The Kinks
Glory Glory	The Rascals
Still Water (Love)	Four Tops
Down By The River	Buddy Miles
Big Yellow Taxi	Joni Mitchell
Stay Away From Me (I Love You Too Much)	Major Lance
On The Beach (In The Summertime)	The 5th Dimension
Uncle John's Band	The Grateful Dead
Riki Tiki Tavi	Donovan
Morning Much Better	Ten Wheel Drive With Genya Ravan
Mongoose	Elephant's Memory
Where Are You Going To My Love	The Brotherhood Of Man
Going To The Country	The Steve Miller Band
Don't Make Me Over	Brenda & The Tabulations
Funk # 49	James Gang
I Stand Accused	Isaac Hayes
I Like Your Lovin' (Do You Like Mine)	The Chi-lites
If I Didn't Care	The Moments
Yours Love	Joe Simon
She Said Yes	Wilson Pickett
Song From M*A*S*H	Al DeLory
Screaming Night Hog	Steppenwolf
I Wanna Know If It's Good To You?	Funkadelic
What A Bummer	The Jaggerz
Groovin' With Mr. Bloe	Cool Heat
Out In The Country	Three Dog Night
For The Good Times	Ray Price
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Do What You Wanna Do	Five Flights Up
Baby, I Need Your Loving	O.C. Smith
We Can Make It Baby	The Originals
Bring It On Home	Lou Rawls
As The Years Go By	Mashmakhan
(I Remember) Summer Morning	Vanity Fare
Stand By Your Man	Candi Staton
I Can't Be You (You Can't Be Me)	The Glass House
