I'll Be There	Jackson 5
We've Only Just Begun	Carpenters
Fire And Rain	James Taylor
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Indiana Wants Me	R. Dean Taylor
Green-Eyed Lady	Sugarloaf
The Tears Of A Clown	Smokey Robinson & The Miracles
Somebody's Been Sleeping	100 Proof Aged in Soul
Gypsy Woman	Brian Hyland
It Don't Matter To Me	Bread
Cry Me A River	Joe Cocker
All Right Now	Free
Montego Bay	Bobby Bloom
Cracklin' Rosie	Neil Diamond
Super Bad (Part 1 & Part 2)	James Brown
Lola	The Kinks
Candida	Dawn
Still Water (Love)	Four Tops
Engine Number 9	Wilson Pickett
Heaven Help Us All	Stevie Wonder
It's Only Make Believe	Glen Campbell
You Don't Have To Say You Love Me/Patch It Up	Elvis Presley
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
Stand By Your Man	Candi Staton
See Me, Feel Me	The Who
Yellow River	Christie
Deeper & Deeper	Freda Payne
Share The Land	The Guess Who
Look What They've Done To My Song Ma	The New Seekers featuring Eve Graham
5-10-15-20 (25-30 Years Of Love)	The Presidents
Let's Work Together	Canned Heat
As The Years Go By	Mashmakhan
El Condor Pasa (If I Could)	Simon & Garfunkel
Our House	Crosby, Stills, Nash & Young
After Midnight	Eric Clapton
God, Love And Rock & Roll	Teegarden & Van Winkle
Lucretia Mac Evil	Blood, Sweat & Tears
For The Good Times	Ray Price
I Am Somebody Part II	Johnnie Taylor
Heed The Call	Kenny Rogers & The First Edition
One Less Bell To Answer	The 5th Dimension
No Matter What	Badfinger
Ungena Za Ulimwengu (Unite The World)	The Temptations
And The Grass Won't Pay No Mind	Mark Lindsay
Make It Easy On Yourself	Dionne Warwick
Part Time Love	Ann Peebles
Sweetheart	Engelbert Humperdinck
Stoned Love	The Supremes
Fresh Air	Quicksilver Messenger Service
Does Anybody Really Know What Time It Is?	Chicago
I'm Not My Brothers Keeper	The Flaming Ember
I Don't Wanna Cry	Ronnie Dyson
So Close	Jake Holmes
He Ain't Heavy...He's My Brother	Neil Diamond
Black Magic Woman	Santana
Chains And Things	B.B. King
If You Were Mine	Ray Charles
Let Me Back In	Tyrone Davis
Be My Baby	Andy Kim
Only Love Can Break Your Heart	Neil Young
Time Waits For No One	The Friends Of Distinction
I Just Don't Know What To Do With Myself	Gary Puckett
Don't Try To Lay No Boogie Woogie On The "King Of Rock & Roll"	CROW
Do It	Neil Diamond
Seems Like I Gotta Do Wrong	The Whispers
Something	Shirley Bassey
It's All In Your Mind	Clarence Carter
Easy Rider (Let The Wind Pay The Way)	Iron Butterfly
I Need Help (I Can't Do It Alone) Pt. 1	Bobby Byrd
Stoney End	Barbra Streisand
Stand By Me	David & Jimmy Ruffin
Big Leg Woman (With A Short Short Mini Skirt)	Israel "Popper Stopper" Tolbert
You Better Think Twice	Poco
Empty Pages	Traffic
I Can't Believe That You've Stopped Loving Me	Charley Pride
Who Needs Ya	Steppenwolf
Ace Of Spade	O.V. Wright
Pay To The Piper	Chairman Of The Board
Groove Me	King Floyd
Stoned Cowboy	Fantasy
Fifteen Years Ago	Conway Twitty
Carolina In My Mind	Crystal Mansion Featuring Johnny Caswell
Where Did All The Good Times Go	Dennis Yost And The Classics IV
Simply Call It Love	Gene Chandler
Domino	Van Morrison
Sunset Strip	Ray Stevens
Games	Redeye
This Is My Love Song	The Intruders
Burning Bridges	The Mike Curb Congregation
Thank God And Greyhound	Roy Clark
Alright In The City	Dunn & McCashen
We Gotta Get You A Woman	Runt
That's The Way I Want Our Love	Joe Simon
I Gotta Let You Go	Martha Reeves & The Vandellas
Amos Moses	Jerry Reed
Beaucoups Of Blues	Ringo Starr
See The Light	The Flame
Morning	Jim Ed Brown
Carolina In My Mind	James Taylor
It's Impossible	Perry Como
