One Bad Apple	The Osmonds
Me And Bobby McGee	Janis Joplin
For All We Know	Carpenters
Just My Imagination (Running Away With Me)	The Temptations
She's A Lady	Tom Jones
Mama's Pearl	Jackson 5
Proud Mary	Ike & Tina Turner
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
If You Could Read My Mind	Gordon Lightfoot
Amos Moses	Jerry Reed
Mr. Bojangles	Nitty Gritty Dirt Band
(Theme From) Love Story	Henry Mancini And His Orchestra
Sweet Mary	Wadsworth Mansion
Help Me Make It Through The Night	Sammi Smith
Cried Like A Baby	Bobby Sherman
Don't Let The Green Grass Fool You	Wilson Pickett
What's Going On	Marvin Gaye
What Is Life	George Harrison
Temptation Eyes	The Grass Roots
Knock Three Times	Dawn
Rose Garden	Lynn Anderson
(Where Do I Begin) Love Story	Andy Williams
Free	Chicago
Oye Como Va	Santana
I Hear You Knocking	Dave Edmunds
Watching Scotty Grow	Bobby Goldsboro
Blue Money	Van Morrison
Amazing Grace	Judy Collins
You're All I Need To Get By	Aretha Franklin
Theme From Love Story	Francis Lai And His Orchestra
No Love At All	B.J. Thomas
Wild World	Cat Stevens
Jody's Got Your Girl And Gone	Johnnie Taylor
Burning Bridges	The Mike Curb Congregation
Another Day/Oh Woman Oh Why	Paul McCartney
(Do The) Push And Pull Part I	Rufus Thomas
Love's Lines, Angles And Rhymes	The 5th Dimension
One Toke Over The Line	Brewer And Shipley
Soul Power (Pt. 1)	James Brown
D.O.A.	Bloodrock
Country Road	James Taylor
Chairman Of The Board	Chairman Of The Board
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
Eighteen	Alice Cooper
Precious, Precious	Jackie Moore
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Hang On To Your Life	The Guess Who
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
Ask Me No Questions	B.B. King
I Love You For All Seasons	The Fuzz
When There's No You	Engelbert Humperdinck
Dream Baby (How Long Must I Dream)	Glen Campbell
Your Time To Cry	Joe Simon
Sit Yourself Down	Stephen Stills
1900 Yesterday	Liz Damon's Orient Express
Ain't Got Time	The Impressions
Joy To The World	Three Dog Night
Bed Of Rose's	The Statler Brothers
Where Did They Go, Lord/Rags To Riches	Elvis Presley
Lonely Teardrops	Brian Hyland
The Morning Of Our Lives	Arkade
Superstar	Murray Head With The Trinidad Singers
Angel Baby	Dusk
Do Me Right	Detroit Emeralds
Ain't It A Sad Thing	R. Dean Taylor
We Can Work It Out	Stevie Wonder
Triangle Of Love (Hey Diddle Diddle)	The Presidents
After The Fire Is Gone	Conway Twitty & Loretta Lynn
Don't Make Me Pay For His Mistakes	Z.Z. Hill
Tongue In Cheek	Sugarloaf
If It's Real What I Feel	Jerry Butler Featuring Brenda Lee Eager
Timothy	The Buoys
Everything Is Good About You	The Lettermen
Don't Change On Me	Ray Charles
Stay Awhile	The Bells
Pushbike Song	The Mixtures
Woodstock	Matthews' Southern Comfort
The Look Of Love	Isaac Hayes
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Didn't It Look So Easy	The Stairsteps
Snow Blind Friend	Steppenwolf
Give It To Me	The Mob
Celia Of The Seals	Donovan
I Don't Know How To Love Him	Helen Reddy
I'd Rather Love You	Charley Pride
Put Your Hand In The Hand	Ocean
Baby Let Me Kiss You	King Floyd
Hot Pants	Salvage
Spinning Wheel (Pt. 1)	James Brown
I Pity The Fool	Ann Peebles
Lucky Man	Emerson, Lake & Palmer
L.A. Goodbye	The Ides Of March
Bad Water	The Raeletts
Love Makes The World Go Round	Odds & Ends
I Can't Stop	The Osmond Brothers
Cool Aid	Paul Humphrey & His Cool Aid Chemists
My Heart Is Yours	Wilbert Harrison
1927 Kansas City	Mike Reilly
What About Me	Quicksilver Messenger Service
