Me And Bobby McGee	Janis Joplin
Just My Imagination (Running Away With Me)	The Temptations
She's A Lady	Tom Jones
Proud Mary	Ike & Tina Turner
For All We Know	Carpenters
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
What's Going On	Marvin Gaye
Help Me Make It Through The Night	Sammi Smith
One Bad Apple	The Osmonds
What Is Life	George Harrison
(Where Do I Begin) Love Story	Andy Williams
Amos Moses	Jerry Reed
If You Could Read My Mind	Gordon Lightfoot
Another Day/Oh Woman Oh Why	Paul McCartney
Oye Como Va	Santana
Temptation Eyes	The Grass Roots
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
Mama's Pearl	Jackson 5
Wild World	Cat Stevens
Cried Like A Baby	Bobby Sherman
You're All I Need To Get By	Aretha Franklin
One Toke Over The Line	Brewer And Shipley
Free	Chicago
No Love At All	B.J. Thomas
Blue Money	Van Morrison
Mr. Bojangles	Nitty Gritty Dirt Band
(Theme From) Love Story	Henry Mancini And His Orchestra
Love's Lines, Angles And Rhymes	The 5th Dimension
Sweet Mary	Wadsworth Mansion
Soul Power (Pt. 1)	James Brown
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
Eighteen	Alice Cooper
Don't Let The Green Grass Fool You	Wilson Pickett
Joy To The World	Three Dog Night
We Can Work It Out	Stevie Wonder
Where Did They Go, Lord/Rags To Riches	Elvis Presley
Put Your Hand In The Hand	Ocean
Stay Awhile	The Bells
Sit Yourself Down	Stephen Stills
Dream Baby (How Long Must I Dream)	Glen Campbell
Country Road	James Taylor
Theme From Love Story	Francis Lai And His Orchestra
Ask Me No Questions	B.B. King
Chairman Of The Board	Chairman Of The Board
I Am...I Said/Done Too Soon	Neil Diamond
Burning Bridges	The Mike Curb Congregation
When There's No You	Engelbert Humperdinck
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
Baby Let Me Kiss You	King Floyd
I Love You For All Seasons	The Fuzz
Don't Change On Me	Ray Charles
Do Me Right	Detroit Emeralds
Ain't Got Time	The Impressions
Lonely Teardrops	Brian Hyland
D.O.A.	Bloodrock
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Angel Baby	Dusk
Tongue In Cheek	Sugarloaf
Friends	Elton John
I Don't Blame You At All	Smokey Robinson & The Miracles
After The Fire Is Gone	Conway Twitty & Loretta Lynn
Don't Make Me Pay For His Mistakes	Z.Z. Hill
Woodstock	Matthews' Southern Comfort
Timothy	The Buoys
Time And Love	Barbra Streisand
Snow Blind Friend	Steppenwolf
Pushbike Song	The Mixtures
Lucky Man	Emerson, Lake & Palmer
Who Gets The Guy	Dionne Warwick
I Won't Mention It Again	Ray Price
I Play And Sing	Dawn
If	Bread
Hot Pants	Salvage
Give It To Me	The Mob
I Don't Know How To Love Him	Helen Reddy
Could I Forget You	Tyrone Davis
Man In Black	Johnny Cash
Bad Water	The Raeletts
I'd Rather Love You	Charley Pride
I Think Of You	Perry Como
Someone Who Cares	Kenny Rogers & The First Edition
Cool Aid	Paul Humphrey & His Cool Aid Chemists
Booty Butt	The Ray Charles Orchestra
L.A. Goodbye	The Ides Of March
I Pity The Fool	Ann Peebles
Me And My Arrow	Nilsson
Love Makes The World Go Round	Odds & Ends
Sweet And Innocent	Donny Osmond of The Osmonds
Love Makes The World Go Round	Kiki Dee
Nickel Song	The New Seekers featuring Eve Graham
Soldier's Last Letter	Merle Haggard And The Strangers
Melting Pot	Booker T. & The MG's
I'm Girl Scoutin'	The Intruders
Here Comes The Sun	Richie Havens
Adrienne	Tommy James
1927 Kansas City	Mike Reilly
C'mon	Poco
Layla	Derek & The Dominos
I Wish I Were	Andy Kim
The Animal Trainer And The Toad	Mountain
