Joy To The World	Three Dog Night
What's Going On	Marvin Gaye
Put Your Hand In The Hand	Ocean
Never Can Say Goodbye	Jackson 5
Another Day/Oh Woman Oh Why	Paul McCartney
I Am...I Said/Done Too Soon	Neil Diamond
Just My Imagination (Running Away With Me)	The Temptations
If	Bread
She's A Lady	Tom Jones
Stay Awhile	The Bells
One Toke Over The Line	Brewer And Shipley
Me And Bobby McGee	Janis Joplin
For All We Know	Carpenters
We Can Work It Out	Stevie Wonder
Power To The People	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Help Me Make It Through The Night	Sammi Smith
Wild World	Cat Stevens
(Where Do I Begin) Love Story	Andy Williams
Eighteen	Alice Cooper
No Love At All	B.J. Thomas
Proud Mary	Ike & Tina Turner
Bridge Over Troubled Water/Brand New Me	Aretha Franklin
I Play And Sing	Dawn
Timothy	The Buoys
I Don't Blame You At All	Smokey Robinson & The Miracles
Temptation Eyes	The Grass Roots
Love's Lines, Angles And Rhymes	The 5th Dimension
Me And You And A Dog Named Boo	Lobo
Baby Let Me Kiss You	King Floyd
Oye Como Va	Santana
What Is Life	George Harrison
Friends	Elton John
I Love You For All Seasons	The Fuzz
Don't Change On Me	Ray Charles
Love Her Madly	The Doors
Blue Money	Van Morrison
Here Comes The Sun	Richie Havens
Woodstock	Matthews' Southern Comfort
Battle Hymn Of Lt. Calley	C Company Featuring Terry Nelson
I Won't Mention It Again	Ray Price
Do Me Right	Detroit Emeralds
Soul Power (Pt. 1)	James Brown
Right On The Tip Of My Tongue	Brenda & The Tabulations
Sweet And Innocent	Donny Osmond of The Osmonds
Pushbike Song	The Mixtures
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
Lucky Man	Emerson, Lake & Palmer
Dream Baby (How Long Must I Dream)	Glen Campbell
Someone Who Cares	Kenny Rogers & The First Edition
Me And My Arrow	Nilsson
I Think Of You	Perry Como
Time And Love	Barbra Streisand
Layla	Derek & The Dominos
Toast And Marmalade For Tea	Tin Tin
Cool Aid	Paul Humphrey & His Cool Aid Chemists
I Don't Know How To Love Him	Helen Reddy
Want Ads	The Honey Cone
Could I Forget You	Tyrone Davis
Where Did They Go, Lord/Rags To Riches	Elvis Presley
I Wish I Were	Andy Kim
Superstar	Murray Head With The Trinidad Singers
Booty Butt	The Ray Charles Orchestra
(For God's Sake) Give More Power To The People	The Chi-lites
13 Questions	Seatrain
Freedom	Jimi Hendrix
Bad Water	The Raeletts
Melting Pot	Booker T. & The MG's
Man In Black	Johnny Cash
Hot Pants	Salvage
Treat Her Like A Lady	Cornelius Brothers & Sister Rose
C'mon	Poco
Albert Flasher/Broken	The Guess Who
Tongue In Cheek	Sugarloaf
Gotta See Jane	R. Dean Taylor
Oh, Singer	Jeannie C. Riley
L.A. Goodbye	The Ides Of March
The Animal Trainer And The Toad	Mountain
I Don't Know How To Love Him	Yvonne Elliman
L.A. International Airport	Susan Raye
We Were Always Sweethearts	Boz Scaggs
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
Be Nice To Me	Runt-Todd Rundgren
Nevada Fighter	Michael Nesmith & The First National Band
If It's Real What I Feel	Jerry Butler Featuring Brenda Lee Eager
Funky Music Sho Nuff Turns Me On	Edwin Starr
Brownsville	Joy Of Cooking
House At Pooh Corner	Nitty Gritty Dirt Band
Ajax Liquor Store	Hudson and Landry
I'll Erase Away Your Pain	Whatnauts
Be My Baby	Cissy Houston
Empty Arms	Sonny James
I Wanna Be Free	Loretta Lynn
That's The Way I've Always Heard It Should Be	Carly Simon
Don't Knock My Love - Pt. 1	Wilson Pickett
Can't Find The Time	Rose Colored Glass
That Evil Child	B.B. King
Red Eye Blues	Red Eye
Happy	Hog Heaven
