Brown Sugar	The Rolling Stones
Joy To The World	Three Dog Night
Never Can Say Goodbye	Jackson 5
Want Ads	The Honey Cone
It Don't Come Easy	Ringo Starr
Put Your Hand In The Hand	Ocean
Bridge Over Troubled Water/Brand New Me	Aretha Franklin
Sweet And Innocent	Donny Osmond of The Osmonds
Me And You And A Dog Named Boo	Lobo
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Rainy Days And Mondays	Carpenters
Love Her Madly	The Doors
If	Bread
Superstar	Murray Head With The Trinidad Singers
I Don't Know How To Love Him	Helen Reddy
Here Comes The Sun	Richie Havens
Stay Awhile	The Bells
I'll Meet You Halfway	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Treat Her Like A Lady	Cornelius Brothers & Sister Rose
Toast And Marmalade For Tea	Tin Tin
It's Too Late/I Feel The Earth Move	Carole King
Don't Knock My Love - Pt. 1	Wilson Pickett
Woodstock	Matthews' Southern Comfort
Right On The Tip Of My Tongue	Brenda & The Tabulations
I Don't Blame You At All	Smokey Robinson & The Miracles
(For God's Sake) Give More Power To The People	The Chi-lites
Nathan Jones	The Supremes
I Love You For All Seasons	The Fuzz
Reach Out I'll Be There	Diana Ross
Timothy	The Buoys
The Drum	Bobby Sherman
When You're Hot, You're Hot	Jerry Reed
Cool Aid	Paul Humphrey & His Cool Aid Chemists
Me And My Arrow	Nilsson
I Don't Know How To Love Him	Yvonne Elliman
What's Going On	Marvin Gaye
Power To The People	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
Double Lovin'	The Osmonds
Lowdown	Chicago
I Am...I Said/Done Too Soon	Neil Diamond
Albert Flasher/Broken	The Guess Who
That's The Way I've Always Heard It Should Be	Carly Simon
Funky Nassau-Part I	The Beginning Of The End
She's Not Just Another Woman	The 8th Day
Cry Baby	Janis Joplin
Booty Butt	The Ray Charles Orchestra
I Won't Mention It Again	Ray Price
13 Questions	Seatrain
I Cried	James Brown
Never Can Say Goodbye	Isaac Hayes
Melting Pot	Booker T. & The MG's
Ajax Liquor Store	Hudson and Landry
Feelin' Alright	Grand Funk Railroad
L.A. International Airport	Susan Raye
House At Pooh Corner	Nitty Gritty Dirt Band
Puppet Man/Resurrection Shuffle	Tom Jones
High Time We Went/Black-Eyed Blues	Joe Cocker
Spinning Around (I Must Be Falling In Love)	The Main Ingredient
Life/Only Believe	Elvis Presley
The Court Room	Clarence Carter
Light Sings	The 5th Dimension
Layla	Derek & The Dominos
Tarkio Road	Brewer And Shipley
Lucky Man	Emerson, Lake & Palmer
Brownsville	Joy Of Cooking
Bad Water	The Raeletts
Here Comes That Rainy Day Feeling Again	The Fortunes
Help Me Make It Through The Night	Joe Simon
Take Me Home, Country Roads	John Denver
I'll Erase Away Your Pain	Whatnauts
Don't Pull Your Love	Hamilton, Joe Frank & Reynolds
Funky Music Sho Nuff Turns Me On	Edwin Starr
Can't Find The Time	Rose Colored Glass
You're My Man	Lynn Anderson
Your Love (Means Everything to Me)	Charles Wright And The Watts 103rd Street Rhythm Band
Try Some, Buy Some	Ronnie Spector
Red Eye Blues	Red Eye
What You See Is What You Get	Stoney & Meatloaf
Wholesale Love	Buddy Miles
Ooh Poo Pah Doo	Ike & Tina Turner
Hot Love	T. Rex
Get It On	Chase
Sea Cruise	Johnny Rivers
Flim Flam Man	Barbra Streisand
And I Love You So	Bobby Goldsboro
Never Ending Song Of Love	Delaney & Bonnie & Friends
Follow Me	Mary Travers
Walk Away	The James Gang
It's So Hard For Me To Say Good-Bye	Eddie Kendricks
I Don't Wanna Lose You	Johnnie Taylor
Mr. Big Stuff	Jean Knight
I Know I'm In Love	Chee-Chee & Peppy
Your Love Is So Doggone Good	The Whispers
California Earthquake	Norman Greenbaum
Signs	Five Man Electrical Band
I've Found Someone Of My Own	The Free Movement
If Not For You	Olivia Newton-John
Love's Made A Fool Of You	Cochise
Love Means (You Never Have To Say You're Sorry)	Sounds Of Sunshine
