Want Ads	The Honey Cone
Brown Sugar	The Rolling Stones
Rainy Days And Mondays	Carpenters
It Don't Come Easy	Ringo Starr
Joy To The World	Three Dog Night
It's Too Late/I Feel The Earth Move	Carole King
Sweet And Innocent	Donny Osmond of The Osmonds
Treat Her Like A Lady	Cornelius Brothers & Sister Rose
I'll Meet You Halfway	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Bridge Over Troubled Water/Brand New Me	Aretha Franklin
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
Me And You And A Dog Named Boo	Lobo
I Don't Know How To Love Him	Helen Reddy
Never Can Say Goodbye	Jackson 5
Superstar	Murray Head With The Trinidad Singers
Double Lovin'	The Osmonds
Don't Knock My Love - Pt. 1	Wilson Pickett
When You're Hot, You're Hot	Jerry Reed
Nathan Jones	The Supremes
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Love Her Madly	The Doors
Here Comes The Sun	Richie Havens
Right On The Tip Of My Tongue	Brenda & The Tabulations
Put Your Hand In The Hand	Ocean
If	Bread
Funky Nassau-Part I	The Beginning Of The End
She's Not Just Another Woman	The 8th Day
I Don't Know How To Love Him	Yvonne Elliman
Cool Aid	Paul Humphrey & His Cool Aid Chemists
Don't Pull Your Love	Hamilton, Joe Frank & Reynolds
That's The Way I've Always Heard It Should Be	Carly Simon
Woodstock	Matthews' Southern Comfort
Never Can Say Goodbye	Isaac Hayes
Albert Flasher/Broken	The Guess Who
Lowdown	Chicago
The Drum	Bobby Sherman
Puppet Man/Resurrection Shuffle	Tom Jones
(For God's Sake) Give More Power To The People	The Chi-lites
Reach Out I'll Be There	Diana Ross
Toast And Marmalade For Tea	Tin Tin
High Time We Went/Black-Eyed Blues	Joe Cocker
Cry Baby	Janis Joplin
Me And My Arrow	Nilsson
You've Got A Friend	James Taylor
I Won't Mention It Again	Ray Price
Here Comes That Rainy Day Feeling Again	The Fortunes
I Don't Want To Do Wrong	Gladys Knight And The Pips
Mr. Big Stuff	Jean Knight
Light Sings	The 5th Dimension
Ajax Liquor Store	Hudson and Landry
13 Questions	Seatrain
Take Me Home, Country Roads	John Denver
Life/Only Believe	Elvis Presley
Spinning Around (I Must Be Falling In Love)	The Main Ingredient
House At Pooh Corner	Nitty Gritty Dirt Band
Sooner Or Later	The Grass Roots
Bring The Boys Home	Freda Payne
Tarkio Road	Brewer And Shipley
Get It On	Chase
Ooh Poo Pah Doo	Ike & Tina Turner
L.A. International Airport	Susan Raye
Can't Find The Time	Rose Colored Glass
I Know I'm In Love	Chee-Chee & Peppy
You're My Man	Lynn Anderson
The Court Room	Clarence Carter
I Cried	James Brown
Brownsville	Joy Of Cooking
Never Ending Song Of Love	Delaney & Bonnie & Friends
Chicago	Graham Nash
I Am...I Said/Done Too Soon	Neil Diamond
What You See Is What You Get	Stoney & Meatloaf
Wholesale Love	Buddy Miles
Signs	Five Man Electrical Band
Follow Me	Mary Travers
Escape-ism (Part 1)	James Brown
Hot Love	T. Rex
You Gotta Have Love In Your Heart	The Supremes & Four Tops
Double Barrel	Dave & Ansil Collins
Love Means (You Never Have To Say You're Sorry)	Sounds Of Sunshine
Walk Away	The James Gang
If Not For You	Olivia Newton-John
Flim Flam Man	Barbra Streisand
And I Love You So	Bobby Goldsboro
Rings	Cymarron
Do You Know What Time It Is?	P-Nut Gallery
Draggin' The Line	Tommy James
Stop, Look, Listen (To Your Heart)	The Stylistics
It's So Hard For Me To Say Good-Bye	Eddie Kendricks
You're The Reason Why	The Ebonys
You've Got A Friend	Roberta Flack & Donny Hathaway
I've Found Someone Of My Own	The Free Movement
Help The Poor	B.B. King
California Earthquake	Norman Greenbaum
Mandrill	Mandrill
Call Me Up In Dreamland	Van Morrison
Caught In A Dream	Alice Cooper
Love's Made A Fool Of You	Cochise
Been Too Long On The Road	Mark Lindsay
I Hear Those Church Bells Ringing	Dusk
Change Partners	Stephen Stills
