Maggie May/Reason To Believe	Rod Stewart
Go Away Little Girl	Donny Osmond
The Night They Drove Old Dixie Down	Joan Baez
Superstar/Bless The Beasts And Children	Carpenters
Ain't No Sunshine	Bill Withers
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Spanish Harlem	Aretha Franklin
Smiling Faces Sometimes	The Undisputed Truth
Yo-Yo	The Osmonds
Do You Know What I Mean	Lee Michaels
Stick-Up	The Honey Cone
If You Really Love Me	Stevie Wonder
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Sweet City Woman	Stampeders
Tired Of Being Alone	Al Green
So Far Away/Smackwater Jack	Carole King
I Just Want To Celebrate	Rare Earth
Whatcha See Is Whatcha Get	The Dramatics
Rain Dance	The Guess Who
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
I've Found Someone Of My Own	The Free Movement
Make It Funky (Part 1)	James Brown
The Story In Your Eyes	The Moody Blues
Thin Line Between Love & Hate	The Persuaders
Trapped By A Thing Called Love	Denise LaSalle
Won't Get Fooled Again	The Who
Wedding Song (There Is Love)	Paul Stookey
How Can You Mend A Broken Heart	Bee Gees
Saturday Morning Confusion	Bobby Russell
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
The Breakdown (Part I)	Rufus Thomas
Birds Of A Feather	The Raiders
The Love We Had (Stays On My Mind)	The Dells
Stagger Lee	Tommy Roe
All Day Music	War
I Ain't Got Time Anymore	The Glass Bottle
Easy Loving	Freddie Hart
Never My Love	The 5th Dimension
Gypsys, Tramps & Thieves	Cher
MacArthur Park (Part II)	Four Tops
One Fine Morning	Lighthouse
Marianne	Stephen Stills
Another Time, Another Place	Engelbert Humperdinck
Women's Love Rights	Laura Lee
Surrender	Diana Ross
Annabella	Hamilton, Joe Frank & Reynolds
A Natural Man	Lou Rawls
K-Jee	The Nite-Liters
Only You Know And I Know	Delaney & Bonnie
Peace Train	Cat Stevens
Ko-Ko Joe	Jerry Reed
Call My Name, I'll Be There	Wilson Pickett
Stop, Look, Listen (To Your Heart)	The Stylistics
The Year That Clayton Delaney Died	Tom T. Hall
Where Evil Grows	The Poppy Family
I'm Comin' Home	Tommy James
Crazy Love	Helen Reddy
Take Me Girl, I'm Ready	Jr. Walker & The All Stars
Roll On	The New Colony Six
Talk It Over In The Morning	Anne Murray
Charity Ball	Fanny
Them Changes	Buddy Miles & The Freedom Express
You've Got To Crawl (Before You Walk)	The 8th Day
One Tin Soldier, The Legend of Billy Jack	Coven
Hijackin' Love	Johnnie Taylor (The Soul Philosopher)
How Can I Unlove You	Lynn Anderson
Think His Name	Johnny Rivers
Ghetto Woman	B.B. King
Gimme Shelter	Grand Funk Railroad
Is That The Way	Tin Tin
It's For You	Springwell
It's A Cryin' Shame	Gayle McCormick
Military Madness	Graham Nash
Pin The Tail On The Donkey	The Newcomers
Feel So Bad	Ray Charles
All My Trials	Ray Stevens
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll	John Baldry
Some Of Shelly's Blues	Nitty Gritty Dirt Band
Spill The Wine	The Isley Brothers
I Don't Need No Doctor	Humble Pie
She's All I Got	Freddie North
That's The Way A Woman Is	Messengers
He'd Rather Have The Rain	Heaven Bound with Tony Scotti
Handbags And Gladrags	Chase
I Know I'm In Love	Chee-Chee & Peppy
I'd Love To Change The World	Ten Years After
You Send Me	Ponderosa Twins + One
Hot Pants - I'm Coming, Coming, I'm Coming	Bobby Byrd
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Long Ago And Far Away	James Taylor
Solo	Billie Sans
You Brought The Joy	Freda Payne
All My Hard Times	Joe Simon
Rub It In	Layng Martine
Everything's Alright	Yvonne Elliman
Your Move (I've Seen All Good People)	Yes
Do I Love You	Paul Anka
Freedom Comes, Freedom Goes	The Fortunes
Co-Co	The Sweet
Valerie	Cymarron
