Gypsys, Tramps & Thieves	Cher
Theme From Shaft	Isaac Hayes
Maggie May/Reason To Believe	Rod Stewart
Imagine	John Lennon/Plastic Ono Band
Yo-Yo	The Osmonds
Superstar/Bless The Beasts And Children	Carpenters
Peace Train	Cat Stevens
I've Found Someone Of My Own	The Free Movement
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
The Night They Drove Old Dixie Down	Joan Baez
Tired Of Being Alone	Al Green
Do You Know What I Mean	Lee Michaels
Trapped By A Thing Called Love	Denise LaSalle
Have You Seen Her	The Chi-lites
If You Really Love Me	Stevie Wonder
Never My Love	The 5th Dimension
Sweet City Woman	Stampeders
Easy Loving	Freddie Hart
Go Away Little Girl	Donny Osmond
Only You Know And I Know	Delaney & Bonnie
Desiderata	Les Crane
Baby I'm - A Want You	Bread
Thin Line Between Love & Hate	The Persuaders
One Fine Morning	Lighthouse
Everybody's Everything	Santana
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Absolutely Right	Five Man Electrical Band
You've Got To Crawl (Before You Walk)	The 8th Day
Two Divided By Love	The Grass Roots
One Tin Soldier, The Legend of Billy Jack	Coven
Long Ago And Far Away	James Taylor
Questions 67 And 68/I'm A Man	Chicago
A Natural Man	Lou Rawls
Rock Steady	Aretha Franklin
Birds Of A Feather	The Raiders
Women's Love Rights	Laura Lee
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Stagger Lee	Tommy Roe
Got To Be There	Michael Jackson
Charity Ball	Fanny
What Are You Doing Sunday	Dawn Featuring Tony Orlando
All I Ever Need Is You	Sonny & Cher
Wild Night	Van Morrison
Respect Yourself	The Staple Singers
She's All I Got	Freddie North
Scorpio	Dennis Coffey & The Detroit Guitar Band
I'd Love To Change The World	Ten Years After
It's A Cryin' Shame	Gayle McCormick
Love	The Lettermen
Family Affair	Sly & The Family Stone
It's Only Love	Elvis Presley
You Brought The Joy	Freda Payne
Bless You	Martha Reeves & The Vandellas
It's Impossible	The New Birth
Your Move (I've Seen All Good People)	Yes
Don't Wanna Live Inside Myself	Bee Gees
You Think You're Hot Stuff	Jean Knight
Theme From "Summer Of '42"	Peter Nero
Where Did Our Love Go	Donnie Elbert
It's For You	Springwell
Spill The Wine	The Isley Brothers
Jennifer	Bobby Sherman
I'm Comin' Home	Tommy James
Do I Love You	Paul Anka
Till	Tom Jones
Mammy Blue	Pop-Tops
The Year That Clayton Delaney Died	Tom T. Hall
My Part/Make It Funky (Part 3)	James Brown
Rub It In	Layng Martine
I Like What You Give	Nolan
You've Lost That Lovin' Feelin'	Roberta Flack & Donny Hathaway
That's The Way A Woman Is	Messengers
Life Is A Carnival	The Band
Gimme Some Lovin'-Pt. 1	Traffic, Etc.
Grandma's Hands	Bill Withers
You Are Everything	The Stylistics
Brand New Key	Melanie
You Send Me	Ponderosa Twins + One
Mother	Barbra Streisand
Lisa, Listen To Me	Blood, Sweat & Tears
I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
Dolly Dagger	Jimi Hendrix
Walk Right Up To The Sun	The Delfonics
An American Trilogy	Mickey Newbury
Superstar (Remember How You Got Where You Are)	The Temptations
Long Ago Tomorrow	B.J. Thomas
Cherish	David Cassidy
For Ladies Only	Steppenwolf
I'm Still Waiting	Diana Ross
Friends With You	John Denver
Tell Mama	Savoy Brown
Long Promised Road	The Beach Boys
Behind Blue Eyes	The Who
Banks Of The Ohio	Olivia Newton-John
If It's Alright With You	Rose Colored Glass
I Bet He Don't Love You (Like I Love You)	The Intruders
Show Me How	The Emotions
White Lies, Blue Eyes	Bullet
Fool Me	Joe South
I Want To Pay You Back (For Loving Me)	The Chi-lites
